,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,$5,WINNING HAND,1821,200000,"1,040,400",4.27,1,,,,5/5/2020,,,2021-04-25
0,$3,7X THE MONEY,1977,70000,"612,000",4.24,2,,eXTRA Chances,,9/3/2019,,,2021-04-25
0,$3,CROSSWORD TRIPLER,2068,50000,"1,224,000",4.63,2,,eXTRA Chances,,2/2/2021,,,2021-04-25
0,$3,DOMINOES,2022,60000,"1,224,000",4.23,1,,eXTRA Chances,,5/5/2020,1/15/2021,7/14/2021,2021-04-25
0,$3,Double Dollar Bingo,1949,60000,"816,000",4.03,5,,eXTRA Chances,,4/6/2021,,,2021-04-25
0,$3,FROSTY BINGO MULTIPLIER,2059,40000,"1,632,000",3.82,2,,eXTRA Chances,,12/1/2020,,,2021-04-25
0,$3,MYSTERY PRIZE CROSSWORD,1943,50000,"1,224,000",4.58,1,,eXTRA Chances,,10/6/2020,,,2021-04-25
0,$3,SUPER BINGO MULTIPLIER,1989,60000,"1,224,000",4.18,2,,,,1/7/2020,,,2021-04-25
0,$2,"$10,000 CASH",2045,10000,"1,591,200",4.59,1,,eXTRA Chances,,9/1/2020,,,2021-04-25
0,$2,"$15,000 Ca$h Cha$er",2031,15000,"1,468,800",4.37,1,,,2nd Chance,6/2/2020,1/15/2021,7/14/2021,2021-04-25
0,$2,"$40,000 PAYDAY",2071,40000,"1,224,000",4.50,2,,,,2/2/2021,,,2021-04-25
0,$2,5X The Money,2063,20000,"2,203,200",4.53,3,,eXTRA Chances,,1/5/2021,,,2021-04-25
0,$2,5X THE MONEY,2038,20000,"1,377,000",4.65,2,,,,9/18/2020,,,2021-04-25
0,$2,BREAK THE BANK,2058,10000,"1,305,600",4.63,1,,,,12/1/2020,,,2021-04-25
0,$2,CASH UP,2004,20000,"1,101,600",3.79,1,,,,4/7/2020,1/15/2021,7/14/2021,2021-04-25
0,$2,DOUBLE MATCH,2073,20000,"1,142,400",4.85,6,,eXTRA Chances,,3/2/2021,,,2021-04-25
0,$2,GO FOR THE GREEN,1799,30000,"1,101,600",4.67,1,,,,10/7/2020,,,2021-04-25
0,$2,HOLIDAY GOLD,2053,20000,"979,200",4.32,0,Top Prize Claimed,eXTRA Chances,,11/3/2020,,,2021-04-25
0,$2,MEGA MONEY MULTIPLIER,1957,40000,"1,468,800",4.28,1,,eXTRA Chances,,5/5/2020,1/15/2021,7/14/2021,2021-04-25
0,$2,TRIPLE 333,2043,20000,"1,142,400",4.47,1,,eXTRA Chances,,8/4/2020,,,2021-04-25
0,$1,"$1,000 CASH",2044,1000,"652,800",4.74,1,,eXTRA Chances,,9/1/2020,1/15/2021,7/14/2021,2021-04-25
0,$1,2021,2057,2021,"734,400",4.64,1,,eXTRA Chances,,12/1/2020,1/15/2021,7/14/2021,2021-04-25
0,$1,2X The Money,2062,4000,"1,305,600",4.72,2,,eXTRA Chances,,1/5/2021,,,2021-04-25
0,$1,2X THE MONEY,1927,4000,"652,800",4.64,7,,eXTRA Chances,,1/3/2020,1/15/2021,7/14/2021,2021-04-25
0,$1,BLACKJACK,1986,1000,"122,400",4.71,33,,,,1/9/2020,,,2021-04-25
0,$1,CHILLS AND BILLS,2049,500,"571,200",4.12,1,,eXTRA Chances,,10/6/2020,1/15/2021,7/14/2021,2021-04-25
0,$1,DOLLAR $IGN$,1983,1500,"550,800",4.99,1,,,,4/7/2020,,,2021-04-25
0,$1,DOUBLE DOUBLER,2014,2000,"244,800",4.74,0,Top Prize Claimed,,,8/4/2020,,,2021-04-25
0,$1,HOLIDAY CASH,2052,1000,"1,020,000",4.41,4,,eXTRA Chances,,11/3/2020,,,2021-04-25
0,$1,Lucky Tripler,2066,1000,"652,800",4.63,0,Top Prize Claimed,eXTRA Chances,,2/2/2021,,,2021-04-25
0,$1,Pocket Change,2078,500,"12,240",4.80,673,,eXTRA Chances,,4/6/2021,,,2021-04-25
0,$1,TIC TAC TOE,1933,3000,"1,101,600",4.65,0,Top Prize Claimed,,,5/5/2020,,,2021-04-25
0,$0,PROMOTIONAL GAME,2034,50,102,2.00,2028,,,,12/15/2020,,,2021-04-25
0,$0,WE'RE GAME FOR EDUCATION,1777,50,100,1.99,284,,,,3/21/2017,,,2021-04-25
0,$0,WERE GAME FOR EDUCATION,1945,50,100,2.00,1139,,,,8/21/2018,1/11/2021,7/10/2021,2021-04-25
