price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,overallodds,secondChance,dateexported,gameURL,gamePhoto
5.0,Lucky X10,1597,50000.0,0,Top Prize Claimed,2024-08-20,,,3.8,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
3.0,Robo Bingo,1598,25000.0,0,Top Prize Claimed,2025-02-04,,,3.78,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Oregon Monsters,1599,30000.0,0,Top Prize Claimed,2024-08-13,,,3.51,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
1.0,Kickin' Cash,1600,2000.0,0,Top Prize Claimed,2025-05-13,,,3.84,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Raining $50 Or $100,1602,100.0,651,Available,2025-02-25,,,9.0,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Mission Crossword,1603,15000.0,0,Top Prize Claimed,2025-03-04,,,3.65,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
30.0,All the Wishes,1605,100000.0,1,Available,2025-08-12,,,3.28,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,5X,1606,8000.0,0,Top Prize Claimed,2025-01-14,,,4.0,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,10X,1607,40000.0,0,Top Prize Claimed,2025-01-14,,,3.77,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,20X,1608,80000.0,0,Top Prize Claimed,2025-01-14,2025-11-15,2026-11-15,3.08,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
20.0,50X,1609,150000.0,1,Available,2025-01-14,,,2.82,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Lucky Dog Loteria,1610,50000.0,0,Top Prize Claimed,2025-03-11,,,3.53,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Stop the Presses Crossword,1611,100000.0,0,Top Prize Claimed,2025-04-23,,,3.3,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,I Can't Even,1612,500.0,11,Available,2025-02-11,,,3.99,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
