prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,gameNumber,gameName,price,dateexported
100,7137,1615,476,20X THE CASH,2.0,2025-12-31
500,928,195,476,20X THE CASH,2.0,2025-12-31
1000,88,22,476,20X THE CASH,2.0,2025-12-31
5000,8,1,476,20X THE CASH,2.0,2025-12-31
25000,5,1,476,20X THE CASH,2.0,2025-12-31
5,587721,156548,486,HEAPS OF $500S,5.0,2025-12-31
10,251953,61311,486,HEAPS OF $500S,5.0,2025-12-31
15,251699,60364,486,HEAPS OF $500S,5.0,2025-12-31
20,83942,20000,486,HEAPS OF $500S,5.0,2025-12-31
40,44189,10347,486,HEAPS OF $500S,5.0,2025-12-31
100,18209,4227,486,HEAPS OF $500S,5.0,2025-12-31
500,4092,948,486,HEAPS OF $500S,5.0,2025-12-31
5000,8,1,486,HEAPS OF $500S,5.0,2025-12-31
20000,3,1,486,HEAPS OF $500S,5.0,2025-12-31
100000,6,2,486,HEAPS OF $500S,5.0,2025-12-31
5,645401,322822,479,KING OF SPADES,5.0,2025-12-31
10,276575,133596,479,KING OF SPADES,5.0,2025-12-31
15,276582,132001,479,KING OF SPADES,5.0,2025-12-31
20,69182,33207,479,KING OF SPADES,5.0,2025-12-31
25,33516,16608,479,KING OF SPADES,5.0,2025-12-31
40,46165,22115,479,KING OF SPADES,5.0,2025-12-31
50,13886,6709,479,KING OF SPADES,5.0,2025-12-31
75,3712,1766,479,KING OF SPADES,5.0,2025-12-31
100,20574,9772,479,KING OF SPADES,5.0,2025-12-31
200,929,451,479,KING OF SPADES,5.0,2025-12-31
500,184,91,479,KING OF SPADES,5.0,2025-12-31
1000,720,347,479,KING OF SPADES,5.0,2025-12-31
5000,29,14,479,KING OF SPADES,5.0,2025-12-31
20000,6,3,479,KING OF SPADES,5.0,2025-12-31
100000,6,2,479,KING OF SPADES,5.0,2025-12-31
10,667472,141803,471,"$1,000,000 WINNINGS",10.0,2025-12-31
20,445133,89790,471,"$1,000,000 WINNINGS",10.0,2025-12-31
30,74178,14587,471,"$1,000,000 WINNINGS",10.0,2025-12-31
50,74178,14528,471,"$1,000,000 WINNINGS",10.0,2025-12-31
100,74178,14462,471,"$1,000,000 WINNINGS",10.0,2025-12-31
200,4472,871,471,"$1,000,000 WINNINGS",10.0,2025-12-31
500,1560,284,471,"$1,000,000 WINNINGS",10.0,2025-12-31
1000,745,173,471,"$1,000,000 WINNINGS",10.0,2025-12-31
5000,50,13,471,"$1,000,000 WINNINGS",10.0,2025-12-31
50000,5,2,471,"$1,000,000 WINNINGS",10.0,2025-12-31
1000000,2,1,471,"$1,000,000 WINNINGS",10.0,2025-12-31
5,505732,288442,472,FUN 5S,5.0,2025-12-31
10,216668,122252,472,FUN 5S,5.0,2025-12-31
15,144472,81291,472,FUN 5S,5.0,2025-12-31
25,144472,81963,472,FUN 5S,5.0,2025-12-31
50,48225,27120,472,FUN 5S,5.0,2025-12-31
100,12068,6750,472,FUN 5S,5.0,2025-12-31
500,288,159,472,FUN 5S,5.0,2025-12-31
2500,17,10,472,FUN 5S,5.0,2025-12-31
25000,3,2,472,FUN 5S,5.0,2025-12-31
100000,5,3,472,FUN 5S,5.0,2025-12-31
50,239975,36963,474,$50 & $100 EXPLOSION,10.0,2025-12-31
100,144012,21940,474,$50 & $100 EXPLOSION,10.0,2025-12-31
10,665571,159146,469,BIG MONEY,5.0,2025-12-31
20,105071,24250,469,BIG MONEY,5.0,2025-12-31
25,34968,8427,469,BIG MONEY,5.0,2025-12-31
40,35088,7448,469,BIG MONEY,5.0,2025-12-31
50,10497,2539,469,BIG MONEY,5.0,2025-12-31
75,2808,609,469,BIG MONEY,5.0,2025-12-31
100,13503,3181,469,BIG MONEY,5.0,2025-12-31
200,699,175,469,BIG MONEY,5.0,2025-12-31
500,173,39,469,BIG MONEY,5.0,2025-12-31
1000,156,41,469,BIG MONEY,5.0,2025-12-31
5000,26,7,469,BIG MONEY,5.0,2025-12-31
20000,9,2,469,BIG MONEY,5.0,2025-12-31
100000,5,2,469,BIG MONEY,5.0,2025-12-31
5,563790,310981,463,50X THE WIN,5.0,2025-12-31
10,241587,129044,463,50X THE WIN,5.0,2025-12-31
15,241547,128410,463,50X THE WIN,5.0,2025-12-31
20,60405,32140,463,50X THE WIN,5.0,2025-12-31
25,19697,10398,463,50X THE WIN,5.0,2025-12-31
40,40288,21198,463,50X THE WIN,5.0,2025-12-31
50,12083,6407,463,50X THE WIN,5.0,2025-12-31
75,3233,1684,463,50X THE WIN,5.0,2025-12-31
100,15502,8249,463,50X THE WIN,5.0,2025-12-31
200,809,427,463,50X THE WIN,5.0,2025-12-31
500,205,114,463,50X THE WIN,5.0,2025-12-31
1000,693,366,463,50X THE WIN,5.0,2025-12-31
5000,30,16,463,50X THE WIN,5.0,2025-12-31
20000,10,4,463,50X THE WIN,5.0,2025-12-31
100000,6,4,463,50X THE WIN,5.0,2025-12-31
75,1029452,464835,464,"$5,000,000 FORTUNE",50.0,2025-12-31
100,514726,231678,464,"$5,000,000 FORTUNE",50.0,2025-12-31
200,218830,98358,464,"$5,000,000 FORTUNE",50.0,2025-12-31
500,103102,46378,464,"$5,000,000 FORTUNE",50.0,2025-12-31
1000,2566,1190,464,"$5,000,000 FORTUNE",50.0,2025-12-31
5000,700,324,464,"$5,000,000 FORTUNE",50.0,2025-12-31
10000,250,112,464,"$5,000,000 FORTUNE",50.0,2025-12-31
50000,40,18,464,"$5,000,000 FORTUNE",50.0,2025-12-31
1000000,3,3,464,"$5,000,000 FORTUNE",50.0,2025-12-31
5000000,3,1,464,"$5,000,000 FORTUNE",50.0,2025-12-31
1,958461,225051,466,COOL $50S,1.0,2025-12-31
2,416766,87598,466,COOL $50S,1.0,2025-12-31
4,194438,38681,466,COOL $50S,1.0,2025-12-31
5,55549,10914,466,COOL $50S,1.0,2025-12-31
10,48635,9003,466,COOL $50S,1.0,2025-12-31
15,27782,5087,466,COOL $50S,1.0,2025-12-31
50,30584,5402,466,COOL $50S,1.0,2025-12-31
100,2271,374,466,COOL $50S,1.0,2025-12-31
500,17,1,466,COOL $50S,1.0,2025-12-31
1000,12,1,466,COOL $50S,1.0,2025-12-31
2500,8,2,466,COOL $50S,1.0,2025-12-31
5,645318,317963,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
10,276524,131826,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
15,276470,130144,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
20,69131,32800,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
25,33491,16255,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
40,46150,21889,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
50,13921,6680,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
75,3698,1724,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
100,20537,9628,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
200,933,441,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
500,184,87,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
1000,720,340,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
5000,29,14,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
20000,6,4,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
100000,6,3,461,DOUBLE-SIDED DOLLARS,5.0,2025-12-31
2,553666,165164,462,WIN IT ALL,2.0,2025-12-31
4,406039,113113,462,WIN IT ALL,2.0,2025-12-31
5,110736,31140,462,WIN IT ALL,2.0,2025-12-31
10,110736,32667,462,WIN IT ALL,2.0,2025-12-31
20,36912,10450,462,WIN IT ALL,2.0,2025-12-31
50,15006,4194,462,WIN IT ALL,2.0,2025-12-31
100,7392,1923,462,WIN IT ALL,2.0,2025-12-31
500,917,264,462,WIN IT ALL,2.0,2025-12-31
1000,92,21,462,WIN IT ALL,2.0,2025-12-31
5000,6,1,462,WIN IT ALL,2.0,2025-12-31
25000,5,1,462,WIN IT ALL,2.0,2025-12-31
100,150747,15497,456,$100 & $200,20.0,2025-12-31
200,90445,9170,456,$100 & $200,20.0,2025-12-31
5,483086,129301,459,SILVER 7S,5.0,2025-12-31
10,207126,54086,459,SILVER 7S,5.0,2025-12-31
15,138052,35042,459,SILVER 7S,5.0,2025-12-31
17,69026,17620,459,SILVER 7S,5.0,2025-12-31
27,81151,20413,459,SILVER 7S,5.0,2025-12-31
77,43327,10862,459,SILVER 7S,5.0,2025-12-31
277,280,78,459,SILVER 7S,5.0,2025-12-31
500,172,44,459,SILVER 7S,5.0,2025-12-31
777,229,56,459,SILVER 7S,5.0,2025-12-31
1000,17,4,459,SILVER 7S,5.0,2025-12-31
7777,12,3,459,SILVER 7S,5.0,2025-12-31
10000,4,1,459,SILVER 7S,5.0,2025-12-31
77777,5,1,459,SILVER 7S,5.0,2025-12-31
30,442463,151991,453,300X,30.0,2025-12-31
40,353818,119778,453,300X,30.0,2025-12-31
50,353783,118583,453,300X,30.0,2025-12-31
60,265387,89037,453,300X,30.0,2025-12-31
100,221153,73512,453,300X,30.0,2025-12-31
200,17690,5926,453,300X,30.0,2025-12-31
300,7755,2580,453,300X,30.0,2025-12-31
500,16055,5385,453,300X,30.0,2025-12-31
1000,94,35,453,300X,30.0,2025-12-31
3000,57,21,453,300X,30.0,2025-12-31
6000,57,19,453,300X,30.0,2025-12-31
30000,9,3,453,300X,30.0,2025-12-31
100000,3,1,453,300X,30.0,2025-12-31
3000000,3,1,453,300X,30.0,2025-12-31
1,901915,261019,455,CASH DOUBLER,1.0,2025-12-31
2,386471,105677,455,CASH DOUBLER,1.0,2025-12-31
4,180415,47201,455,CASH DOUBLER,1.0,2025-12-31
5,51538,13269,455,CASH DOUBLER,1.0,2025-12-31
10,90136,22337,455,CASH DOUBLER,1.0,2025-12-31
20,32239,7579,455,CASH DOUBLER,1.0,2025-12-31
40,9666,2297,455,CASH DOUBLER,1.0,2025-12-31
50,4384,999,455,CASH DOUBLER,1.0,2025-12-31
100,1789,407,455,CASH DOUBLER,1.0,2025-12-31
200,390,86,455,CASH DOUBLER,1.0,2025-12-31
500,132,32,455,CASH DOUBLER,1.0,2025-12-31
1000,8,4,455,CASH DOUBLER,1.0,2025-12-31
3000,8,2,455,CASH DOUBLER,1.0,2025-12-31
10,602104,171758,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
15,225789,63500,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
20,301052,83656,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
25,48981,13479,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
30,45123,12438,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
50,150526,41338,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
100,37682,10252,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
200,4532,1222,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
500,1575,429,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
1000,739,196,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
5000,50,13,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
50000,5,1,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
1000000,2,1,448,"$1,000,000 CASH PAYOUT",10.0,2025-12-31
2,730855,197394,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
4,172508,43974,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
5,284228,69241,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
10,162433,38696,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
20,30458,6891,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
25,11132,2485,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
30,5576,1244,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
40,11580,2508,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
50,3808,868,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
75,1337,312,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
100,6971,1547,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
500,299,62,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
1000,50,5,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
25000,6,1,450,"$25,000 CASH PAYOUT",2.0,2025-12-31
1,946425,342038,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
2,411407,147684,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
4,192084,64833,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
5,54866,18647,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
10,61722,20002,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
15,27433,8959,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
25,54866,17236,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
100,2213,694,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
500,18,6,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
1000,12,3,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
5000,7,3,451,"$5,000 CASH PAYOUT",1.0,2025-12-31
3,654885,83434,452,TREASURE HUNT,3.0,2025-12-31
6,638460,63762,452,TREASURE HUNT,3.0,2025-12-31
9,163656,13886,452,TREASURE HUNT,3.0,2025-12-31
10,131015,12949,452,TREASURE HUNT,3.0,2025-12-31
16,32764,2660,452,TREASURE HUNT,3.0,2025-12-31
20,65487,5478,452,TREASURE HUNT,3.0,2025-12-31
50,10937,862,452,TREASURE HUNT,3.0,2025-12-31
60,8181,661,452,TREASURE HUNT,3.0,2025-12-31
100,8407,650,452,TREASURE HUNT,3.0,2025-12-31
500,543,47,452,TREASURE HUNT,3.0,2025-12-31
1000,80,9,452,TREASURE HUNT,3.0,2025-12-31
50000,7,1,452,TREASURE HUNT,3.0,2025-12-31
2,736165,152650,446,FAST $100S,2.0,2025-12-31
4,357470,68749,446,FAST $100S,2.0,2025-12-31
5,126195,24805,446,FAST $100S,2.0,2025-12-31
10,126204,22674,446,FAST $100S,2.0,2025-12-31
20,31558,5515,446,FAST $100S,2.0,2025-12-31
40,24534,4103,446,FAST $100S,2.0,2025-12-31
100,17531,2995,446,FAST $100S,2.0,2025-12-31
1000,30,5,446,FAST $100S,2.0,2025-12-31
3000,4,0,446,FAST $100S,2.0,2025-12-31
30000,6,2,446,FAST $100S,2.0,2025-12-31
1,964833,307059,439,TRIPLE LUCK,1.0,2025-12-31
2,385847,115203,439,TRIPLE LUCK,1.0,2025-12-31
3,55118,16089,439,TRIPLE LUCK,1.0,2025-12-31
4,55113,15678,439,TRIPLE LUCK,1.0,2025-12-31
5,110248,30469,439,TRIPLE LUCK,1.0,2025-12-31
6,13797,3832,439,TRIPLE LUCK,1.0,2025-12-31
9,55130,15014,439,TRIPLE LUCK,1.0,2025-12-31
10,68927,18114,439,TRIPLE LUCK,1.0,2025-12-31
25,27565,6858,439,TRIPLE LUCK,1.0,2025-12-31
30,11380,2903,439,TRIPLE LUCK,1.0,2025-12-31
50,4853,1203,439,TRIPLE LUCK,1.0,2025-12-31
100,2073,513,439,TRIPLE LUCK,1.0,2025-12-31
500,55,13,439,TRIPLE LUCK,1.0,2025-12-31
1000,6,1,439,TRIPLE LUCK,1.0,2025-12-31
2000,6,3,439,TRIPLE LUCK,1.0,2025-12-31
3000,6,1,439,TRIPLE LUCK,1.0,2025-12-31
6000,6,1,439,TRIPLE LUCK,1.0,2025-12-31
2,634231,190721,436,20X THE MONEY,2.0,2025-12-31
4,465120,131474,436,20X THE MONEY,2.0,2025-12-31
5,126849,36268,436,20X THE MONEY,2.0,2025-12-31
10,126849,35015,436,20X THE MONEY,2.0,2025-12-31
20,42283,11338,436,20X THE MONEY,2.0,2025-12-31
50,17217,4546,436,20X THE MONEY,2.0,2025-12-31
100,8483,2264,436,20X THE MONEY,2.0,2025-12-31
500,1081,289,436,20X THE MONEY,2.0,2025-12-31
1000,104,35,436,20X THE MONEY,2.0,2025-12-31
5000,9,3,436,20X THE MONEY,2.0,2025-12-31
25000,5,1,436,20X THE MONEY,2.0,2025-12-31
2,751506,299317,429,"$20,000 TAXES PAID",2.0,2025-12-31
4,334301,128331,429,"$20,000 TAXES PAID",2.0,2025-12-31
5,125271,47132,429,"$20,000 TAXES PAID",2.0,2025-12-31
10,62629,23099,429,"$20,000 TAXES PAID",2.0,2025-12-31
15,41757,15205,429,"$20,000 TAXES PAID",2.0,2025-12-31
20,31284,11378,429,"$20,000 TAXES PAID",2.0,2025-12-31
40,41757,15071,429,"$20,000 TAXES PAID",2.0,2025-12-31
100,8305,2994,429,"$20,000 TAXES PAID",2.0,2025-12-31
500,321,121,429,"$20,000 TAXES PAID",2.0,2025-12-31
1000,78,27,429,"$20,000 TAXES PAID",2.0,2025-12-31
5000,10,5,429,"$20,000 TAXES PAID",2.0,2025-12-31
27778,6,2,429,"$20,000 TAXES PAID",2.0,2025-12-31
50,392929,81004,421,500X,50.0,2025-12-31
60,654962,134312,421,500X,50.0,2025-12-31
100,917236,184063,421,500X,50.0,2025-12-31
200,52409,10492,421,500X,50.0,2025-12-31
500,128761,25704,421,500X,50.0,2025-12-31
1000,2622,551,421,500X,50.0,2025-12-31
5000,700,155,421,500X,50.0,2025-12-31
10000,250,54,421,500X,50.0,2025-12-31
50000,50,11,421,500X,50.0,2025-12-31
1000000,6,0,421,500X,50.0,2025-12-31
5000000,3,1,421,500X,50.0,2025-12-31
10,597124,98155,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
15,223953,36349,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
20,298646,45957,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
25,48511,7338,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
30,44818,6686,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
50,74651,11033,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
100,74651,10928,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
200,4497,657,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
500,1568,213,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
1000,741,109,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
5000,50,6,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
50000,5,0,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
1000000,2,1,405,"$1,000,000 MONEY MULTIPLIER",10.0,2025-12-31
3,906784,139813,409,FRUIT LOOT,3.0,2025-12-31
6,883981,112067,409,FRUIT LOOT,3.0,2025-12-31
9,226602,25277,409,FRUIT LOOT,3.0,2025-12-31
10,181396,22625,409,FRUIT LOOT,3.0,2025-12-31
16,45362,4767,409,FRUIT LOOT,3.0,2025-12-31
20,90672,10024,409,FRUIT LOOT,3.0,2025-12-31
50,15112,1601,409,FRUIT LOOT,3.0,2025-12-31
60,11364,1176,409,FRUIT LOOT,3.0,2025-12-31
100,11654,1182,409,FRUIT LOOT,3.0,2025-12-31
500,746,84,409,FRUIT LOOT,3.0,2025-12-31
1000,114,10,409,FRUIT LOOT,3.0,2025-12-31
50000,10,2,409,FRUIT LOOT,3.0,2025-12-31
20,463709,92669,359,24K GOLD,20.0,2025-12-31
40,327303,63222,359,24K GOLD,20.0,2025-12-31
50,140485,26582,359,24K GOLD,20.0,2025-12-31
100,136387,25607,359,24K GOLD,20.0,2025-12-31
200,5451,1058,359,24K GOLD,20.0,2025-12-31
500,1801,344,359,24K GOLD,20.0,2025-12-31
1000,1112,213,359,24K GOLD,20.0,2025-12-31
5000,25,7,359,24K GOLD,20.0,2025-12-31
10000,11,2,359,24K GOLD,20.0,2025-12-31
20000,5,0,359,24K GOLD,20.0,2025-12-31
100000,4,2,359,24K GOLD,20.0,2025-12-31
2000000,2,1,359,24K GOLD,20.0,2025-12-31
30,595407,123135,375,BIG RICHES,30.0,2025-12-31
40,476386,97418,375,BIG RICHES,30.0,2025-12-31
50,476349,96630,375,BIG RICHES,30.0,2025-12-31
60,357363,72592,375,BIG RICHES,30.0,2025-12-31
100,297741,59888,375,BIG RICHES,30.0,2025-12-31
500,37968,7599,375,BIG RICHES,30.0,2025-12-31
1000,125,25,375,BIG RICHES,30.0,2025-12-31
2500,90,17,375,BIG RICHES,30.0,2025-12-31
5000,60,15,375,BIG RICHES,30.0,2025-12-31
25000,12,2,375,BIG RICHES,30.0,2025-12-31
100000,4,1,375,BIG RICHES,30.0,2025-12-31
3000000,4,0,375,BIG RICHES,30.0,2025-12-31
10,615888,165115,343,ROSE GOLD,10.0,2025-12-31
15,230958,61119,343,ROSE GOLD,10.0,2025-12-31
20,307944,80261,343,ROSE GOLD,10.0,2025-12-31
25,50019,12975,343,ROSE GOLD,10.0,2025-12-31
30,46159,11958,343,ROSE GOLD,10.0,2025-12-31
50,153972,45238,343,ROSE GOLD,10.0,2025-12-31
100,38563,9951,343,ROSE GOLD,10.0,2025-12-31
200,4600,1182,343,ROSE GOLD,10.0,2025-12-31
500,1606,410,343,ROSE GOLD,10.0,2025-12-31
1000,768,185,343,ROSE GOLD,10.0,2025-12-31
5000,50,14,343,ROSE GOLD,10.0,2025-12-31
50000,5,0,343,ROSE GOLD,10.0,2025-12-31
1000000,2,1,343,ROSE GOLD,10.0,2025-12-31
20,1071687,102629,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
40,833225,75630,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
50,23854,2194,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
100,218305,19327,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
200,11895,1090,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
500,13713,1220,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
1000,4724,421,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
4000,175,17,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
10000,108,13,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
20000,30,3,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
100000,26,3,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
4000000,4,1,21,$100 MILLION CASH BONANZA,20.0,2025-12-31
