,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
24,10.0,1479,100000.0,3.46,Top Prize Claimed,,2nd Chance,2022-07-19,2023-06-15T00:00:00,2024-06-15,2024-01-15,https:/www.oregonlottery.org/scratch-its/hit-it-big/,Hit It Big,80377,4903,632684,0.0,278104.42,16964.38,197727.41999999998,12061.380000000001,inf,inf,,3.46,-2.2399875503843332e-05,10.69,8.770506796177742,0.21878372881987584,0.2890238151379392,0.2890177775220781,-6.037615861098633e-06,0.09355104928083,0.11401849667750194,0.020467447396671945,0.05337655488223848,0.012341768629188558,6.236995030855328,26.556597987996767,12.0,0.21,-0.04830485429047035,0.2062013676019807,-0.04830485429047035,0.06,0.05563157604616665,0.9999986429502017,https://www.oregonlottery.org/wp-content/uploads/2022/02/1479_HitItBig_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,545,23.0,33.333333333333336,12.0,21.333333333333332,,22.416666666666668,14.0,7.0,/oregon-statistics-for-each-scratch-it-game
25,3.0,1480,25000.0,3.62,Top Prize Claimed,,2nd Chance,2022-08-11,2023-06-15T00:00:00,2024-06-15,2024-01-15,https:/www.oregonlottery.org/scratch-its/lighthouse-crossword/,Lighthouse Crossword,336239,25755,1789774,0.0,1217185.18,93233.1,880946.1799999999,67478.1,inf,inf,,3.62,-1.072580446190864e-06,7.73,5.8406750544630945,0.32327859078896815,0.27624339021591066,0.2762431347740894,-2.554418212508125e-07,0.1293855180032821,0.1712130859318838,0.041827567928601705,0.039982230474079374,0.016776206808908112,8.334339091205171,19.836736302807378,9.0,0.21,-0.14938743667363713,0.20868505071523324,-0.14938743667363713,0.04,0.03562258678770272,0.9999999232952245,https://www.oregonlottery.org/wp-content/uploads/2022/08/1480_Lighthouse-Crossword_Tile_1200x1200-300x300.jpg,,,,2024-01-15,522,31.0,30.0,13.0,24.333333333333332,,24.583333333333332,24.0,2.0,/oregon-statistics-for-each-scratch-it-game
26,5.0,1481,70000.0,3.85,,,2nd Chance,2022-04-01,2023-03-15T00:00:00,2024-03-15,2024-01-15,https:/www.oregonlottery.org/scratch-its/777/,777,180228,10852,1165620,1.0,693877.8,41780.200000000004,513649.80000000005,30928.200000000004,41780.200000000004,41780.200000000004,0.0,3.85,-4.78695650091648e-06,11.25,8.350607151023551,0.3474896353605255,0.2597415031115366,0.2597405592057382,-9.439057984117483e-07,0.08887027285782671,0.1197517715675833,0.030881498709756594,0.04879569369104089,0.013778184837543239,6.826906450130695,24.03622055991995,13.0,0.56,0.0780953798150582,0.5613212063188128,0.0780953798150582,0.07,0.07360914309036402,0.9999997671666878,https://www.oregonlottery.org/wp-content/uploads/2022/03/1481_777_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,654,26.0,32.666666666666664,48.0,32.0,33.25,34.38333333333333,47.0,11.0,/oregon-statistics-for-each-scratch-it-game
27,10.0,1482,100.0,9.0,,,2nd Chance,2022-12-14,2023-06-15T00:00:00,2024-06-15,2024-01-15,https:/www.oregonlottery.org/scratch-its/50-or-100/,$50 or $100,30891,956,43196,268.0,278019.0,8604.0,247128.0,7648.0,32.1044776119403,32.1044776119403,0.0,9.0,0.0,9.0,9.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.03451706742193747,0.03451706742193747,9.56048286498699,9.56048286498699,13.0,0.6,-0.0018619762402825274,0.600185960018596,-0.0018619762402825274,0.03,0.030346856189391536,1.0,https://www.oregonlottery.org/wp-content/uploads/2022/04/1482_50_or_100_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,397,33.333333333333336,18.333333333333332,49.0,20.666666666666668,33.083333333333336,30.883333333333336,34.0,12.0,/oregon-statistics-for-each-scratch-it-game
28,20.0,1483,200000.0,2.72,Top Prize Claimed,,2nd Chance,2022-06-28,2023-08-22T00:00:00,2024-08-22,2024-01-15,https:/www.oregonlottery.org/scratch-its/colossal-cash/,Colossal Cash,175926,4422,645957,0.0,478518.72000000003,12027.84,302592.72000000003,7605.84,inf,inf,,2.72,-6.983797589595297e-05,5.17,4.594375582076369,0.1244699135083004,0.3676727363432277,0.36764761200205637,-2.5124341171356424e-05,0.19356447992017958,0.21765743399412352,0.024092954073943934,0.0586063732533828,0.03273471303738177,5.68035736891809,10.13852341834989,6.0,0.22,-0.019603422222364074,0.21690779080402428,-0.019603422222364074,0.02,0.02000582657901597,0.9999982381173681,https://www.oregonlottery.org/wp-content/uploads/2022/04/1483_ColossalCash_GameTile_1200x1200-1-300x300.jpg,,,,2024-01-15,566,20.666666666666668,19.0,14.0,4.0,,14.416666666666668,3.0,1.0,/oregon-statistics-for-each-scratch-it-game
29,5.0,1484,50000.0,3.53,Top Prize Claimed,,2nd Chance,2022-07-13,2023-07-14T00:00:00,2024-07-14,2024-01-15,https:/www.oregonlottery.org/scratch-its/wild-west-crossword/,Wild West Crossword,401560,32117,1871604,0.0,1417506.7999999998,113373.01,1015946.7999999998,81256.01,inf,inf,,3.53,-8.820441475101396e-08,7.07,5.771768739337033,0.22498777015783414,0.28328614396725854,0.2832862788587844,1.3489152583812114e-07,0.14143579159059036,0.1732571149610654,0.03182132337047505,0.04472364494369554,0.025980299688087603,7.451449837001286,12.819976576682178,9.0,0.26,-0.06695474486189065,0.2595150520847116,-0.06695474486189065,0.05,0.039728879264201274,1.0000000413949042,https://www.oregonlottery.org/wp-content/uploads/2022/04/1484_WildWestCrossword_Tile_1200x1200-300x300.jpg,,,,2024-01-15,551,28.0,23.666666666666668,29.0,28.666666666666668,,27.333333333333336,28.0,6.0,/oregon-statistics-for-each-scratch-it-game
30,10.0,1485,100000.0,3.06,Top Prize Claimed,,2nd Chance,2022-07-25,2023-08-01T00:00:00,2024-08-01,2024-01-15,https:/www.oregonlottery.org/scratch-its/aces-high/,Aces High,121120,7502,601030,0.0,370627.2,22956.12,249507.2,15454.119999999999,inf,inf,,3.06,-5.227364206128387e-06,7.05,6.074159660422505,0.16142846084762874,0.3267990939188012,0.3267975619693115,-1.5319494897081398e-06,0.14174943369925075,0.16463182660734377,0.02288239290809302,0.05911248417754721,0.026581044562922953,5.6347313469822975,12.492122504438957,9.0,0.18,-0.05004549620353797,0.18365568914445024,-0.05004549620353797,0.04,0.03294256520164321,0.9999996904766709,https://www.oregonlottery.org/wp-content/uploads/2022/03/1485_AcesHigh_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,539,20.333333333333332,22.333333333333332,3.0,18.666666666666668,,16.083333333333332,9.0,5.0,/oregon-statistics-for-each-scratch-it-game
31,5.0,1486,50000.0,3.57,Top Prize Claimed,,2nd Chance,2022-04-13,2023-03-01T00:00:00,2024-03-01,2024-01-15,https:/www.oregonlottery.org/scratch-its/celebrating-state-parks/,Celebrating State Parks,161443,14626,663120,0.0,576351.51,52214.82,414908.51,37588.82,inf,inf,,3.57,-1.570435366809588e-05,8.03,7.337097246445075,0.09433158845217382,0.2801164438656299,0.28011229268275756,-4.151182872336179e-06,0.12454514114988317,0.13629368214855184,0.011748540998668663,0.054753205761192476,0.02700367218807228,6.085390614532889,12.320613143972027,10.0,0.34,-0.022306096645214463,0.34297314896387937,-0.022306096645214463,0.08,0.07311096704312876,0.9999985236754428,https://www.oregonlottery.org/wp-content/uploads/2022/03/1486_CelebratingStateParks_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,642,22.333333333333332,22.0,43.0,24.666666666666668,,28.0,29.0,7.0,/oregon-statistics-for-each-scratch-it-game
32,20.0,1487,250000.0,2.93,Top Prize Claimed,,2nd Chance,2022-06-15,2023-12-29T00:00:00,2024-12-29,2024-01-15,https:/www.oregonlottery.org/scratch-its/20x/,20X,144039,5272,590192,0.0,422034.27,15446.960000000001,277995.27,10174.960000000001,inf,inf,,2.93,-6.21481508335711e-05,6.86,6.006318935458621,0.1419294010901498,0.34131814061893045,0.34129714667538635,-2.099394354410089e-05,0.1457982649229574,0.16649132534345573,0.020693060420498344,0.07013437143408743,0.03589176856907204,4.7485005219303265,9.249037750208103,9.0,0.23,-0.018872215777969447,0.23219603780914158,-0.018872215777969447,0.02,0.018669622642981974,0.9999976631930197,https://www.oregonlottery.org/wp-content/uploads/2022/04/1487_20x_Tile_1200x1200-300x300.jpg,,,,2024-01-15,579,18.0,18.0,20.0,3.0,,14.75,5.0,2.0,/oregon-statistics-for-each-scratch-it-game
33,10.0,1488,100000.0,3.21,Top Prize Claimed,,2nd Chance,2022-07-14,2023-10-20T00:00:00,2024-10-20,2024-01-15,https:/www.oregonlottery.org/scratch-its/platinum-payout/,Platinum Payout,114607,5770,642810,0.0,367888.47,18521.7,253281.46999999997,12751.7,inf,inf,,3.21,-3.779350707543016e-05,9.28,7.310098159996821,0.2699842149844667,0.3115382538739809,0.3115268777454008,-1.1376128580098399e-05,0.10771556611414071,0.13679706867307442,0.029081502558933714,0.06314676937515391,0.01857541414002786,5.273882797543088,17.78489314109501,11.0,0.17,-0.054678660480470084,0.1742076561740727,-0.054678660480470084,0.03,0.02753977325157648,0.9999980641062364,https://www.oregonlottery.org/wp-content/uploads/2022/04/1488_PlatinumPayout_GameTile_1200x1200-300x300.jpg,,,,2024-01-15,550,18.333333333333332,29.333333333333332,1.0,6.333333333333333,,13.75,2.0,2.0,/oregon-statistics-for-each-scratch-it-game
