,price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,extrachances,secondChance,startDate,Days Since Start,lastdatetoclaim,topprizeodds,overallodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Photo,FAQ,About,Directory,Data Date,Stats Page,gameURL
0,50,500X THE MONEY,2267,7000000,1,,,,3/5/2024,658,,"2,611,200",3.39,2380881.0,-0.08820427389705883,3.39,-3.1500934473163653e-07,5.14,0.0016855055114897548,0.29498534366060297,-8.911746829376455e-08,0.1945842736365236,0.00032797286566360606,0.03731130712260502,0.030396682124955877,8.933728645973625,10.965849561756142,6.0,0.53,0.0002528126742882932,0.5289604982357371,0.0002528126742882932,0.32,0.3211933997226411,0.9999998660631573,51.0,46.333333333333336,85.0,57.666666666666664,59.5,59.9,85.0,3.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2267_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2267
1,50,"$1,000,000 GOLD RUSH",2309,1000000,3,,,,11/5/2024,413,,"734,400",3.55,449832.3333333333,-0.3874832062454612,3.55,0.0,3.55,0.0,0.28169014084507044,0.0,0.28169014084507044,0.0,0.045944382778445224,0.045944382778445224,7.255010329344315,7.255010329344315,4.0,0.55,0.0005193967507087327,0.5536585112823518,0.0005193967507087327,0.43,0.42682342228596254,1.0,36.666666666666664,36.0,88.0,78.0,65.66666666666667,60.86666666666666,88.0,4.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2309_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2309
2,50,Cash Surge,2374,10000,485,,,,8/5/2025,140,,"3,184.39",7.53,2923.439175257732,-0.08194687985525258,7.53,-6.206497741007814e-07,7.53,-4.2970058034197015e-07,0.13280220725765726,-5.706518552139883e-08,0.13280220725765726,-5.706518552139883e-08,0.04172454995659697,0.04172454995659697,7.988562892286522,7.988562892286522,11.0,0.68,0.00018397763109429048,0.6787937946268623,0.00018397763109429048,0.74,0.7435013648031037,0.9999988279401787,41.333333333333336,37.666666666666664,96.0,65.0,58.333333333333336,59.666666666666664,81.5,2.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2374_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2374
3,50,Cash Surge,2339,10000,53,,,,4/1/2025,266,4/1/2026,"3,400",7.53,2460.4528301886794,-0.27633740288568254,7.53,-4.140960123007413e-06,7.53,-3.42356975602431e-06,0.13280267476457777,-4.5465922082765786e-07,0.13280267476457777,-4.5465922082765786e-07,0.041969273250381606,0.041969273250381606,7.938677643923534,7.938677643923534,11.0,0.69,0.000595938438622496,0.6851170209502776,0.000595938438622496,0.13,0.12680900416335672,0.9999995401252374,41.0,37.333333333333336,97.0,15.666666666666666,40.166666666666664,46.233333333333334,25.0,1.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2339_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2339
4,30,"Bursting with $5,000s",2300,5000,1093,,,,9/3/2024,476,,456.04,3.75,446.9871912168344,-0.019850909532421784,3.75,-1.0234209893174769e-06,8.59,0.0027853095670201874,0.2666669395792098,-1.6339419384170384e-07,0.11646542778017713,0.0003243922702232116,0.05825274778495225,0.03375752728210234,5.721939412739579,9.872627648842036,12.0,0.52,0.00029536766614190454,0.5234633147548119,0.00029536766614190454,0.4,0.39796141083137493,0.9999995893063589,35.666666666666664,42.666666666666664,81.0,54.0,52.5,53.166666666666664,58.0,3.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2300_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2300
5,30,Cash Overload,2320,2000,76,,,,10/4/2024,445,,"8,568",7.4,7306.9078947368425,-0.14718628679541987,7.4,-1.0804472187801765e-06,7.4,-6.072687003195237e-07,0.1351352811416738,-8.206342655414645e-08,0.1351352811416738,-8.206342655414645e-08,0.035033061641001284,0.035033061641001284,9.513615418624905,9.513615418624905,10.0,0.64,1.831419502837929e-05,0.6399423760860756,1.831419502837929e-05,0.34,0.33832459991328545,0.9999997029756055,57.333333333333336,42.333333333333336,94.0,48.666666666666664,52.666666666666664,59.0,77.0,8.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2320_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2320
6,30,Scorching Hot 7s,2241,777777,1,,,,9/5/2023,840,1/14/2026,"734,400",3.07,458885.0,-0.37515659041394334,3.07,-3.9225498621941734e-07,4.71,0.0030343265603238077,0.32573302679320526,2.1763233715166308e-08,0.21240397921047757,0.0006445030356368175,0.039068976170310785,0.030855557251050242,8.53143185598101,10.801827027559266,6.0,0.47,0.0012506020626944613,0.47362825108687356,0.0012506020626944613,0.22,0.22517663060336382,1.0000000180599073,47.0,46.0,70.0,58.0,58.0,55.8,67.0,5.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2241_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2241
7,30,BONUS STAR MILLIONS,2335,1000000,1,,,,3/4/2025,294,,"489,600",3.78,420328.0,-0.14148692810457517,3.78,-1.0468004496144302e-06,3.78,-4.682898538008585e-07,0.26455054148189033,-1.2388633441329233e-07,0.26455054148189033,-1.2388633441329233e-07,0.04068382668835866,0.04068382668835866,8.192660368710197,8.192660368710197,4.0,0.57,0.0006307274524573723,0.5667074284844217,0.0006307274524573723,0.31,0.31156284703724424,0.9999998092079097,43.333333333333336,38.333333333333336,90.0,54.333333333333336,50.666666666666664,55.333333333333336,65.0,4.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2335_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2335
8,30,WINNERS CLUB,2354,1000000,3,,,,7/1/2025,175,,"408,000",2.95,148182.33333333334,-0.6368080065359477,2.95,-6.748438243624929e-07,5.67,0.0023856717316917066,0.3389832796082304,-9.704568260104907e-09,0.17627382481492396,0.00042053148089812864,0.05735033500424316,0.03529832753122782,5.8120057576150765,9.44218017828065,7.0,0.64,0.009246530055775694,0.6379970321848235,0.009246530055775694,0.51,0.5261293795177154,0.9999999822266761,36.0,41.666666666666664,93.0,81.0,57.166666666666664,61.766666666666666,91.0,9.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2354_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2354
9,30,"$173,000,000 Extravaganza",2143,3100000,2,,,,4/5/2022,1358,,"2,529,600",3.08,2458204.5,-0.0282240275142315,3.08,-1.952644323289398e-07,5.01,0.000717627704411497,0.32467538807288004,-4.114266999311056e-08,0.19951391350882322,0.00014317671174945978,0.038748577146920184,0.024528309255556328,8.602420049482653,13.589551231090063,6.0,0.46,7.40262036838423e-05,0.45574381626915095,7.40262036838423e-05,0.65,0.6542364103042283,0.999999766651271,48.0,54.0,59.0,71.0,56.0,57.6,74.0,7.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2143_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2143
10,30,Dominion Dollars,2193,1000000,2,,,,12/6/2022,1113,,"1,060,800",3.06,897520.5,-0.15392109728506786,3.06,-5.013810541761133e-07,4.96,0.0006615002108656,0.32679754947101486,-8.575735388482997e-08,0.201626592373099,0.00013337603337088,0.04510416949510107,0.03317442325971068,7.390206664123348,10.047622438797537,6.0,0.47,0.0003851853993156861,0.4703297399149472,0.0003851853993156861,0.59,0.5935178146372101,0.9999996599792946,37.666666666666664,43.333333333333336,68.0,65.0,48.833333333333336,52.56666666666666,53.0,2.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2193_teaser.ashx,,,,2025-12-23,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2193
