,price,gameName,gameNumber,topprize,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto
35,20.0,Win $100 or $200,1501.0,200.0,01/24/2022,,,/scratchers/$20/win-$100-or-$200-1501,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1501-20-Win-100-or-200-thumbnail.jpg?rev=50d432d3405d4727aa5707836e8477b2
36,1.0,CLOVER ALL OVER&trade;,1502.0,1000.0,02/21/2022,01/16/2023,07/15/2023,/scratchers/$1/clover-all-over-1502,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1502-1-Clover-All-Over-thumbnail.jpg?rev=baaf8a5c3c9845c28956b720d7703a35
37,3.0,LOTERIA™,1503.0,30000.0,02/21/2022,,,/scratchers/$3/loteria-1503,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1503-3-Loteria-thumbnail.jpg?rev=2169f876f3ac429683a409e7a566796f
38,5.0,Bring the Heat&nbsp;,1504.0,250000.0,02/21/2022,11/21/2022,05/20/2023,/scratchers/$5/bring-the-heat-1504,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1504-5-Bring-the-Heat-thumbnail.jpg?rev=0eb35f52eba943f78ed71dfae0be26fc
39,30.0,Set For Life! Millionaire Edition,1505.0,20000000.0,02/21/2022,,,/scratchers/$30/set-for-life-millionaire-edition-1505,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1505-30-Set-For-Life-Millionaire-Edition-thumbnail.jpg?rev=043ae9c14034414bb178eec9eea69f71
40,2.0,California Dreamin',1506.0,30000.0,03/21/2022,01/16/2023,07/15/2023,/scratchers/$2/california-dreamin-1506,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1506-2-California-Dreamin-thumbnail.jpg?rev=c214fc373d564da2a34e78b2be1fdf6f
41,5.0,California Dreamin',1507.0,250000.0,03/21/2022,01/16/2023,07/15/2023,/scratchers/$5/california-dreamin-1507,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1507-5-California-Dreamin-thumbnail.jpg?rev=69a25a68b5e649349c6f7788d8f3c4cb
42,10.0,California Dreamin',1508.0,1000000.0,03/21/2022,01/16/2023,07/15/2023,/scratchers/$10/california-dreamin-1508,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1508-10-California-Dreamin-thumbnail.png?rev=6bc08ea3e92546ea85f71bbd35f21300
43,20.0,Millionaire Bucks,1509.0,5000000.0,03/21/2022,,,/scratchers/$20/millionaire-bucks-1509,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1509-20-Millionaire-Bucks-thumbnail.jpg?rev=21e991e0998d42bba908d3bb89b06452
44,1.0,Tic-Tac-Toad,1510.0,1000.0,04/25/2022,11/21/2022,05/20/2023,/scratchers/$1/tic-tac-toad-1510,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1510-1-Tic-Tac-Toad-thumbnail.jpg?rev=36d08aceb34f49388a22622e9e9b7546
45,2.0,Money Mania,1511.0,30000.0,04/25/2022,01/16/2023,07/15/2023,/scratchers/$2/money-mania-1511,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1511-2-Money-Mania-thumbnail.jpg?rev=107880a9a86142a68f0e74342c922ef1
46,5.0,Hot Poker Nights,1512.0,75000.0,04/25/2022,,,/scratchers/$5/hot-poker-nights-1512,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1512-5-Hot-Poker-Nights-thumbnail.jpg?rev=4b3688c2a1014490ae034928f413becf
47,10.0,50X Fortune,1513.0,1000000.0,04/25/2022,,,/scratchers/$10/50x-fortune-1513,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1513-10-50X-Fortune-thumbnail.jpg?rev=4c675bd20ea34e63a26eb3bc64e6b1bc
48,20.0,Instant Prize Crossword,1514.0,2000000.0,04/25/2022,,,/scratchers/$20/instant-prize-crossword-1514,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1514-20-Instant-Prize-Crossword-thumbnail.jpg?rev=478903f302d443ea9e90eb17ab67e3bb
49,2.0,$200 Win!,1515.0,200.0,05/23/2022,,,/scratchers/$2/$200-win-1515,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1515-2-200-Win-thumbnail.jpg?rev=b8283da00bb84584b3641cbed185d34a
50,3.0,Top Secret Crossword,1516.0,20000.0,05/23/2022,,,/scratchers/$3/top-secret-crossword-1516,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1516-3-Secret-Crossword-thumbnail.jpg?rev=696e708a79c2467bbde44b4e8a4868cb
51,5.0,25X,1517.0,200000.0,05/23/2022,,,/scratchers/$5/25x-1517,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1517-5-25X-thumbnail.jpg?rev=9252d204c9524bc08327c5a1b0edd01e
52,10.0,Bonus Blast,1518.0,1000000.0,05/23/2022,,,/scratchers/$10/bonus-blast-1518,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1518-10-Bonus-Blast-thumbnail.jpg?rev=2d4e869d79b64cb5bffc2ca826ee3219
53,20.0,"$5,000,000 Extreme Cash",1519.0,5000000.0,02/21/2022,02/06/2023,08/05/2023,/scratchers/$20/$5000000-extreme-cash-1519,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1519-20-5-Million-Extreme-Cash-thumbnail.jpg?rev=d0aa12abc6264f8da32bb9481d401f03
54,2.0,Electric 8's,1520.0,20000.0,06/20/2022,,,/scratchers/$2/electric-8s-1520,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1520-2-Electric-8s-thumbnail.jpg?rev=60e7a7bf2d014e9695de9e6051ef18c7
55,3.0,Money Ball,1521.0,30000.0,06/20/2022,,,/scratchers/$3/money-ball-1521,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1521-3-Money-Ball-thumbnail.jpg?rev=1512208390374e738e193c519d5205f2
56,5.0,"$250,000 Payout",1522.0,250000.0,06/20/2022,,,/scratchers/$5/$250000-payout-1522,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/15225250000Payoutthumbnail.jpg?rev=9ae0d2f648d64c0ea6b3f97768b95d1d
57,10.0,Power 10's,1523.0,1000000.0,06/20/2022,,,/scratchers/$10/power-10s-1523,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1523-10-Power-10s-thumbnail.jpg?rev=ecb2587186a74be286306e028e026e34
58,1.0,Bee Lucky,1524.0,1000.0,07/25/2022,,,/scratchers/$1/bee-lucky-1524,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1524-1-Lucky-Bee-thumbnail.jpg?rev=0717f1522f31464daf174907ef646192
59,3.0,Bingo Doubler,1525.0,20000.0,07/25/2022,,,/scratchers/$3/bingo-doubler-1525,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1525-3-Bingo-Doubler-thumbnail.jpg?rev=cd78fcdabbc24b25bc11fdaf562c997b
60,5.0,Full of 500's,1526.0,500.0,07/25/2022,,,/scratchers/$5/full-of-500s-1526,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1526-5-Full-of-500s-thumbnail.jpg?rev=3f4af0b962644ba99f4510d86e6733c4
61,10.0,Sparkling Riches,1527.0,1000000.0,07/25/2022,,,/scratchers/$10/sparkling-riches-1527,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1527-10-Sparkling-Riches-thumbnail.jpg?rev=8113bc6cefcf4b1fb478d5783bb6b934
62,20.0,100X,1528.0,5000000.0,07/25/2022,,,/scratchers/$20/100x-1528,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1528-20-100X-thumbnail.jpg?rev=5a41fa41814a43268a1606b64140a271
63,2.0,The Addams Family Fortune,1529.0,30000.0,08/22/2022,,,/scratchers/$2/the-addams-family-fortune-1529,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1529-2-Addams-Family-Fortune-thumbnail-.jpg?rev=05fa60ea61f34cb9964abefc84cca68c
64,5.0,LOTERIA&trade; Extra!,1530.0,100000.0,08/22/2022,,,/scratchers/$5/loteria-extra-1530,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1530-3-Loteria-Extra-thumbnail.jpg?rev=37ce89b842e743ebacdd8307767aebfc
65,10.0,Win Big,1531.0,1000000.0,08/22/2022,,,/scratchers/$10/win-big-1531,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1531-10-Win-Big-thumbnail.jpg?rev=7ed555f7fb49415d8db72b05f0133cac
66,30.0,California 200X,1532.0,10000000.0,08/22/2022,,,/scratchers/$30/california-200x-1532,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1532-30-California-200X-thumbnail.jpg?rev=0575925101d240df80129a9f7f10bfc5
67,1.0,Pumpkin Spice Payday,1533.0,1000.0,09/19/2022,,,/scratchers/$1/pumpkin-spice-payday-1533,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1533-1-Pumpkin-Spice-Payout--thumbnail.jpg?rev=044c9949767144449879040f0b5e520d
