,gameNumber,startDate,price,Unnamed: 3,gameName,topprize,topprizestarting,topprizeremaining,gameURL,Game Call Date,endDate,lastdatetoclaim,extrachances,secondChance,topprizeavail
40,2600,08/18/25,10,*,Casino Night,"$250,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699737.html,05/03/2026,06/17/2026,,,,
41,2720,02/16/26,5,,Chameleon Cash,"$100,000",5,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252698714.html,,,,,,
42,2599,11/18/24,50,*,Colossal Cashword,"$3,000,000",4,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252700410.html,03/02/2026,04/16/2026,10/13/2026,,,
43,2663,08/18/25,5,*,Cowboys,"$100,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699548.html,04/05/2026,05/20/2026,11/16/2026,,,
44,2656,11/17/25,2,,Crazy 8s,"$30,000",6,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699576.html,,,,,,
45,2504,03/04/24,3,,Crossword,"$50,000",18,15,/export/sites/lottery/Games/Scratch_Offs/details.html_252700694.html,,,,,,
46,2685,09/02/25,20,,Diamond 7s,"$1,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699484.html,,,,,,
47,2683,09/02/25,5,,Emerald 7s,"$200,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699486.html,,,,,,
48,2655,08/04/25,20,,Extreme Multiplier,"$1,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699577.html,,,,,,
49,2677,11/17/25,50,,Golden Riches,"$2,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699513.html,,,,,,
50,2697,11/03/25,3,,Holiday Word Blast,"$50,000",5,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699451.html,,,,,,
51,2664,08/18/25,5,*,Houston Texans,"$100,000",4,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699547.html,04/05/2026,05/20/2026,11/16/2026,,,
52,2660,03/02/26,5,,In the Green,"$100,000",6,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252699551.html,,,,,,
53,2671,10/20/25,20,,Instant Millions,"$1,000,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699519.html,,,,,,
54,2690,10/06/25,5,*,Jurassic Park,"$100,000",4,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699458.html,05/03/2026,06/17/2026,,,,
55,2676,06/23/25,10,,Limited Edition Mega Loteria,"$250,000",10,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699514.html,,,,,,
56,2587,08/18/25,100,,Loteria Supreme,"$7,500,000",4,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252700443.html,,,,,,
57,2723,03/16/26,5,,Lucky 7s Tripler,"$100,000",4,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252698711.html,,,,,,
58,2705,12/01/25,10,,Lucky Match,"$250,000",4,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252698771.html,,,,,,
59,2622,12/15/25,2,,Lucky No. 7,"$30,000",6,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699673.html,,,,,,
60,2638,03/03/25,20,*,Mega Jumbo Bucks,"$1,000,000",4,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699636.html,03/08/2026,04/22/2026,10/19/2026,,,
61,2669,08/04/25,10,,Mega Loteria,"$250,000",10,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699542.html,,,,,,
62,2722,02/16/26,20,,Mega Millionaire,"$1,000,000",4,1,/export/sites/lottery/Games/Scratch_Offs/details.html_252698712.html,,,,,,
63,2653,07/21/25,20,,Million Dollar Loteria,"$1,000,000",10,5,/export/sites/lottery/Games/Scratch_Offs/details.html_252699579.html,,,,,,
64,2730,03/30/26,30,,Millionaire's Club,"$2,000,000",4,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252698683.html,,,,,,
65,2670,09/15/25,5,*,Money Money Money,"$100,000",6,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699520.html,05/03/2026,06/17/2026,,,,
66,2692,10/20/25,2,,Patriotic Payout,"$30,000",5,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699456.html,,,,,,
67,2725,03/16/26,20,,Power 20s,"$1,000,000",4,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252698709.html,,,,,,
68,2661,08/04/25,30,,Premier Play,"$1,000,000",10,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699550.html,,,,,,
69,2699,11/03/25,10,,Reindeer Riches,"$250,000",5,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699449.html,,,,,,
70,2672,01/20/26,2,,Royal Riches,"$30,000",5,2,/export/sites/lottery/Games/Scratch_Offs/details.html_252699518.html,,,,,,
71,2684,09/02/25,10,*,Ruby 7s,"$500,000",4,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252699485.html,05/03/2026,06/17/2026,,,,
72,2724,03/30/26,10,,Slots of Luck,"$250,000",6,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252698710.html,,,,,,
73,2581,12/16/24,5,,Super Crossword,"$100,000",13,11,/export/sites/lottery/Games/Scratch_Offs/details.html_252700449.html,,,,,,
74,2648,04/21/25,5,,Super Loteria,"$100,000",30,19,/export/sites/lottery/Games/Scratch_Offs/details.html_252699605.html,,,,,,
75,2628,05/19/25,3,,Texas Loteria,"$50,000",14,8,/export/sites/lottery/Games/Scratch_Offs/details.html_252699667.html,,,,,,
76,2610,04/13/26,50,,Ultimate Millions,"$1,000,000",4,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252699706.html,,,,,,
77,2696,11/03/25,1,*,White Elephant,$500,58,50,/export/sites/lottery/Games/Scratch_Offs/details.html_252699452.html,04/05/2026,05/20/2026,11/16/2026,,,
78,2693,10/20/25,5,*,Wild Cash,"$100,000",4,4,/export/sites/lottery/Games/Scratch_Offs/details.html_252699455.html,03/03/2026,04/17/2026,10/14/2026,,,
79,2698,11/03/25,5,*,Winter Winnings,"$100,000",5,5,/export/sites/lottery/Games/Scratch_Offs/details.html_252699450.html,02/24/2026,04/10/2026,10/07/2026,,,
80,2590,01/21/25,50,,X,"$1,000,000",4,3,/export/sites/lottery/Games/Scratch_Offs/details.html_252700419.html,,,,,,
81,2728,03/30/26,5,,Yellowstone,"$100,000",5,---,/export/sites/lottery/Games/Scratch_Offs/details.html_252698706.html,,,,,,
