,price,gameName,gameNumber,topprize,overallodds,topprizeodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,5,"$1,000,000 GOLDEN FORTUNE     ",1547,1000000,4.06,2590025.00,4,2,,,,2022-12-06,,2025-07-26,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1547
0,1,HOLIDAY 7S / LUCKY 7S         ,1550,7000,4.96,1296850.00,20,3,,,,2022-12-06,,2024-12-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1550
0,1,LOOSE CHANGE                  ,1552,500,4.7,49244.13,3128,57,,,,2022-10-20,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1552
0,3,LOTERIA                       ,1541,60000,4.4,2676933.33,6,1,,,,2022-10-04,,2025-11-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1541
0,10,CASH X50                      ,1554,3000000,3.91,5530175.00,4,0,Top Prize Claimed,,,2023-01-03,,2024-12-13,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1554
0,5,CASH X20                      ,1555,1000000,4.11,4513950.00,4,0,Top Prize Claimed,,,2023-01-03,,2025-03-25,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1555
0,2,CASH X10                      ,1556,25000,4.8,1680483.33,15,2,,,,2023-01-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1556
0,1,CASH X5                       ,1557,5000,4.82,1309662.50 ,20,0,Top Prize Claimed,,,2023-01-03,,2025-08-19,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1557
0,10,SET FOR LIFE                  ,1548,5000 a Week for Life,3.96,7061692.86,7,1,,,,2022-11-28,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1548
0,20,CASH X100                     ,1558,5000000,3.68,4498390.00,5,0,Top Prize Claimed,,,2023-02-07,,2025-11-05,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1558
0,5,HIT IT BIG!                   ,1559,1000000,4.55,3804233.33,3,2,,,,2023-02-07,,2025-11-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1559
0,3,CASHWORD X15                  ,1560,60000,4.2,2386383.33,6,0,Top Prize Claimed,,,2023-02-07,,2025-03-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1560
0,5,DOUBLE TRIPLE CASHWORD        ,1549,300000,5.14,4152960.00,10,0,Top Prize Claimed,,,2022-12-22,,2025-07-23,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1549
0,10,INSTANT $500                  ,1561,500,4.19,326.45,56773,20254,,,,2023-03-07,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1561
0,5,BREAK THE BANK                ,1562,500000,4.16,3086525.00,4,1,,,,2023-03-07,,2025-08-09,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1562
0,2,TRIPLE WINNING 7'S            ,1563,25000,4.84,1001300.00,10,0,Top Prize Claimed,,,2023-03-07,,2025-01-19,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1563
0,30,"$100, $200 OR $500            ",1565,500,6.45,99.87,61883,970,,,,2023-04-04,,2025-03-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1565
0,1,MATCH 2 WIN                   ,1566,5000,5.22,672212.50,20,1,,,,2023-04-04,,2025-03-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1566
0,5,HGTV'S MY LOTTERY DREAM HOME  ,1564,1000000,4.09,2470266.67,3,0,Top Prize Claimed,,,2023-04-04,,2024-09-13,10/08/2024,https://nylottery.ny.gov/scratch-off-game?game=1564
0,10,TRIPLE JACKPOT 777            ,1567,3000000,4.23,4632187.50,4,1,,,,2023-05-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1567
0,5,RUBY RED 7S                   ,1568,777777,4.15,3085975.00,4,1,,,,2023-05-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1568
0,5,CASH X20 BINGO                ,1572,300000,4.31,2469160.00,5,1,,,,2023-05-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1572
0,20,ALL CASH                      ,1571,5000,4.64,6176.55,1680,598,,,,2023-06-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1571
0,5,DOUBLE YOUR DOLLARS           ,1576,500000,4.14,3047600.00,3,1,,,,2023-06-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1576
0,2,IT TAKES 2                    ,1573,25000,4.87,985925.00,10,2,,,,2023-06-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1573
0,10,$50 OR $100                   ,1575,100,8.0,40.00,154492,1903,,,,2023-07-04,,2025-03-08,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1575
0,5,WILD CASH MULTIPLIER          ,1577,500000,4.13,2882233.33,3,1,,,,2023-07-04,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1577
0,3,LINE 'EM UP                   ,1578,60000,4.33,2072160.00,5,1,,,,2023-07-04,,2025-09-06,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1578
0,20,"$5,000,000 CASH ROYALE        ",1579,5000000,3.9,4538562.50,4,2,,,,2023-07-28,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1579
0,5,DIAMOND 25X                   ,1580,500000,4.23,3046566.67,3,0,Top Prize Claimed,,,2023-07-28,,2025-02-21,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1580
0,1,7-11-21 TRIPLER               ,1581,2100,4.54,513762.50,20,1,,,,2023-07-28,,2025-02-16,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1581
0,1,LUCKY 7S                      ,1570,7000,4.96,1268412.50,20,0,Top Prize Claimed,,,2023-06-13,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1570
0,1,INSTANT TAKE 5                ,1574,5555,51895000.2,546263.16,95,25,,,,2023-06-13,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1574
0,10,MULTIPLIER CRAZE              ,1582,3000000,3.92,5949033.33,3,1,,,,2023-09-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1582
0,5,MAGIC 8 BALL                  ,1583,1000000,4.02,3434533.33,3,0,Top Prize Claimed,,,2023-09-05,,2025-06-17,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1583
0,2,FIND THE 7S                   ,1569,25000,4.88,1021750.00,10,1,,,,2023-09-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1569
0,30,JACKPOT FORTUNE               ,1585,10000000,3.65,6048683.33,3,2,,,,2023-10-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1585
0,5,PLUS THE MONEY                ,1586,500000,4.57,3044500.00,3,2,,,,2023-10-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1586
0,3,MATCH FOR CASH                ,1587,60000,4.34,2036880.00,5,2,,,,2023-10-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1587
0,10,HOLIDAY TREASURE              ,1590,1000000,3.39,2406675.00,2,0,Top Prize Claimed,,,2023-11-07,,2025-01-18,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1590
0,5,HOLIDAY DELIGHT               ,1591,500000,3.97,1967900.00,3,0,Top Prize Claimed,,,2023-11-07,,2025-02-01,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1591
0,2,HOLIDAY 7                     ,1592,500,4.89,29909.47,243,30,,,,2023-11-07,,2025-08-09,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1592
0,5,"$500,000 YEAR OF THE DRAGON   ",1593,500000,4.02,2041066.67,3,1,,,,2023-12-05,,2025-08-23,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1593
0,1,XTREME MATCH                  ,1594,5000,4.82,1282946.43,14,2,,,,2023-12-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1594
0,10,XTREME CASH                   ,1595,3000000,3.92,5478700.00,4,1,,,,2024-01-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1595
0,5,XTREME WINNINGS               ,1596,1000000,4.09,4536400.00,4,1,,,,2024-01-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1596
0,2,XTREME BUCKS                  ,1597,25000,4.79,1724425.00,10,3,,,,2024-01-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1597
0,20,"$10,000 A WEEK FOR LIFE       ",1584,10000 a Week For Life,3.74,8137133.33,3,2,,,,2023-09-29,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1584
0,2,CASHWORD                      ,1588,10000,5.02,1717343.75,24,6,,,,2023-10-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1588
0,10,"$1,000,000 CASHWORD BONUS     ",1589,1000000,4.32,4634225.00,4,0,Top Prize Claimed,,,2023-10-17,,2025-07-29,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1589
0,20,XTREME MONEY                  ,1599,5000000,3.66,4558450.00,4,2,,,,2024-02-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1599
0,5,"$500,000 BLAST                ",1600,500000,4.02,3047200.00,3,2,,,,2024-02-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1600
0,3,XTREME CASHWORD               ,1601,60000,4.12,3435400.00,3,0,Top Prize Claimed,,,2024-02-06,,2025-05-29,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1601
0,10,SHOW ME $500                  ,1603,500,4.17,685.03,42396,17305,,,,2024-03-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1603
0,5,WIN $250                      ,1604,250,4.38,498.06,18340,5596,,,,2024-03-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1604
0,1,FIND $50                      ,1605,50,10250367.629999999,291.03,35221,1857,,,,2024-03-05,,2025-10-18,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1605
0,30,"$10,000,000 CASH              ",1606,10000000,3.65,6097983.33,3,2,,,,2024-04-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1606
0,5,PLATINUM POWER                ,1607,1000000,4.18,2969166.67,3,1,,,,2024-04-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1607
0,2,DOUBLE DEUCES                 ,1608,25000,4.88,961600.00,10,4,,,,2024-04-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1608
0,2,CASHWORD DOUBLER              ,1602,20000,5.09,3077062.50,4,0,Top Prize Claimed,,,2024-02-01,,2025-05-24,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1602
0,1,LUCKY 7S                      ,1598,7000,4.96,1273587.50,20,10,,,,2024-04-09,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1598
0,20,"$2,000,000 CASHWORD           ",1609,2000000,3.82,4571312.50,4,2,,,,2024-05-07,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1609
0,5,DOUBLE WIN                    ,1610,500000,4.2,3031866.67,3,2,,,,2024-05-07,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1610
0,3,LUCKY LINES                   ,1611,60000,3.8,484066.67,21,14,,,,2024-05-07,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1611
0,10,"$3,000,000 MAX                ",1612,3000000,4.01,6011400.00,3,2,,,,2024-06-04,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1612
0,5,BIG MONEY X20                 ,1613,500000,4.11,3028066.67,3,2,,,,2024-06-04,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1613
