gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto,dateexported,extrachances,secondChance,topprizeodds
521,WIN IT ALL,2.0,250000,4.46,5,1,Available,2025-07-28,,,https://www.molottery.com/scratchers.do?method=d&game=521,https://www.molottery.com/media/scratchers/tile/521.png,2026-04-18,,,0
511,GOLD RUSH,10.0,100000000,3.18,2,1,Available,2025-07-28,,,https://www.molottery.com/scratchers.do?method=d&game=511,https://www.molottery.com/media/scratchers/tile/511.png,2026-04-18,,,0
517,FAT WALLET,5.0,1000000,3.83,4,1,Available,2025-07-28,,,https://www.molottery.com/scratchers.do?method=d&game=517,https://www.molottery.com/media/scratchers/tile/517.png,2026-04-18,,,0
518,FAST $50S,1.0,20500,4.81,7,2,Available,2025-06-30,,,https://www.molottery.com/scratchers.do?method=d&game=518,https://www.molottery.com/media/scratchers/tile/518.png,2026-04-18,,,0
509,50X,5.0,1000000,4.03,6,1,Available,2025-06-30,,,https://www.molottery.com/scratchers.do?method=d&game=509,https://www.molottery.com/media/scratchers/tile/509.png,2026-04-18,,,0
532,"$2,000,000* PLATINUM PAYOUT",20.0,200000000,3.17,2,1,Available,2025-06-30,,,https://www.molottery.com/scratchers.do?method=d&game=532,https://www.molottery.com/media/scratchers/tile/532.png,2026-04-18,,,0
519,$100 & $200 BLOWOUT,20.0,200,7.89,52343,24023,Available,2025-06-03,,,https://www.molottery.com/scratchers.do?method=d&game=519,https://www.molottery.com/media/scratchers/tile/519.png,2026-04-18,,,0
514,JAWS,5.0,1000000,3.85,3,1,Available,2025-05-27,,,https://www.molottery.com/scratchers.do?method=d&game=514,https://www.molottery.com/media/scratchers/tile/514.png,2026-04-18,,,0
515,TRIPLE 333,2.0,330333,4.44,5,2,Available,2025-05-27,,,https://www.molottery.com/scratchers.do?method=d&game=515,https://www.molottery.com/media/scratchers/tile/515.png,2026-04-18,,,0
508,$250 MILLION EXTRAVAGANZA,50.0,500000000,3.16,3,2,Available,2025-05-27,,,https://www.molottery.com/scratchers.do?method=d&game=508,https://www.molottery.com/media/scratchers/tile/508.png,2026-04-18,,,0
503,100X,10.0,100000000,3.27,2,1,Available,2025-04-28,,,https://www.molottery.com/scratchers.do?method=d&game=503,https://www.molottery.com/media/scratchers/tile/503.png,2026-04-18,,,0
516,"$2,000,000* JACKPOT FORTUNE",20.0,200000000,3.04,2,1,Available,2025-04-28,,,https://www.molottery.com/scratchers.do?method=d&game=516,https://www.molottery.com/media/scratchers/tile/516.png,2026-04-18,,,0
512,BREAK THE BANK,5.0,1000000,3.99,6,2,Available,2025-04-28,,,https://www.molottery.com/scratchers.do?method=d&game=512,https://www.molottery.com/media/scratchers/tile/512.png,2026-04-18,,,0
513,7-11-21,1.0,70000,4.71,5,2,Available,2025-04-28,,,https://www.molottery.com/scratchers.do?method=d&game=513,https://www.molottery.com/media/scratchers/tile/513.png,2026-04-18,,,0
510,MONEY BAGS MULTIPLIER,2.0,250000,4.46,5,0,Claimed,2025-03-31,,,https://www.molottery.com/scratchers.do?method=d&game=510,https://www.molottery.com/media/scratchers/tile/510.png,2026-04-18,,,0
506,EXTREME GREEN,5.0,1000000,4.84,5,1,Available,2025-03-31,,,https://www.molottery.com/scratchers.do?method=d&game=506,https://www.molottery.com/media/scratchers/tile/506.png,2026-04-18,,,0
488,200X CASH BLITZ,20.0,200000000,3.08,2,1,Available,2025-03-31,,,https://www.molottery.com/scratchers.do?method=d&game=488,https://www.molottery.com/media/scratchers/tile/488.png,2026-04-18,,,0
497,CASH BOX BINGO,3.0,550558,3.92,6,2,Available,2025-03-03,,,https://www.molottery.com/scratchers.do?method=d&game=497,https://www.molottery.com/media/scratchers/tile/497.png,2026-04-18,,,0
492,MONOPOLY DOUBLER,5.0,1000000,4.04,5,3,Available,2025-02-24,,,https://www.molottery.com/scratchers.do?method=d&game=492,https://www.molottery.com/media/scratchers/tile/492.png,2026-04-18,,,0
507,POWER 10X,1.0,50000,4.62,6,1,Available,2025-02-24,,,https://www.molottery.com/scratchers.do?method=d&game=507,https://www.molottery.com/media/scratchers/tile/507.png,2026-04-18,,,0
505,777 JACKPOT,10.0,7770777,3.22,2,0,Claimed,2025-02-24,,,https://www.molottery.com/scratchers.do?method=d&game=505,https://www.molottery.com/media/scratchers/tile/505.png,2026-04-18,,,0
504,TRIPLE CASH CROSSWORD,5.0,1000000,3.78,6,0,Claimed,2025-02-04,,,https://www.molottery.com/scratchers.do?method=d&game=504,https://www.molottery.com/media/scratchers/tile/504.png,2026-04-18,,,0
500,RUBY RED 7S,5.0,770777,4.05,5,0,Claimed,2025-01-27,,,https://www.molottery.com/scratchers.do?method=d&game=500,https://www.molottery.com/media/scratchers/tile/500.png,2026-04-18,,,0
501,DOUBLE MATCH,2.0,200000,4.48,6,1,Available,2025-01-27,,,https://www.molottery.com/scratchers.do?method=d&game=501,https://www.molottery.com/media/scratchers/tile/501.png,2026-04-18,,,0
