,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,20,"$100,000 A YEAR",2343,1000000,"612,000",2.91,1,,,,5/6/2025,,,2026-01-11,https://www.valottery.com/scratchers/2343,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2343_teaser.jpg?rev=87ca6297986f42d2bc920a3f2f264e3d
0,20,The BIG Ticket: The Perfect Gift/Cold Hard Cash,2373,1000000,"720,000",2.93,2,,,,11/4/2025,,,2026-01-11,https://www.valottery.com/scratchers/2373,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2373_teaser_coldhardcash.jpg?rev=5e4ed148b62640768d696483f8f50b15
0,20,JACKSON,2330,1000000,"408,000",2.8,1,,,,2/4/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2330,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2330_teaser.jpg?rev=bfac5d3cd4264c5ca83f61404ad2819e
0,20,50X The Money,2305,3000000,"1,142,400",3.03,2,,,,5/1/2025,,,2026-01-11,https://www.valottery.com/scratchers/2305,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/teaser_2305.jpg?rev=d8b3ac9161b0413c9560474ddcef3807
0,20,Multiplier Mania,2196,1000000,"979,200",3.26,1,,,,2/7/2023,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2196,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2196_teaser.jpg?rev=5341c5716dc14246a07196069371c3a7
0,20,"$20,000 Bankroll",2187,20000,"15,300",3.31,103,,,,8/2/2022,,,2026-01-11,https://www.valottery.com/scratchers/2187,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2187_teaser.jpg?rev=795166c7e61e4034a346bc6a409bbe20
0,20,CASH BLAST,2349,600,668.85,9.34,5407,,,,1/6/2026,,,2026-01-11,https://www.valottery.com/scratchers/2349,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2349_teaser.jpg?rev=70df939d6ef84f6488051cfce2745de9
0,20,"Bursting with $2,000s",2299,2000,360,4.09,559,,,,9/3/2024,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2299,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2299_teaser.jpg?rev=91a376c502f048508fa87091cd7c88fb
0,20,Cash Blast,2292,600,668.85,9.34,437,,,,10/11/2024,,,2026-01-11,https://www.valottery.com/scratchers/2292,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2292_teaser.jpg?rev=ff27f64d05d34de48ffc92395d3a0a6b
0,10,CASH BLOWOUT,2321,500,"1,530",9.35,3934,,,,6/12/2025,,,2026-01-11,https://www.valottery.com/scratchers/2321,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2321_teaser.jpg?rev=506d8f69db7c411bb0351a3af1477187
0,10,20X THE MONEY,2377,1000000,"1,664,640",3.65,5,,,,1/7/2026,,,2026-01-11,https://www.valottery.com/scratchers/2377,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2377_teaser.jpg?rev=9139b33fe0c44711bea60cee8a43f04b
0,10,Mega 777s,2126,777777,"1,836,000",3.45,1,,,,1/4/2022,,,2026-01-11,https://www.valottery.com/scratchers/2126,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2126_teaser.jpg?rev=f07bdcc441854d8eb1c166a908202685
0,10,Crossword Spectacular,2375,300000,"979,200",3.69,3,,,,12/31/2025,,,2026-01-11,https://www.valottery.com/scratchers/2375,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2375_teaser.jpg?rev=8acbe397cc8d44bdb8981a4e7f818264
0,10,$60 Million Ca$h Blowout,2200,500,"1,530",9.35,131,,,,10/6/2023,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2200,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2200_teaser.jpg?rev=5977df216c8e4912a0ee4b1594f31669
0,10,Funky Fortune,2220,500000,"1,224,000",4.12,0,Top Prize Claimed,,,4/4/2023,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2220,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2220_teaser.jpg?rev=875ccc5f3ae04616a0472def4be10bac
0,10,Power Payout Multiplier,2367,1000000,"816,000",4.14,2,,,,12/2/2025,,,2026-01-11,https://www.valottery.com/scratchers/2367,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2367_teaser.jpg?rev=4e1dab02aebe4f74b2008a23c1d13e1b
0,10,Loaded with $500s,2364,500,306,3.98,560,,,,10/7/2025,,,2026-01-11,https://www.valottery.com/scratchers/2364,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2364_teaser.jpg?rev=28825ea1205d40b9b462a7d9025e40aa
0,10,King of Crossword,2294,300000,"979,200",3.69,0,Top Prize Claimed,,,1/10/2025,,,2026-01-11,https://www.valottery.com/scratchers/2294,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2294_teaser.jpg?rev=eb778a3760b644389a7f4e9f713e65b4
0,10,HAMILTON,2329,500000,"612,000",3.77,1,,,,2/4/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2329,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2329_teaser.jpg?rev=b16c73af643146ebbab97aee2b4c9b81
0,10,JEWEL 7S,2347,500000,"612,000",5.24,1,,,,6/3/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2347,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2347_teaser.jpg?rev=09be4a47a3394ce485749d90f30385ca
0,10,WILD CASH,2358,500000,"612,000",4.01,1,,,,8/5/2025,,,2026-01-11,https://www.valottery.com/scratchers/2358,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2358_teaser.jpg?rev=77235ca0384943308e9ac3477e9cd538
0,10,20X The Money,2310,1000000,"1,795,200",3.65,1,,,,1/10/2025,,,2026-01-11,https://www.valottery.com/scratchers/2310,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2310_teaser.jpg?rev=1ecf952e64ae493fbd77fc98599afee6
0,10,Payday Bonu$,2161,500000,"1,672,800",6.97,0,Top Prize Claimed,,,7/5/2022,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2161,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2161_teaser.jpg?rev=895e6217a4ab4c40b2688894683bd405
0,10,Hit It Big!,2140,1000000,"1,672,800",3.87,1,,,,3/1/2022,,,2026-01-11,https://www.valottery.com/scratchers/2140,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2140_teaser.jpg?rev=997557a6bc9c4ae68c4d890d5aca9198
0,10,Gold Bar 7s,2195,250000,"1,224,000",3.71,1,,,,2/7/2023,,,2026-01-11,https://www.valottery.com/scratchers/2195,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2195_teaser.jpg?rev=34dfc49da4dc4d6dab90ce6357bf75b8
0,5,Crossword Ca$h Corners,2188,100000,"1,224,000",4.01,1,,,,12/13/2023,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2188,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2188_teaser.jpg?rev=6ce95e986c0247c38b9ebf77723f6e52
0,5,The Price is Right,2174,200000,"2,040,000",4.27,1,,,,10/4/2022,,,2026-01-11,https://www.valottery.com/scratchers/2174,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2174_teaser.jpg?rev=297790b2e6f745a3ae8fd9e4cfa2fb24
0,5,"$100,000 Jumbo Cash",2184,100000,"1,632,000",4.03,1,,,,1/3/2023,,,2026-01-11,https://www.valottery.com/scratchers/2184,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2184_teaser.jpg?rev=cccf72d4dfea4645b7e96fca6659ee90
