,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,2,VIRGINIA ADVENTURE,2279,20000,"979,200",4.5,2,,,,6/4/2024,,,2026-01-11,https://www.valottery.com/scratchers/2279,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2279_teaser.jpg?rev=c84b07f8b3e249abbd9e05b78963f0dd
0,2,JEFFERSON,2327,20000,"587,520",4.26,1,,,,2/4/2025,,,2026-01-11,https://www.valottery.com/scratchers/2327,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2327_teaser.jpg?rev=ff8f9b6b3c474a5980db8ee3e8fd0774
0,2,Year of the Snake,2323,20000,"979,200",4.25,2,,,,1/7/2025,,,2026-01-11,https://www.valottery.com/scratchers/2323,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2323_teaser.jpg?rev=bf40a52b0e0645fdbb70b1d1e771db1b
0,2,Lucky Spot,2302,20000,"979,200",4.34,2,,,,10/1/2024,,,2026-01-11,https://www.valottery.com/scratchers/2302,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2302_teaser.jpg?rev=92c20f19855242859fa8ed354306c6ff
0,1,BLACKJACK,2269,1000,"122,400",4.69,29,,,,10/24/2024,,,2026-01-11,https://www.valottery.com/scratchers/2269,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2269_teaser.jpg?rev=233f28bfa4cd4162af8e426bf957bdef
0,1,MOOLA,2322,500,"489,600",4.51,3,,,,1/7/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2322,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2322_teaser.jpg?rev=277b6705c9fe44f292268e27b8546393
0,1,Piggy Bank Bucks,2306,2000,"765,000",4.53,1,,,,11/5/2024,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2306,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2306_teaser.jpg?rev=dec49ecc40dd407faabf8c84212ed965
0,1,GOING BANANAS,2353,1000,"587,520",4.98,4,,,,7/1/2025,,,2026-01-11,https://www.valottery.com/scratchers/2353,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2353_teaser.jpg?rev=42d02ee592994789a39767651c34a305
0,1,2X The Money,2316,4000,"1,632,000",4.7,2,,,,5/20/2025,,,2026-01-11,https://www.valottery.com/scratchers/2316,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2316_teaser.jpg?rev=c9b9b827761540a580d3d6f737f744b8
0,1,Moneybags,2344,2000,"979,200",4.81,1,,,,6/3/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2344,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2344_teaser.jpg?rev=987da62a760f4f6d8cabbd7824eefa77
0,1,Lucky Stars,2340,3000,"734,400",4.74,3,,,,5/6/2025,,,2026-01-11,https://www.valottery.com/scratchers/2340,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2340_teaser.jpg?rev=e717a64af0354de395dea7146952f53d
0,1,Gnome for the Holidays,2370,500,"12,240",5.24,75,,,,11/4/2025,,,2026-01-11,https://www.valottery.com/scratchers/2370,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2370_teaser.jpg?rev=1f03f8d71ddf4cc1ab854091be7eafe8
0,1,2026,2369,2026,"734,400",5.38,0,Top Prize Claimed,,,12/2/2025,,,2026-01-11,https://www.valottery.com/scratchers/2369,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2369_teaser.jpg?rev=d49f309c2d0e4ba0961e1f5827c07381
0,1,$50 WINS,2355,50,566.67,4.75,812,,,,8/5/2025,,,2026-01-11,https://www.valottery.com/scratchers/2355,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2355_teaser.jpg?rev=b2614b91ea524730a79dac2cbface011
0,1,Quick 7s,2336,2000,"979,200",4.89,1,,,,4/1/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2336,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2336_teaser.jpg?rev=502fcefd474646a5849c549733aa710a
0,1,2X The Money,2376,4000,"1,175,040",4.7,5,,,,1/6/2026,,,2026-01-11,https://www.valottery.com/scratchers/2376,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2376_teaser.jpg?rev=18482bdb105745e59596d3225aa6812a
0,1,2X The Money,2284,4000,"1,762,560",4.7,0,Top Prize Claimed,,,4/24/2024,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2284,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2284_teaser.jpg?rev=bf3f9fd699654458ac25fadf6eec8362
0,1,DOUBLE UP!,2361,1500,"816,000",6.85,1,,,,10/7/2025,,,2026-01-11,https://www.valottery.com/scratchers/2361,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2361_teaser.jpg?rev=f3112b8a02534348ae4af637c7d39aab
0,1,WASHINGTON,2326,5000,"765,000",4.9,0,Top Prize Claimed,,,2/4/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2326,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2326_teaser.jpg?rev=e03e9c9de8d7414aa8fdd4984f74cf45
0,1,HIGH ROLLER,2332,2500,"734,400",4.92,2,,,,3/4/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2332,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2332_teaser.jpg?rev=438f543556b9421ebf593174b110891c
0,0,PROMOTIONAL GAME,2034,50,102,2,1164,,,,12/15/2020,,,2026-01-11,https://www.valottery.com/scratchers/2034,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2034_teaser.jpg?rev=22fdb247ffe04775bba2ea2d9d1add5a
0,0,A Win For Education,2286,50,102,2,1130,,,,6/21/2024,,,2026-01-11,https://www.valottery.com/scratchers/2286,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2286_teaser.jpg?rev=1bbb6053d9254c08b11ffb59950a3b4f
