,price,gameName,gameNumber,topprize,topprizeremain,startDate,lastdatetoclaim,overallodds,gameURL,gamePhoto
28,20,"$300,000,000 CASH PAYOUT      ",1528,5000000,3,2022-07-05,          ,,https://nylottery.ny.gov/scratch-off-game?game=1528,https://edit.nylottery.ny.gov/sites/default/files/2022-05/3milpayout_1528.jpg
29,5,EXTREME 8S                    ,1533,888888,2,2022-07-05,          ,,https://nylottery.ny.gov/scratch-off-game?game=1533,https://edit.nylottery.ny.gov/sites/default/files/2022-05/Extreme8s_1533.jpg
30,3,MYSTERY MULTIPLIER CASHWORD   ,1530,60000,4,2022-07-05,          ,,https://nylottery.ny.gov/scratch-off-game?game=1530,https://edit.nylottery.ny.gov/sites/default/files/2022-05/mysteryMultiplierCashword_1530_1.jpg
31,2,CASHWORD                      ,1515,10000,12,2022-04-14,          ,5.02,https://nylottery.ny.gov/scratch-off-game?game=1515,https://edit.nylottery.ny.gov/sites/default/files/2022-04/cashword_1515.jpg
32,1,FAST $50!                     ,1527,500,5,2022-06-07,          ,4.82,https://nylottery.ny.gov/scratch-off-game?game=1527,https://edit.nylottery.ny.gov/sites/default/files/2022-04/fast50_1527.jpg
33,2,FAST $100!                    ,1526,10000,6,2022-06-07,          ,4.9,https://nylottery.ny.gov/scratch-off-game?game=1526,https://edit.nylottery.ny.gov/sites/default/files/2022-04/fast100_1526.jpg
34,5,FAST $250!                    ,1525,250000,2,2022-06-07,          ,4.12,https://nylottery.ny.gov/scratch-off-game?game=1525,https://edit.nylottery.ny.gov/sites/default/files/2022-04/fast250_1525.jpg
35,10,FAST $500!                    ,1524,500000,2,2022-06-07,          ,4.17,https://nylottery.ny.gov/scratch-off-game?game=1524,https://edit.nylottery.ny.gov/sites/default/files/2022-04/fast500_1524.jpg
36,2,CASHWORD DOUBLER              ,1531,20000,20,2022-07-13,          ,5.09,https://nylottery.ny.gov/scratch-off-game?game=1531,https://edit.nylottery.ny.gov/sites/default/files/2022-04/cashwordDoubler_1531_1.jpg
37,5,"$1,000,000 LUCKY DOG          ",1518,1000000,1,2022-04-05,          ,3.9,https://nylottery.ny.gov/scratch-off-game?game=1518,https://edit.nylottery.ny.gov/sites/default/files/2022-04/BurntOrange_Ticket_020822_RGB.png
38,1,INSTANT TAKE 5                ,1516,5555,48,2022-03-31,          ,4.69,https://nylottery.ny.gov/scratch-off-game?game=1516,https://edit.nylottery.ny.gov/sites/default/files/2022-04/instantTake5_1516.jpg
39,1,LUCKY 7S                      ,1520,7000,0,2022-05-03,2023-12-12,4.96,https://nylottery.ny.gov/scratch-off-game?game=1520,https://edit.nylottery.ny.gov/sites/default/files/2022-03/lucky7s_1520.jpg
40,5,POWER SPOT                    ,1522,500000,3,2022-05-03,          ,4.27,https://nylottery.ny.gov/scratch-off-game?game=1522,https://edit.nylottery.ny.gov/sites/default/files/2022-03/powerSpot_1522.jpg
41,20,$100 OR $200                  ,1521,200,2060,2022-05-03,          ,8.0,https://nylottery.ny.gov/scratch-off-game?game=1521,https://edit.nylottery.ny.gov/sites/default/files/2022-03/100or200_1521.jpg
42,2,777 MULTIPLIER                ,1519,25000,1,2022-04-05,          ,4.84,https://nylottery.ny.gov/scratch-off-game?game=1519,https://edit.nylottery.ny.gov/sites/default/files/2022-03/777multiplier_1519.jpg
43,3,"$60,000 DIAMONDS / RUBIES     ",1523,60000,1,2022-04-05,          ,4.14,https://nylottery.ny.gov/scratch-off-game?game=1523,https://edit.nylottery.ny.gov/sites/default/files/2022-03/diamondsRubie_1523.jpg
44,10,ELECTRIC 10X                  ,1517,3000000,2,2022-04-05,          ,3.94,https://nylottery.ny.gov/scratch-off-game?game=1517,https://edit.nylottery.ny.gov/sites/default/files/2022-03/electric10X_1517.jpg
45,2,WINNER$ GALORE                ,1514,25000,0,2022-03-01,2024-11-10,4.8,https://nylottery.ny.gov/scratch-off-game?game=1514,https://edit.nylottery.ny.gov/sites/default/files/2022-01/winnersGalore_1514.jpg
46,5,STRIKE IT RICH                ,1513,1000000,2,2022-03-01,          ,4.07,https://nylottery.ny.gov/scratch-off-game?game=1513,https://edit.nylottery.ny.gov/sites/default/files/2022-01/strikeItRich_1513.jpg
47,30,X SERIES: 200X                ,1512,10000000,3,2022-03-01,          ,3.62,https://nylottery.ny.gov/scratch-off-game?game=1512,https://edit.nylottery.ny.gov/sites/default/files/2022-09/200X_1512_P2.jpg
48,5,LOOSE CHANGE MULTIPLIER       ,1510,500000,2,2022-02-01,          ,4.01,https://nylottery.ny.gov/scratch-off-game?game=1510,https://edit.nylottery.ny.gov/sites/default/files/2021-12/looseChangeMultiplier_1510.jpg
49,3,X SERIES: 15X CASHWORD        ,1511,60000,2,2022-02-01,          ,4.12,https://nylottery.ny.gov/scratch-off-game?game=1511,https://edit.nylottery.ny.gov/sites/default/files/2021-12/15Xcashword_1511.jpg
50,20,X SERIES: 100X                ,1509,5000000,1,2022-02-01,          ,3.68,https://nylottery.ny.gov/scratch-off-game?game=1509,https://edit.nylottery.ny.gov/sites/default/files/2021-12/100X_1509.jpg
51,1,X SERIES: 5X                  ,1508,5000,0,2022-01-04,2023-08-29,4.82,https://nylottery.ny.gov/scratch-off-game?game=1508,https://edit.nylottery.ny.gov/sites/default/files/2021-12/5X_1508.jpg
52,2,X SERIES: 10X                 ,1507,25000,0,2022-01-04,2023-10-31,4.8,https://nylottery.ny.gov/scratch-off-game?game=1507,https://edit.nylottery.ny.gov/sites/default/files/2021-12/10X_1507.jpg
53,5,X SERIES: 20X                 ,1506,1000000,0,2022-01-04,2023-10-26,4.12,https://nylottery.ny.gov/scratch-off-game?game=1506,https://edit.nylottery.ny.gov/sites/default/files/2021-12/20X_1506.jpg
54,10,X SERIES: 50X                 ,1505,3000000,0,2022-01-04,2023-08-30,3.92,https://nylottery.ny.gov/scratch-off-game?game=1505,https://edit.nylottery.ny.gov/sites/default/files/2021-12/50X_1505.jpg
55,5,LUCKY 13                      ,1503,1000000,0,2021-12-07,2023-07-22,4.06,https://nylottery.ny.gov/scratch-off-game?game=1503,https://edit.nylottery.ny.gov/sites/default/files/2021-11/lucky13_1503.jpg
56,10,"$1,000,000 BONUS WORD CASHWORD",1502,1000000,0,2021-09-28,2023-10-25,4.35,https://nylottery.ny.gov/scratch-off-game?game=1502,https://edit.nylottery.ny.gov/sites/default/files/2021-08/bonusWordCashword_1502_1.jpg
57,1,DOUBLE DOUBLER                ,1498,4000,1,2021-10-05,2023-09-09,4.87,https://nylottery.ny.gov/scratch-off-game?game=1498,https://edit.nylottery.ny.gov/sites/default/files/2021-08/doubleDoubler_1498.jpg
58,3,"$60,000 HIDDEN CASH           ",1497,60000,0,2021-10-05,2023-04-04,3.92,https://nylottery.ny.gov/scratch-off-game?game=1497,https://edit.nylottery.ny.gov/sites/default/files/2021-08/60kHiddenCash_1497.jpg
59,5,TREASURE HUNT                 ,1496,1000000,1,2021-10-05,          ,4.12,https://nylottery.ny.gov/scratch-off-game?game=1496,https://edit.nylottery.ny.gov/sites/default/files/2021-08/treasureHunt_1496.jpg
60,5,25X THE CASH                  ,1490,1000000,0,2021-08-03,2023-02-16,4.14,https://nylottery.ny.gov/scratch-off-game?game=1490,https://edit.nylottery.ny.gov/sites/default/files/2021-07/25XtheCash_1490.jpg
61,30,"$10,000,000 DELUXE            ",1489,10000000,2,2021-08-03,          ,3.64,https://nylottery.ny.gov/scratch-off-game?game=1489,https://edit.nylottery.ny.gov/sites/default/files/2021-07/10milDeluxe_1489.jpg
62,5,BACON!                        ,1494,1000000,1,2021-09-07,2023-03-15,4.41,https://nylottery.ny.gov/scratch-off-game?game=1494,https://edit.nylottery.ny.gov/sites/default/files/2021-07/Bacon_1494_0.jpg
63,10,$500 BLOWOUT                  ,1493,500,607,2021-09-07,          ,4.19,https://nylottery.ny.gov/scratch-off-game?game=1493,https://edit.nylottery.ny.gov/sites/default/files/2021-07/500blowout_1493.jpg
64,5,DOUBLE TRIPLE CASHWORD        ,1492,300000,1,2021-07-09,          ,5.14,https://nylottery.ny.gov/scratch-off-game?game=1492,https://edit.nylottery.ny.gov/sites/default/files/2021-07/doubleTripleCashword_1492.jpg
