,price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,extrachances,secondChance,startDate,Days Since Start,lastdatetoclaim,topprizeodds,overallodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Photo,FAQ,About,Directory,Data Date,Stats Page,gameURL
10,30,Bonanza Buck$,2198,50000,12,,,,3/7/2023,1055,,"61,200",3.87,57430.083333333336,-0.061599945533769025,3.87,-1.2478926213927636e-06,3.87,-1.0517355872619132e-06,0.2583982552698136,-2.717666407470176e-07,0.2583982552698136,-2.717666407470176e-07,0.04155819231180182,0.04155819231180182,8.020520183134694,8.020520183134694,5.0,0.52,0.00019314208023926406,0.5241136202812793,0.00019314208023926406,0.29,0.294290207139621,0.9999995876702509,38.0,34.666666666666664,71.0,34.333333333333336,37.833333333333336,43.16666666666667,35.0,1.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2198_teaser.jpg?rev=d6ec11a27d6943c9b374525dfdfb1193,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2198
11,30,"$173,000,000 Extravaganza",2143,3100000,2,,,,4/5/2022,1391,,"2,529,600",3.08,2447429.5,-0.032483594244149275,3.08,-4.0859193661957195e-08,5.01,0.0007365596257755239,0.32467533794129716,8.988912891805256e-09,0.19951013910717347,0.00014695111339921296,0.038749147518971495,0.024527673547383104,8.60229322185586,13.589902607651286,6.0,0.46,8.963485101662235e-05,0.4559567497245579,8.963485101662235e-05,0.65,0.6523714768372385,1.0000000503524868,43.333333333333336,47.333333333333336,54.0,76.33333333333333,55.166666666666664,55.233333333333334,77.0,7.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2143_teaser.jpg?rev=d86ba64ecf124b5890a1210a39a46246,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2143
12,30,100X The Money,2149,5000000,1,,,,9/6/2022,1237,,"2,652,000",2.82,2538081.0,-0.04295588235294118,2.82,-3.0731870271593324e-07,4.62,0.0024621185441701466,0.354610038056311,-8.91927222079758e-08,0.216339825245924,0.000532654295580498,0.041640266189330775,0.026043653357586367,8.005000907009562,12.798725242958536,5.0,0.45,6.17904909326393e-05,0.4501220935554591,6.17904909326393e-05,0.32,0.32245901083662487,0.9999998806281508,37.666666666666664,45.666666666666664,50.0,49.333333333333336,45.0,45.53333333333333,47.0,3.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2149_teaser.jpg?rev=b723da6cbd1b494fb5ee3563439ba98d,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2149
13,20,Supreme Riches,2151,2000000,2,,,,5/3/2022,1363,,"1,428,000",3.65,1284909.5,-0.10020343137254901,3.65,0.0,5.76,0.0008807246119757806,0.273972602739726,2.560288225872398e-08,0.17375698444131668,0.0001530320527001472,0.03749123646237408,0.028704767667866605,8.890854382510671,11.612170794143205,7.0,0.51,0.0007050035708373275,0.5092037610430928,0.0007050035708373275,0.61,0.6162464779650279,1.000000140396347,45.0,43.0,66.0,76.0,61.416666666666664,58.28333333333334,83.0,11.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2151_teaser.jpg?rev=b1426d1ea4ab4a02b9178a2415c836fe,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2151
14,20,Diamond Spectacular,2285,1000000,0,Top Prize Claimed,,,7/2/2024,572,4/1/2026,"612,000",3.18,0.0,0.0,3.18,-2.4981647411790932e-06,5.4,0.024208470344416984,0.3144661943933906,-6.964940443277001e-07,0.1850966256847665,0.004480906173741334,0.04516588939719474,0.031034819789020025,7.379170717268442,10.736918285701776,6.0,0.38,-0.01010501256572825,0.37929670538831683,-0.01010501256572825,0.09,0.08985797481570318,0.9999997766588619,33.666666666666664,41.333333333333336,16.0,15.333333333333334,32.0,27.666666666666664,1.0,1.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2285_teaser.jpg?rev=d4826f16d00444a89f65085e747165a1,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2285
15,20,Money Blitz,2175,2000000,1,,,,10/4/2022,1209,,"1,142,400",3.29,1475453.0,0.29153799019607846,3.29,-9.488610397232504e-08,6.03,0.002817054217940439,0.30395139662191883,6.647301653561755e-09,0.16592327915562205,0.000467414873399824,0.043782406579355844,0.025304687554069602,7.613278954257867,13.172081167171878,7.0,0.46,-0.002386762666010716,0.4573737692762833,-0.002386762666010716,0.44,0.43842140000502755,1.0000000173030146,35.0,46.333333333333336,55.0,67.33333333333333,59.666666666666664,52.66666666666667,72.0,9.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2175_teaser.jpg?rev=51e5f8138ffe4c9ea86c3bc0d6c5bf76,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2175
16,20,Mega Stacks,2325,1000000,0,Top Prize Claimed,,,1/7/2025,383,4/1/2026,"489,600",4.26,0.0,0.0,4.26,-9.879704714218188e-07,4.26,-7.968895094849991e-07,0.23474201595573888,-1.8706344995234048e-07,0.23474201595573888,-1.8706344995234048e-07,0.04368856954719807,0.04368856954719807,7.626699417179869,7.626699417179869,5.0,0.47,-0.009147074022159389,0.4733741694865019,-0.009147074022159389,0.06,0.05785035555779397,0.999999953388697,35.666666666666664,33.333333333333336,62.0,21.666666666666668,43.666666666666664,39.266666666666666,23.0,2.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2325_teaser.jpg?rev=3c749df124764b06a4c40a49efe365e5,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2325
17,20,JACKSON,2330,1000000,1,,,,2/4/2025,355,4/1/2026,"408,000",2.8,135615.0,-0.667610294117647,2.8,-1.474760941144737e-06,3.28,0.006392212554805452,0.35714338384397004,-5.267011128906596e-07,0.3052169745234672,0.0019510117764886536,0.03560114708420134,0.03619996530092086,9.361184538097778,9.206063965496378,4.0,0.72,0.026031037146762227,0.7181119345205176,0.026031037146762227,0.15,0.14814234622090885,0.9999998088463976,50.333333333333336,36.666666666666664,88.0,23.333333333333332,42.5,48.16666666666667,58.0,7.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2330_teaser.jpg?rev=bfac5d3cd4264c5ca83f61404ad2819e,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2330
18,20,Ultimate 7s,2360,1000000,1,,,,9/2/2025,145,,"408,000",3.67,324681.0,-0.20421323529411764,3.67,-7.083871156030065e-07,5.86,0.010698318913317113,0.2724797570538467,-1.1224870322124048e-07,0.17050581955827412,0.0018241256342109158,0.0340146573256772,0.02227340095185605,9.79861155006828,14.96148917786367,7.0,0.58,0.0024879404539253874,0.5771049122061347,0.0024879404539253874,0.29,0.2896778461955151,0.9999998496734612,53.0,50.666666666666664,76.0,43.0,47.166666666666664,53.96666666666666,74.0,10.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2360_teaser.jpg?rev=a630c7bdbb3b4e678a2c922c877a70c2,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2360
19,20,CASH BLAST,2349,600,5352,,,,1/6/2026,19,,668.85,9.34,657.5310164424515,-0.01692305233990964,9.34,-1.4776477980771616e-07,9.34,1.0002715996881487e-07,0.1070663969769595,1.0709547609843995e-08,0.1070663969769595,1.0709547609843995e-08,0.03371363909478683,0.03371363909478683,9.886935832729792,9.886935832729792,14.0,0.65,2.9460541708326144e-06,0.6472857026756228,2.9460541708326144e-06,0.99,0.9909641254930229,1.0000109115357556,53.666666666666664,38.333333333333336,82.0,89.33333333333333,63.166666666666664,65.3,90.0,13.0,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2349_teaser.jpg?rev=70df939d6ef84f6488051cfce2745de9,,,,2026-01-25,/virginia-statistics-for-each-scratcher-game,https://www.valottery.com/scratchers/2349
