price,gameName,gameNumber,topprize,startDate,topprizeodds,Current Odds of Top Prize,Current Odds of Any Prize,Odds of Profit Prize,Expected Value of Any Prize (as % of cost),Overall Rank,Rank by Cost,Photo,Stats Page,gameURL
20.0,$100 & $200 BLOWOUT,519,200,2025-06-03,42.84111877423915,42.84111877423915,7.89,7.89,0.6234988394901659,5.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=519
5.0,JAWS,514,100000,2025-05-27,837034.9166666666,837034.9166666666,3.8500000000000005,7.519428305833141,0.38183329769769414,73.0,23.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=514
2.0,TRIPLE 333,515,33333,2025-05-27,1060832.3280000002,1060832.3280000002,4.44,9.695159925738167,0.4168138706959807,45.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=515
50.0,$250 MILLION EXTRAVAGANZA,508,5000000,2025-05-27,2183565.266666667,2183565.266666667,3.16,5.224331404994739,0.495496473309397,12.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=508
20.0,"$2,000,000* JACKPOT FORTUNE",516,2000000,2025-04-28,1632843.28,1632843.28,3.04,5.3521506002847925,0.4373273235497795,25.0,8.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=516
5.0,BREAK THE BANK,512,100000,2025-04-28,891866.0800000001,891866.0800000001,3.9900000000000007,7.837643047526742,0.42084058726105383,37.0,10.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=512
1.0,7-11-21,513,7000,2025-04-28,1432478.676,1432478.676,4.71,10.759556006380375,0.4251300500372199,32.0,1.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=513
10.0,100X,503,1000000,2025-04-28,2225871.015,2225871.015,3.27,5.994816543831053,0.6765405796308006,1.0,1.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=503
5.0,EXTREME GREEN,506,100000,2025-03-31,829798.6399999999,829798.6399999999,4.84,4.84,0.46720026031345246,17.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=506
2.0,MONEY BAGS MULTIPLIER,510,25000,2025-03-31,1040500.1599999999,1040500.1599999999,4.46,8.313381948765816,0.4010753623996144,65.0,10.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=510
