prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameName,gameNumber,price,dateexported
10000.0,23.0,23.0,Winning 7s,1752,5,2026-01-01
1000.0,20.0,20.0,Winning 7s,1752,5,2026-01-01
500.0,362.0,362.0,Winning 7s,1752,5,2026-01-01
200.0,568.0,568.0,Winning 7s,1752,5,2026-01-01
500000.0,9.0,9.0,Extreme Green,1751,10,2026-01-01
5000.0,34.0,34.0,Extreme Green,1751,10,2026-01-01
500.0,6214.0,6214.0,Extreme Green,1751,10,2026-01-01
200.0,6764.0,6764.0,Extreme Green,1751,10,2026-01-01
100.0,8573.0,8573.0,Extreme Green,1751,10,2026-01-01
50.0,233164.0,233164.0,Extreme Green,1751,10,2026-01-01
1500000.0,10.0,10.0,Cash Spectacular,1750,30,2026-01-01
150000.0,4.0,4.0,Cash Spectacular,1750,30,2026-01-01
30000.0,13.0,13.0,Cash Spectacular,1750,30,2026-01-01
5000.0,30.0,30.0,Cash Spectacular,1750,30,2026-01-01
1000.0,2916.0,2916.0,Cash Spectacular,1750,30,2026-01-01
500.0,3846.0,3846.0,Cash Spectacular,1750,30,2026-01-01
1000.0,21.0,21.0,Simply A Buck,1749,1,2026-01-01
500.0,17.0,17.0,Simply A Buck,1749,1,2026-01-01
100.0,102.0,102.0,Simply A Buck,1749,1,2026-01-01
50.0,2588.0,2588.0,Simply A Buck,1749,1,2026-01-01
20.0,4645.0,4645.0,Simply A Buck,1749,1,2026-01-01
10.0,19541.0,19541.0,Simply A Buck,1749,1,2026-01-01
200000.0,7.0,7.0,Money Maker,1748,5,2026-01-01
1000.0,30.0,30.0,Money Maker,1748,5,2026-01-01
500.0,1173.0,1173.0,Money Maker,1748,5,2026-01-01
150.0,2788.0,2788.0,Money Maker,1748,5,2026-01-01
75.0,45083.0,45083.0,Money Maker,1748,5,2026-01-01
50.0,69374.0,69374.0,Money Maker,1748,5,2026-01-01
500000.0,8.0,8.0,JURASSIC PARK,1747,10,2026-01-01
10000.0,18.0,18.0,JURASSIC PARK,1747,10,2026-01-01
1000.0,389.0,389.0,JURASSIC PARK,1747,10,2026-01-01
500.0,499.0,499.0,JURASSIC PARK,1747,10,2026-01-01
250.0,5251.0,5251.0,JURASSIC PARK,1747,10,2026-01-01
150.0,57629.0,57629.0,JURASSIC PARK,1747,10,2026-01-01
1000000.0,4.0,4.0,Millionaire Loading,1746,20,2026-01-01
10000.0,24.0,24.0,Millionaire Loading,1746,20,2026-01-01
4000.0,91.0,91.0,Millionaire Loading,1746,20,2026-01-01
1000.0,3232.0,3232.0,Millionaire Loading,1746,20,2026-01-01
400.0,21733.0,21733.0,Millionaire Loading,1746,20,2026-01-01
200.0,8407.0,8407.0,Millionaire Loading,1746,20,2026-01-01
20000.0,4.0,4.0,Win Pigs Fly,1745,2,2026-01-01
1000.0,4.0,4.0,Win Pigs Fly,1745,2,2026-01-01
400.0,125.0,125.0,Win Pigs Fly,1745,2,2026-01-01
100.0,3843.0,3843.0,Win Pigs Fly,1745,2,2026-01-01
40.0,3362.0,3362.0,Win Pigs Fly,1745,2,2026-01-01
20.0,23141.0,23141.0,Win Pigs Fly,1745,2,2026-01-01
200000.0,5.0,5.0,Goat Load of Cash Crossword,1744,5,2026-01-01
10000.0,19.0,19.0,Goat Load of Cash Crossword,1744,5,2026-01-01
5000.0,136.0,136.0,Goat Load of Cash Crossword,1744,5,2026-01-01
1000.0,117.0,117.0,Goat Load of Cash Crossword,1744,5,2026-01-01
500.0,2284.0,2284.0,Goat Load of Cash Crossword,1744,5,2026-01-01
250.0,2284.0,2284.0,Goat Load of Cash Crossword,1744,5,2026-01-01
500.0,4705.0,4705.0,"$50, $100 or $500",1743,10,2026-01-01
100.0,86611.0,86611.0,"$50, $100 or $500",1743,10,2026-01-01
50.0,289533.0,289533.0,"$50, $100 or $500",1743,10,2026-01-01
0.0,0.0,0.0,"$50, $100 or $500",1743,10,2026-01-01
0.0,0.0,0.0,"$50, $100 or $500",1743,10,2026-01-01
0.0,0.0,0.0,"$50, $100 or $500",1743,10,2026-01-01
3000000.0,3.0,3.0,$3 Million Mega Moolah Multiplier,1742,30,2026-01-01
300000.0,10.0,10.0,$3 Million Mega Moolah Multiplier,1742,30,2026-01-01
30000.0,9.0,9.0,$3 Million Mega Moolah Multiplier,1742,30,2026-01-01
3000.0,378.0,378.0,$3 Million Mega Moolah Multiplier,1742,30,2026-01-01
1000.0,3360.0,3360.0,$3 Million Mega Moolah Multiplier,1742,30,2026-01-01
500.0,1269.0,1269.0,$3 Million Mega Moolah Multiplier,1742,30,2026-01-01
5000.0,1.0,1.0,Win It All,1741,1,2026-01-01
1000.0,1.0,1.0,Win It All,1741,1,2026-01-01
250.0,6.0,6.0,Win It All,1741,1,2026-01-01
100.0,160.0,160.0,Win It All,1741,1,2026-01-01
50.0,181.0,181.0,Win It All,1741,1,2026-01-01
25.0,3503.0,3503.0,Win It All,1741,1,2026-01-01
50000.0,7.0,7.0,Bonus Ball Bingo,1740,3,2026-01-01
3000.0,24.0,24.0,Bonus Ball Bingo,1740,3,2026-01-01
