,price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,startDate,endDate,lastdatetoclaim
0,20,100X The Cash,976,https://nclottery.com/scratch-off/976/100x-the-cash,https://nclottery.com/Content/Images/Instant/nc976_sqr.png,2000000,3.31,"Jan 7, 2025",,
1,10,"$1,000,000 Money Rush",975,https://nclottery.com/scratch-off/975/1-million-money-rush,https://nclottery.com/Content/Images/Instant/nc975_sqr.png,1000000,3.78,"Jan 7, 2025",,
2,5,"$200,000 Money Rush",974,https://nclottery.com/scratch-off/974/200000-money-rush,https://nclottery.com/Content/Images/Instant/nc974_sqr.png,200000,4.32,"Jan 7, 2025",,
3,2,Super 7-11-21,973,https://nclottery.com/scratch-off/973/super-7-11-21,https://nclottery.com/Content/Images/Instant/nc973_sqr.png,20000,4.55,"Jan 7, 2025",,
4,50,$8 Million Money Maker,972,https://nclottery.com/scratch-off/972/8-million-money-maker,https://nclottery.com/Content/Images/Instant/nc972_sqr.png,8000000,4.14,"Dec 3, 2024",,
5,5,Diamond 10X,971,https://nclottery.com/scratch-off/971/diamond-10x,https://nclottery.com/Content/Images/Instant/nc971_sqr.png,200000,4.23,"Dec 3, 2024",,
6,3,LOTERIA®,959,https://nclottery.com/scratch-off/959/loteria,https://nclottery.com/Content/Images/Instant/nc959_sqr.png,75000,3.99,"Dec 3, 2024",,
7,20,Merry Multiplier,958,https://nclottery.com/scratch-off/958/merry-multiplier,https://nclottery.com/Content/Images/Instant/nc958_sqr.png,250000,3.06,"Nov 5, 2024",,
8,10,Holiday Cash Blowout,957,https://nclottery.com/scratch-off/957/holiday-cash-blowout,https://nclottery.com/Content/Images/Instant/nc957_sqr.png,500,9.95,"Nov 5, 2024",,
9,5,Holiday Cash 50X,956,https://nclottery.com/scratch-off/956/holiday-cash-50x,https://nclottery.com/Content/Images/Instant/nc956_sqr.png,150000,4.18,"Nov 5, 2024",,
10,3,Holiday Cash 30X,955,https://nclottery.com/scratch-off/955/holiday-cash-30x,https://nclottery.com/Content/Images/Instant/nc955_sqr.png,75000,4.08,"Nov 5, 2024",,
11,2,Holiday Cash 20X,954,https://nclottery.com/scratch-off/954/holiday-cash-20x,https://nclottery.com/Content/Images/Instant/nc954_sqr.png,20000,4.47,"Nov 5, 2024",,
12,1,Holiday Cash 10X,953,https://nclottery.com/scratch-off/953/holiday-cash-10x,https://nclottery.com/Content/Images/Instant/nc953_sqr.png,5000,4.80,"Nov 5, 2024",,
13,30,Millionaire Bucks,952,https://nclottery.com/scratch-off/952/millionaire-bucks,https://nclottery.com/Content/Images/Instant/nc952_sqr.png,5000000,3.04,"Oct 1, 2024",,
14,20,Win Big,951,https://nclottery.com/scratch-off/951/win-big,https://nclottery.com/Content/Images/Instant/nc951_sqr.png,2000000,3.56,"Oct 1, 2024",,
15,5,Ca$h Plu$,950,https://nclottery.com/scratch-off/950/cash-plus,https://nclottery.com/Content/Images/Instant/nc950_sqr.png,200000,4.31,"Oct 1, 2024",,
16,5,Xtreme Cashword,949,https://nclottery.com/scratch-off/949/xtreme-cashword,https://nclottery.com/Content/Images/Instant/nc949_sqr.png,150000,3.92,"Oct 1, 2024",,
17,10,JUMBO BUCKS,948,https://nclottery.com/scratch-off/948/jumbo-bucks,https://nclottery.com/Content/Images/Instant/nc948_sqr.png,1000000,3.81,"Aug 30, 2024",,
18,5,MEGA BUCKS,947,https://nclottery.com/scratch-off/947/mega-bucks,https://nclottery.com/Content/Images/Instant/nc947_sqr.png,200000,4.35,"Aug 30, 2024",,
19,2,Junior BIG OL' BUCKS®,946,https://nclottery.com/scratch-off/946/junior-big-ol-bucks,https://nclottery.com/Content/Images/Instant/nc946_sqr.png,50000,4.75,"Aug 30, 2024",,
20,20,"$50,000 Payout",944,https://nclottery.com/scratch-off/944/50000-payout,https://nclottery.com/Content/Images/Instant/nc944_sqr.png,50000,3.54,"Aug 6, 2024",,
21,10,"$1,000,000 Cashword",943,https://nclottery.com/scratch-off/943/1000000-cashword,https://nclottery.com/Content/Images/Instant/nc943_sqr.png,1000000,3.58,"Aug 6, 2024",,
22,5,GAME OF THRONES™,942,https://nclottery.com/scratch-off/942/game-of-thrones,https://nclottery.com/Content/Images/Instant/nc942_sqr.png,200000,4.31,"Aug 6, 2024",,
23,1,Tic Tac Bonus,941,https://nclottery.com/scratch-off/941/tic-tac-bonus,https://nclottery.com/Content/Images/Instant/nc941_sqr.png,5000,4.80,"Aug 6, 2024",,
24,30,Supreme 7s,940,https://nclottery.com/scratch-off/940/supreme-7s,https://nclottery.com/Content/Images/Instant/nc940_sqr.png,4000000,4.18,"Jul 2, 2024",,
25,10,$80 Million Cash Blowout,939,https://nclottery.com/scratch-off/939/80-million-cash-blowout,https://nclottery.com/Content/Images/Instant/nc939_sqr.png,500,9.95,"Jul 2, 2024",,
26,5,Triple Red 777's,938,https://nclottery.com/scratch-off/938/triple-red-777s,https://nclottery.com/Content/Images/Instant/nc938_sqr.png,200000,4.28,"Jul 2, 2024",,
27,5,Super Loteria,937,https://nclottery.com/scratch-off/937/super-loteria,https://nclottery.com/Content/Images/Instant/nc937_sqr.png,150000,3.85,"Jul 2, 2024",,
28,10,"$2,000 Loaded",936,https://nclottery.com/scratch-off/936/2000-loaded,https://nclottery.com/Content/Images/Instant/nc936_sqr.jpg,2000,3.80,"Jun 4, 2024",,
29,5,$500 Loaded,935,https://nclottery.com/scratch-off/935/500-loaded,https://nclottery.com/Content/Images/Instant/nc935_sqr.jpg,500,4.37,"Jun 4, 2024",,
30,2,$100 Loaded,934,https://nclottery.com/scratch-off/934/100-loaded,https://nclottery.com/Content/Images/Instant/nc934_sqr.jpg,100,4.67,"Jun 4, 2024",,
31,1,$50 Loaded,933,https://nclottery.com/scratch-off/933/50-loaded,https://nclottery.com/Content/Images/Instant/nc933_sqr.jpg,50,4.88,"Jun 4, 2024",,
32,20,Instant Millions,932,https://nclottery.com/scratch-off/932/instant-millions,https://nclottery.com/Content/Images/Instant/nc932_sqr.png,2000000,3.41,"May 7, 2024",,
33,5,Red Hot Slots,931,https://nclottery.com/scratch-off/931/red-hot-slots,https://nclottery.com/Content/Images/Instant/nc931_sqr.png,200000,4.25,"May 7, 2024",,
34,3,SKEE-BALL®,930,https://nclottery.com/scratch-off/930/skee-ball,https://nclottery.com/Content/Images/Instant/nc930_sqr.png,75000,4.01,"May 7, 2024",,
35,10,Ultimate Dash,929,https://nclottery.com/scratch-off/929/ultimate-dash,https://nclottery.com/Content/Images/Instant/nc929_sqr.png,1000000,3.78,"Apr 2, 2024",,
36,5,"$400,000 Jackpot",928,https://nclottery.com/scratch-off/928/400000-jackpot,https://nclottery.com/Content/Images/Instant/nc928_sqr.png,400000,4.40,"Apr 2, 2024",,
37,2,Payday!,927,https://nclottery.com/scratch-off/927/payday,https://nclottery.com/Content/Images/Instant/nc927_sqr.png,20000,4.63,"Apr 2, 2024",,
