,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
28,280.0,Casino Ca$h Chips➞,$20,1000000,3.02,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-chips-2775/,
29,280.0,Casino Ca$h Chips➞,$20,1000000,3.02,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-chips-2775/,
30,280.0,Casino Ca$h Chips➞,$20,1000000,3.02,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-chips-2775/,
31,280.0,Casino Ca$h Chips➞,$20,1000000,3.02,2,2,,eXTRA Chances,2nd Chance,"April 3, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/casino-cah-chips-2775/,
32,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
33,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
34,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
35,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
36,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
37,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
38,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
39,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
40,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
41,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
42,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
43,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
44,284.0,"$250,000 Gold Rush➞",$10,250000,3.32,2,2,,eXTRA Chances,2nd Chance,"May 15, 2023",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-gold-rush-2779/,
45,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
46,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
47,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
48,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
49,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
50,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
51,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
52,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
53,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
54,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
55,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
56,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
57,310.0,Monopoly™ Secret Vault 100X➞,$10,250000,3.48,2,2,,eXTRA Chances,2nd Chance,"Jan. 8, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-secret-vault-100x-2814/,
58,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
