Description,prizeamount,TierLevel,Odds,PrizesWon,Winning Tickets Unclaimed,Winning Tickets At Start,gameNumber,gameName,dateexported
6.00,6.0,1,0.017504729330539703,15057,2523,17580,1554,Kickin' Ax Bingo,2026-04-22
10.00,10.0,1,0.02503633964806795,21991,3153,25144,1554,Kickin' Ax Bingo,2026-04-22
20.00,20.0,1,0.004993529990315437,4208,807,5015,1554,Kickin' Ax Bingo,2026-04-22
30.00,30.0,1,0.002006370108574629,1823,192,2015,1554,Kickin' Ax Bingo,2026-04-22
40.00,40.0,1,0.0006999900215305388,644,59,703,1554,Kickin' Ax Bingo,2026-04-22
50.00,50.0,1,0.00039530001231469214,362,35,397,1554,Kickin' Ax Bingo,2026-04-22
100.00,100.0,1,4.780000017490238e-05,42,6,48,1554,Kickin' Ax Bingo,2026-04-22
150.00,150.0,1,1.5929999790387228e-05,15,1,16,1554,Kickin' Ax Bingo,2026-04-22
500.00,500.0,1,9.960000170394778e-06,10,0,10,1554,Kickin' Ax Bingo,2026-04-22
1000.00,1000.0,1,2.989999984492897e-06,2,1,3,1554,Kickin' Ax Bingo,2026-04-22
10000.00,10000.0,1,1.990000100704492e-06,2,0,2,1554,Kickin' Ax Bingo,2026-04-22
2.00,2.0,1,0.1300877332687378,176646,24990,201636,1555,Donuts to Dollars Crossword,2026-04-22
4.00,4.0,1,0.10743226110935211,154167,12353,166520,1555,Donuts to Dollars Crossword,2026-04-22
10.00,10.0,1,0.024923870339989662,36689,1943,38632,1555,Donuts to Dollars Crossword,2026-04-22
20.00,20.0,1,0.010050320066511631,14877,701,15578,1555,Donuts to Dollars Crossword,2026-04-22
50.00,50.0,1,0.001315479981712997,1964,75,2039,1555,Donuts to Dollars Crossword,2026-04-22
100.00,100.0,1,0.00022774000535719097,347,6,353,1555,Donuts to Dollars Crossword,2026-04-22
1000.00,1000.0,1,3.870000000461005e-06,6,0,6,1555,Donuts to Dollars Crossword,2026-04-22
15000.00,15000.0,1,1.939999947353499e-06,3,0,3,1555,Donuts to Dollars Crossword,2026-04-22
10.00,10.0,1,0.15001213550567627,47081,2363,49444,1558,Iron Forged,2026-04-22
15.00,15.0,1,0.04995448887348175,15732,733,16465,1558,Iron Forged,2026-04-22
20.00,20.0,1,0.012478760443627834,3945,168,4113,1558,Iron Forged,2026-04-22
25.00,25.0,1,0.03750910051167011,12026,337,12363,1558,Iron Forged,2026-04-22
30.00,30.0,1,0.012776089832186699,4109,102,4211,1558,Iron Forged,2026-04-22
50.00,50.0,1,0.016004239907488227,5161,114,5275,1558,Iron Forged,2026-04-22
75.00,75.0,1,0.00608616997487843,1973,33,2006,1558,Iron Forged,2026-04-22
100.00,100.0,1,0.0021632300049532205,696,17,713,1558,Iron Forged,2026-04-22
150.00,150.0,1,0.0015928400098346174,520,5,525,1558,Iron Forged,2026-04-22
250.00,250.0,1,0.0028094599838368595,908,18,926,1558,Iron Forged,2026-04-22
500.00,500.0,1,0.00016384000628022477,53,1,54,1558,Iron Forged,2026-04-22
1000.00,1000.0,1,1.8209999780083308e-05,6,0,6,1558,Iron Forged,2026-04-22
100000.00,100000.0,1,6.069999926694436e-06,2,0,2,1558,Iron Forged,2026-04-22
5.00,5.0,1,0.10997119918465614,110639,11572,122211,1559,Drive-in Crossword,2026-04-22
10.00,10.0,1,0.09500675089657307,98404,7177,105581,1559,Drive-in Crossword,2026-04-22
15.00,15.0,1,0.030055800452828407,31374,2027,33401,1559,Drive-in Crossword,2026-04-22
20.00,20.0,1,0.025008549448102713,26482,1310,27792,1559,Drive-in Crossword,2026-04-22
25.00,25.0,1,0.00997120002284646,10406,675,11081,1559,Drive-in Crossword,2026-04-22
30.00,30.0,1,0.01070638999226503,11450,448,11898,1559,Drive-in Crossword,2026-04-22
45.00,45.0,1,0.001662019974901341,1795,52,1847,1559,Drive-in Crossword,2026-04-22
100.00,100.0,1,0.0008539699920220301,924,25,949,1559,Drive-in Crossword,2026-04-22
200.00,200.0,1,0.00023846000840421766,257,8,265,1559,Drive-in Crossword,2026-04-22
300.00,300.0,1,9.53799972194247e-05,104,2,106,1559,Drive-in Crossword,2026-04-22
1000.00,1000.0,1,7.199999799922807e-06,8,0,8,1559,Drive-in Crossword,2026-04-22
50000.00,50000.0,1,1.7999999499807018e-06,2,0,2,1559,Drive-in Crossword,2026-04-22
40.00,40.0,1,0.15009180083870888,69833,2106,71939,1560,Tidal Treasure,2026-04-22
50.00,50.0,1,0.04083037003874779,19037,533,19570,1560,Tidal Treasure,2026-04-22
100.00,100.0,1,0.03637179033830762,17030,403,17433,1560,Tidal Treasure,2026-04-22
200.00,200.0,1,0.006017110077664256,2826,58,2884,1560,Tidal Treasure,2026-04-22
400.00,400.0,1,0.0009660100186010823,456,7,463,1560,Tidal Treasure,2026-04-22
1000.00,1000.0,1,2.0869999616479618e-05,10,0,10,1560,Tidal Treasure,2026-04-22
250000.00,250000.0,1,4.170000011072261e-06,2,0,2,1560,Tidal Treasure,2026-04-22
2.00,2.0,1,0.1300288885831833,174652,27894,202546,1561,Take A Hike Crossword,2026-04-22
4.00,4.0,1,0.10748475044965744,152001,15428,167429,1561,Take A Hike Crossword,2026-04-22
10.00,10.0,1,0.024988770484924316,36155,2770,38925,1561,Take A Hike Crossword,2026-04-22
20.00,20.0,1,0.010009629651904106,14756,836,15592,1561,Take A Hike Crossword,2026-04-22
50.00,50.0,1,0.0013096199836581945,1959,81,2040,1561,Take A Hike Crossword,2026-04-22
100.00,100.0,1,0.00022790000366512686,340,15,355,1561,Take A Hike Crossword,2026-04-22
1000.00,1000.0,1,3.850000211969018e-06,6,0,6,1561,Take A Hike Crossword,2026-04-22
15000.00,15000.0,1,1.9300000531075057e-06,3,0,3,1561,Take A Hike Crossword,2026-04-22
1.00,1.0,1,0.21373960375785828,305970,89662,395632,1563,Happy Camper Crossword,2026-04-22
3.00,3.0,1,0.0524781197309494,80465,16672,97137,1563,Happy Camper Crossword,2026-04-22
15.00,15.0,1,0.01250728964805603,20338,2813,23151,1563,Happy Camper Crossword,2026-04-22
50.00,50.0,1,0.001154509955085814,1951,186,2137,1563,Happy Camper Crossword,2026-04-22
1500.00,1500.0,1,1.620000034563418e-06,3,0,3,1563,Happy Camper Crossword,2026-04-22
5.00,5.0,1,0.1440291404724121,93144,11630,104774,1567,Lucky Spot,2026-04-22
10.00,10.0,1,0.05602172017097473,37003,3750,40753,1567,Lucky Spot,2026-04-22
15.00,15.0,1,0.023978279437869787,15979,1464,17443,1567,Lucky Spot,2026-04-22
25.00,25.0,1,0.023978279437869787,16130,1313,17443,1567,Lucky Spot,2026-04-22
50.00,50.0,1,0.008638400002382696,5850,434,6284,1567,Lucky Spot,2026-04-22
100.00,100.0,1,0.0045996400294825435,3049,297,3346,1567,Lucky Spot,2026-04-22
200.00,200.0,1,0.0003505300046526827,228,27,255,1567,Lucky Spot,2026-04-22
500.00,500.0,1,4.1239998608944006e-05,27,3,30,1567,Lucky Spot,2026-04-22
50000.00,50000.0,1,2.750000021478627e-06,1,1,2,1567,Lucky Spot,2026-04-22
5.00,5.0,1,0.1300647258758545,86177,7268,93445,1568,Joker's Wild Poker,2026-04-22
10.00,10.0,1,0.07983715087175369,54284,3075,57359,1568,Joker's Wild Poker,2026-04-22
15.00,15.0,1,0.024994079489260912,17120,837,17957,1568,Joker's Wild Poker,2026-04-22
25.00,25.0,1,0.015049060340970755,10338,474,10812,1568,Joker's Wild Poker,2026-04-22
30.00,30.0,1,0.008910839911550283,6192,210,6402,1568,Joker's Wild Poker,2026-04-22
50.00,50.0,1,0.00753705995157361,5260,155,5415,1568,Joker's Wild Poker,2026-04-22
100.00,100.0,1,0.003355819993885234,2344,67,2411,1568,Joker's Wild Poker,2026-04-22
250.00,250.0,1,8.351999895239715e-05,58,2,60,1568,Joker's Wild Poker,2026-04-22
500.00,500.0,1,2.0879999965472962e-05,15,0,15,1568,Joker's Wild Poker,2026-04-22
1000.00,1000.0,1,5.569999871113396e-06,4,0,4,1568,Joker's Wild Poker,2026-04-22
50000.00,50000.0,1,2.7799999315902824e-06,2,0,2,1568,Joker's Wild Poker,2026-04-22
10.00,10.0,1,0.1500389575958252,102115,5706,107821,1569,Crossword Cove,2026-04-22
20.00,20.0,1,0.09996104054152966,69709,2125,71834,1569,Crossword Cove,2026-04-22
30.00,30.0,1,0.03736885031685233,26251,603,26854,1569,Crossword Cove,2026-04-22
50.00,50.0,1,0.007511630072258413,5282,116,5398,1569,Crossword Cove,2026-04-22
100.00,100.0,1,0.006700349971652031,4685,130,4815,1569,Crossword Cove,2026-04-22
200.00,200.0,1,0.000666559993987903,469,10,479,1569,Crossword Cove,2026-04-22
250.00,250.0,1,0.0002630000017234124,184,5,189,1569,Crossword Cove,2026-04-22
500.00,500.0,1,0.00019620999955805019,138,3,141,1569,Crossword Cove,2026-04-22
1000.00,1000.0,1,8.350000280188397e-05,60,0,60,1569,Crossword Cove,2026-04-22
5000.00,5000.0,1,3.0619999961345457e-05,22,0,22,1569,Crossword Cove,2026-04-22
100000.00,100000.0,1,8.349999916390516e-06,6,0,6,1569,Crossword Cove,2026-04-22
3.00,3.0,1,0.14497047662734985,94455,14831,109286,1570,Bear Country Bingo,2026-04-22
5.00,5.0,1,0.020007960498332977,13136,1947,15083,1570,Bear Country Bingo,2026-04-22
6.00,6.0,1,0.03000730089843273,20075,2546,22621,1570,Bear Country Bingo,2026-04-22
8.00,8.0,1,0.02500762976706028,16242,2610,18852,1570,Bear Country Bingo,2026-04-22
10.00,10.0,1,0.009992710314691067,6697,836,7533,1570,Bear Country Bingo,2026-04-22
18.00,18.0,1,0.010007300414144993,6912,632,7544,1570,Bear Country Bingo,2026-04-22
20.00,20.0,1,0.015000340528786182,10020,1288,11308,1570,Bear Country Bingo,2026-04-22
25.00,25.0,1,0.004999670200049877,3459,310,3769,1570,Bear Country Bingo,2026-04-22
38.00,38.0,1,0.0018650899874046445,1327,79,1406,1570,Bear Country Bingo,2026-04-22
40.00,40.0,1,0.0007998900255188346,550,53,603,1570,Bear Country Bingo,2026-04-22
50.00,50.0,1,0.0012256999616511166,848,76,924,1570,Bear Country Bingo,2026-04-22
75.00,75.0,1,0.00026532000629231334,192,8,200,1570,Bear Country Bingo,2026-04-22
100.00,100.0,1,0.0005836799973621964,413,27,440,1570,Bear Country Bingo,2026-04-22
500.00,500.0,1,2.6539999453234486e-05,18,2,20,1570,Bear Country Bingo,2026-04-22
1000.00,1000.0,1,5.299999884300632e-06,4,0,4,1570,Bear Country Bingo,2026-04-22
25000.00,25000.0,1,2.649999942150316e-06,2,0,2,1570,Bear Country Bingo,2026-04-22
20.00,20.0,1,0.18730419874191284,125010,6766,131776,1573,Sky High Crossword,2026-04-22
30.00,30.0,1,0.11261050775647163,76400,2826,79226,1573,Sky High Crossword,2026-04-22
50.00,50.0,1,0.022536030504852533,15351,504,15855,1573,Sky High Crossword,2026-04-22
60.00,60.0,1,0.0069818401243537664,4771,141,4912,1573,Sky High Crossword,2026-04-22
75.00,75.0,1,0.0027901800349354744,1906,57,1963,1573,Sky High Crossword,2026-04-22
80.00,80.0,1,0.0022543100640177727,1546,40,1586,1573,Sky High Crossword,2026-04-22
