,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
8,1671,DELUXE,25,414868.0,27048.0,0.1670196671709531,0.06519664085926126,0.7994524224563833,0.8350983358547655,9/24/2023 12:25:03 AM
9,1671,DELUXE,20,207434.0,13792.0,0.08516471641606718,0.06648861806646933,0.0,0.0,9/24/2023 12:25:03 AM
10,1671,DELUXE,0,1721064.8900000001,107418.19,0.6633004415079193,0.06241379428755879,-13.265997816318722,-13.266008830158388,9/24/2023 12:25:03 AM
11,1671,DELUXE,Total,2594701.89,161945.19,1.0000011732378278,0.06241379428755879,,,9/24/2023 12:25:03 AM
0,1684,BULLFROG BINGO,20000,8.0,1.0,3.875836793163644e-07,0.125,0.015454327315975616,0.007750898418968656,9/24/2023 12:25:03 AM
1,1684,BULLFROG BINGO,500,20.0,5.0,1.937918396581822e-06,0.25,0.0009621280882283049,0.0009650833614977475,9/24/2023 12:25:03 AM
2,1684,BULLFROG BINGO,250,20.0,2.0,7.751673586327288e-07,0.1,0.0004791320600012442,0.00019224150494091675,9/24/2023 12:25:03 AM
3,1684,BULLFROG BINGO,200,600.0,132.0,5.11610456697601e-05,0.22,0.011475985630674963,0.010129887042612501,9/24/2023 12:25:03 AM
4,1684,BULLFROG BINGO,150,356.0,73.0,2.82936085900946e-05,0.2050561797752809,0.005089618947045475,0.004187454071334001,9/24/2023 12:25:03 AM
5,1684,BULLFROG BINGO,100,341.0,105.0,4.069628632821826e-05,0.30791788856304986,0.0032281522542583823,0.003988236060165389,9/24/2023 12:25:03 AM
6,1684,BULLFROG BINGO,75,1729.0,361.0,0.00013991770823320755,0.2087912087912088,0.012192461938946984,0.010213992701024152,9/24/2023 12:25:03 AM
7,1684,BULLFROG BINGO,50,5162.0,1296.0,0.0005023084483940083,0.2510654784967067,0.02393496477799764,0.024110805522912396,9/24/2023 12:25:03 AM
8,1684,BULLFROG BINGO,40,3451.0,641.0,0.00024844113844178957,0.18574326282237033,0.012667826629928058,0.009440763260788004,9/24/2023 12:25:03 AM
9,1684,BULLFROG BINGO,30,7789.0,1622.0,0.000628660727851143,0.20824239311850046,0.021067513957619223,0.017602500379832006,9/24/2023 12:25:03 AM
10,1684,BULLFROG BINGO,25,103553.0,25189.0,0.009762845298299903,0.2432474191959673,0.23007216347058534,0.22454544186089778,9/24/2023 12:25:03 AM
11,1684,BULLFROG BINGO,10,77663.0,18421.0,0.007139678956686749,0.23719145539059783,0.06001747286431714,0.05711743165349399,9/24/2023 12:25:03 AM
12,1684,BULLFROG BINGO,9,258923.0,61601.0,0.023875542229567365,0.23791242956400166,0.17508229286328933,0.16712879560697155,9/24/2023 12:25:03 AM
13,1684,BULLFROG BINGO,6,336445.0,79935.0,0.030981501406153588,0.23758712419563377,0.13000127897348274,0.12392600562461435,9/24/2023 12:25:03 AM
14,1684,BULLFROG BINGO,5,181320.0,39929.0,0.015475828731423114,0.22021288330024266,0.05254610390287839,0.04642748619426934,9/24/2023 12:25:03 AM
15,1684,BULLFROG BINGO,3,388315.0,99989.0,0.03875410451116396,0.2574945598290048,0.037510920540198216,0.03875410451116396,9/24/2023 12:25:03 AM
16,1684,BULLFROG BINGO,2,1268415.0,327209.0,0.12682086812542828,0.2579668326218154,0.0,0.0,9/24/2023 12:25:03 AM
17,1684,BULLFROG BINGO,0,7717942.300000001,1923577.23,0.7455471402525805,0.24923446629032195,-1.4910941907942503,-1.491094280505161,9/24/2023 12:25:03 AM
18,1684,BULLFROG BINGO,Total,10352052.3,2580088.23,1.0000000891442462,0.24923446629032195,,,9/24/2023 12:25:03 AM
0,1689,$18 MILLION CASH BLOWOUT,100,106228.0,23968.0,0.039829170613357265,0.22562789471702377,3.6,3.584625355202154,9/24/2023 12:25:03 AM
1,1689,$18 MILLION CASH BLOWOUT,50,159342.0,36209.0,0.06017082938664274,0.22724077769828419,2.4,2.4068331754657097,9/24/2023 12:25:03 AM
2,1689,$18 MILLION CASH BLOWOUT,0,2390130.0,541593.0,0.9,0.22659562450578002,-9.0,-9.0,9/24/2023 12:25:03 AM
3,1689,$18 MILLION CASH BLOWOUT,Total,2655700.0,601770.0,1.0,0.22659562450578002,,,9/24/2023 12:25:03 AM
0,1705,SUPER HOT 7'S,70000,4.0,0.0,0.0,0.0,0.11337448851292663,0.0,9/24/2023 12:25:03 AM
1,1705,SUPER HOT 7'S,500,10.0,3.0,6.203627881585151e-06,0.3,0.002004442167794081,0.0030707958013846495,9/24/2023 12:25:03 AM
2,1705,SUPER HOT 7'S,100,1232.0,216.0,0.00044666120747413086,0.17532467532467533,0.04739392147850894,0.042432814710042434,9/24/2023 12:25:03 AM
3,1705,SUPER HOT 7'S,70,5601.0,1022.0,0.002113369231660008,0.182467416532762,0.1474236844076671,0.1373690000579005,9/24/2023 12:25:03 AM
4,1705,SUPER HOT 7'S,50,49895.0,8875.0,0.018352399149689405,0.1778735344222868,0.9091967451098698,0.8258579617360232,9/24/2023 12:25:03 AM
5,1705,SUPER HOT 7'S,30,3097.0,545.0,0.001126992398487969,0.1759767516951889,0.031352310068981155,0.028174809962199225,9/24/2023 12:25:03 AM
6,1705,SUPER HOT 7'S,20,49371.0,9100.0,0.01881767124080829,0.18431872961860202,0.2998827705035199,0.28226506861212436,9/24/2023 12:25:03 AM
7,1705,SUPER HOT 7'S,10,172818.0,33082.0,0.06840947252619999,0.191426818965617,0.349902713690745,0.34204736263099994,9/24/2023 12:25:03 AM
8,1705,SUPER HOT 7'S,5,444300.0,89389.0,0.1848453642356717,0.20119063695701103,0.0,0.0,9/24/2023 12:25:03 AM
9,1705,SUPER HOT 7'S,0,1743187.1999999997,341356.8,0.7058835206828953,0.19582337456355808,-3.5294120505443374,-3.529417603414476,9/24/2023 12:25:03 AM
10,1705,SUPER HOT 7'S,Total,2469515.1999999997,483588.8,1.0000016543007684,0.19582337456355808,,,9/24/2023 12:25:03 AM
0,1713,"$75,000 CASH",75000,4.0,0.0,0.0,0.0,0.12129975693951632,0.0,9/24/2023 12:25:03 AM
1,1713,"$75,000 CASH",500,10.0,0.0,0.0,0.0,0.0020015794281305612,0.0,9/24/2023 12:25:03 AM
2,1713,"$75,000 CASH",100,1231.0,82.0,0.0003597753597753598,0.06661251015434606,0.04728781943893504,0.03417865917865918,9/24/2023 12:25:03 AM
3,1713,"$75,000 CASH",75,1544.0,96.0,0.0004212004212004212,0.06217616580310881,0.0437031726449194,0.029484029484029485,9/24/2023 12:25:03 AM
4,1713,"$75,000 CASH",50,50627.0,3379.0,0.014825377325377325,0.06674304225018271,0.9212178337087811,0.6671419796419796,9/24/2023 12:25:03 AM
5,1713,"$75,000 CASH",30,6320.0,460.0,0.0020182520182520183,0.07278481012658228,0.06388879790800579,0.05045630045630046,9/24/2023 12:25:03 AM
6,1713,"$75,000 CASH",25,4934.0,331.0,0.0014522639522639522,0.06708552898256992,0.03990219352887349,0.029045279045279045,9/24/2023 12:25:03 AM
7,1713,"$75,000 CASH",20,49401.0,3591.0,0.015755528255528256,0.07269083621789033,0.299636440391145,0.23633292383292384,9/24/2023 12:25:03 AM
8,1713,"$75,000 CASH",10,172816.0,14276.0,0.06263601263601264,0.08260809184334784,0.3493989398503142,0.3131800631800632,9/24/2023 12:25:03 AM
9,1713,"$75,000 CASH",5,444784.0,45217.0,0.1983897858897859,0.10166058131587467,0.0,0.0,9/24/2023 12:25:03 AM
10,1713,"$75,000 CASH",0,1741376.98,160488.16,0.7041425061425062,0.09216164095611279,-3.520711454331438,-3.520712530712531,9/24/2023 12:25:03 AM
