gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,gameURL,gamePhoto,dateexported,topprizeodds
1026,"$500,000 Cashword",10.0,2000000.0,3.69,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$10-games/$500,000-cashword-2",https://www.ohiolottery.com/getattachment/edb50f7a-fdfe-4ad3-964f-6b12a8bb910c/1576_MobileAppLogo-(2).png,2026-01-02,0
1018,Best of 7s (Gigantix),10.0,2000000.0,3.73,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/best-of-7s-gigantix,,2026-01-02,0
1017,Feeling Lucky,10.0,2000000.0,3.83,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/feeling-lucky,,2026-01-02,0
1012,Monopoly Bonus Spectacular 50X,10.0,2000000.0,3.66,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/monopoly-bonus-spectacular-50x,,2026-01-02,0
1007,Cash Plus,10.0,2000000.0,4.02,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/cash-plus,,2026-01-02,0
869,Gem 10s,10.0,2000000.0,3.43,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/gem-10s,,2026-01-02,0
862,Hit It Big,10.0,2000000.0,3.68,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/hit-it-big,,2026-01-02,0
872,"$50, $100 or $500",10.0,2000000.0,8.29,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$10-games/$50,-$100-or-$500-1",https://www.ohiolottery.com/getattachment/794fb6e7-1fc0-4c82-b20d-37d4ad8afac4/1578_MobileAppLogo.png,2026-01-02,0
852,"$500,000 Platinum Jackpot",10.0,2000000.0,4.09,0,1000000.0,Available,,"https://www.ohiolottery.com/games/scratch-offs/$10-games/$500,000-platinum-jackpot",,2026-01-02,0
842,Mega Multiplier (Gigantix),10.0,2000000.0,3.91,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/mega-multiplier-(gigantix),,2026-01-02,0
847,Bingo 50X,10.0,2000000.0,3.21,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/bingo-50x,,2026-01-02,0
826,Golden Casino,10.0,2000000.0,3.88,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$10-games/golden-casino,,2026-01-02,0
1086,Special Edition Cashword,5.0,2000000.0,4.11,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/special-edition-cashword-1086,https://www.ohiolottery.com/getattachment/74b8210d-9443-4e3a-84a5-38dfe373c1d4/1594_ThumbnailArt.jpg,2026-01-02,0
1059,Let It Snow,5.0,2000000.0,3.53,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/let-it-snow,https://www.ohiolottery.com/getattachment/1ff711b2-6426-4fb5-97ee-d11d6d7bac53/1572_ThumbnailArt-(1).jpg,2026-01-02,0
1046,Holiday Lucky Times 10,5.0,2000000.0,3.58,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/holiday-lucky-times-10-3,,2026-01-02,0
1041,Win Big,5.0,2000000.0,4.2,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/win-big,,2026-01-02,0
1035,Plinko,5.0,2000000.0,4.43,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/plinko,,2026-01-02,0
