,gameNumber,gameName,Price,Top Six Prizes,Wins Remaining
119,1536,Solid Gold,$5,"$250,000 $5,000 $1,000 $500 $200 $100","2 6 23 199 744 4,277"
120,1535,"$1,000,000 Extreme Green",$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400","0 1 5 804 1,853 1,748"
121,1534,Hot Ticket,$1,"$5,000 $500 $100 $40 $20 $15","1 2 51 205 1,036 7,608"
122,1533,Bonus Buck$,$2,"$20,000 $1,000 $200 $100 $50 $30","2 10 71 552 3,013 5,233"
123,1532,On the Money,$5,"$250,000 $5,000 $1,000 $500 $200 $100","3 4 12 407 2,274 5,140"
124,1531,"Show Me $500,000",$10,"$500,000 $10,000 $1,000 $500 $200 $100","0 1 54 200 971 5,102"
125,1530,"$3,000,000 Payout",$30,"$3,000,000 $300,000 $30,000 $3,000 $1,000 $500","1 4 8 350 1,873 2,239"
126,1529,Bee Lucky,$1,"$5,000 $500 $100 $50 $25 $10","1 3 185 777 2,310 20,887"
127,1528,Scoop Up Some Cash,$2,"$20,000 $1,000 $500 $200 $100 $50","6 9 19 428 2,009 5,181"
128,1527,Triple 333,$3,"$50,000 $3,000 $1,000 $300 $100 $90","3 4 56 206 787 2,863"
129,1526,Digging for Treasure,$5,"$250,000 $5,000 $1,000 $500 $200 $100","4 8 29 470 2,440 12,340"
130,1525,Feelin’ Like a Million Bucks,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400",1 1 1 77 281 105
131,1524,Wild Win,$1,"$5,000 $500 $100 $40 $20 $10","0 3 271 755 2,420 14,890"
132,1523,7-11-21® LIVE!,$2,"$21,000 $1,000 $500 $100 $50 $30","1 7 83 746 4,067 5,552"
133,1522,The Hunt for Cash,$5,"$250,000 $5,000 $1,000 $500 $200 $100","4 8 19 382 1,394 6,955"
134,1521,Bigger Money Bingo,$5,"$250,000 $10,000 $5,000 $1,000 $500 $250",0 3 5 68 130 156
135,1519,2 for $1,$1,"$5,000 $500 $100 $40 $20 $10","2 7 221 687 4,684 12,206"
136,1518,Cash Craze,$2,"$20,000 $1,000 $500 $200 $100 $50","3 10 19 79 646 6,009"
137,1517,Bolt Bucks,$3,"$50,000 $3,000 $1,000 $300 $150 $100","2 3 6 147 611 2,180"
138,1516,The Money Game,$5,"$250,000 $5,000 $1,000 $500 $200 $100","1 3 4 87 522 1,896"
