,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
31,5,Bingo Times 20,2502,"$100,000",4.37,8,8.0,,,,09/18/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700696.html
32,5,Bingo Times 20,2428,"$100,000",4.36,8,2.0,,,,04/11/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701589.html
33,5,Bonus Money,2459,"$100,000",4.22,5,1.0,,,,01/16/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701495.html
34,2,Break The Bank,2503,"$30,000",4.80,10,4.0,,,,03/20/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700695.html
35,10,Ca$h Blowout,2413,"$1,000,000",3.92,8,6.0,,,,03/06/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701625.html
36,5,Ca$h Payout,2498,"$100,000",3.79,5,2.0,,,,06/19/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701372.html
37,5,Cash Games,2471,"$100,000",4.35,6,4.0,,,,02/20/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701441.html
38,50,Cash Royale,2479,"$1,000,000",3.58,4,4.0,,,,07/17/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701433.html
39,20,Cash Spectacular,2367,"$2,000,000",3.48,4,2.0,,,,11/15/21,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252702427.html
40,10,Cash Winfall,2421,$500,6.83,4743,1337.0,,,,02/06/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701596.html
41,2,Classic Bingo!,2427,"$30,000",4.38,16,9.0,,,,02/20/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701590.html
42,5,Cool Cash,2497,"$100,000",4.35,6,2.0,,,,02/06/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701373.html
43,5,Cowboys,2500,"$100,000",3.79,4,3.0,,,,08/14/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700698.html
44,20,DIAMOND 7s,2486,"$1,000,000",3.50,4,1.0,,,,05/01/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701405.html
45,5,EMERALD 7s,2484,"$200,000",4.23,7,4.0,,,,05/01/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701407.html
46,1,EZ Loteria,2507,$500,4.71,511,162.0,,,,03/06/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700691.html
47,5,"HIT $100,000",2488,"$100,000",4.09,6,3.0,,,,06/05/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701403.html
48,5,Houston Texans,2501,"$100,000",3.79,4,4.0,,,,08/14/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700697.html
49,10,"Instant $1,000!",2516,"$1,000",3.95,1825,417.0,,,,04/17/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700661.html
50,20,Jackpot Millions,2475,"$1,000,000",3.76,4,3.0,,,,03/20/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701437.html
51,100,Loteria Supreme,2515,"$7,500,000",3.23,4,4.0,,,,04/03/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700662.html
52,5,Lucky Symbols,2473,"$100,000",3.88,6,3.0,,,,04/03/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701439.html
53,1,Mad Money,2272,"$1,000",4.98,10,6.0,,,,07/03/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252703362.html
54,10,Mega Loteria,2510,"$250,000",3.54,20,11.0,,,,02/06/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700667.html
55,20,Million Dollar Loteria,2511,"$1,000,000",3.29,10,8.0,,,,06/05/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700666.html
56,20,Million Dollar Loteria,2434,"$1,000,000",3.27,8,1.0,,,,09/19/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701562.html
57,30,Millionaire Maker,2517,"$1,000,000",3.54,15,15.0,,,,08/14/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700660.html
58,5,Money Multiplier,2524,"$100,000",4.34,6,6.0,,,,09/18/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700632.html
59,10,Monopoly™,2410,"$250,000",3.80,5,3.0,,,,12/05/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701628.html
60,10,Payout Multiplier,2407,"$250,000",3.95,5,1.0,,,,07/05/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701652.html
61,30,Premier Cash,2387,"$2,000,000",3.94,4,1.0,,,,04/04/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252702365.html
62,5,Quick $500,2467,$500,4.33,4705,1353.0,,,,05/15/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701466.html
63,10,RUBY 7s,2485,"$500,000",3.82,5,4.0,,,,05/01/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701406.html
64,5,Ruby Mine 9X,2491,"$100,000",3.70,6,4.0,,,,07/31/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701379.html
65,3,Special Edition Loteria,2431,"$50,000",4.38,14,5.0,,,,10/17/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701565.html
66,5,Special Edition Super Loteria,2432,"$100,000",3.77,30,8.0,,,,12/05/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701564.html
67,5,Super Cashword,2505,"$100,000",4.07,13,11.0,,,,06/05/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252700693.html
68,5,Super Crossword,2425,"$100,000",3.91,13,1.0,,,,02/24/22,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701592.html
69,10,Super Ticket™ 777,2356,"$250,000",3.80,4,2.0,,,,05/15/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252702459.html
70,1,TOPAZ 7s,2483,"$5,000",4.75,16,5.0,,,,05/01/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701408.html
71,5,Triple Tripler,2389,"$100,000",3.88,4,1.0,,,,03/06/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252702363.html
72,30,VIP Club,2468,"$1,000,000",5.01,4,2.0,,,,02/20/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701465.html
73,5,Winner's Club,2493,"$100,000",4.11,5,1.0,,,,07/03/23,,,"September 12, 2023",https://www.texaslottery.com/export/sites/lottery/Games/Scratch_Offs/details.html_252701377.html
