,price,gameNumber,topprize,overallodds,topprizeodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,topprizeodds_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
10,1,1552,500,4.7,49244.13,,,,2022-10-20,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1552,LOOSE CHANGE                  ,32785311,1134851,3128,55,96978.17636363636,154090961.70000002,5333799.7,121305650.70000002,4198948.7,96978.17636363636,0.0,4.7,-1.3123852397258204e-07,13.78,10.447135916804191,0.3187088461744704,0.21276598536990238,0.2127659584133556,-2.695654677253856e-08,0.07258616232070238,0.09572001436216625,0.02313385204146387,0.048784023534599666,0.017864190125935563,6.832796932756435,18.658403579942885,18.0,0.23,-0.46247683276030077,0.23093821120743396,-0.46247683276030077,0.02,0.018166438802116595,0.9999999954572286,https://edit.nylottery.ny.gov/sites/default/files/2022-09/looseChange_1552.jpg,,,,12/23/2025,1160,42.333333333333336,66.66666666666667,6.0,32.0,43.75,38.15,10.0,2.0,/new-york-statistics-for-each-scratcher-game
11,2,1556,25000,4.8,1680483.33,Top Prize Claimed,,,2023-01-03,,2026-02-04,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1556,CASH X10                      ,5256986,964553,15,0,inf,25233532.8,4629854.399999999,19976546.8,3665301.3999999994,inf,,4.8,-8.63958053246942e-08,8.06,7.787463783949269,0.03463938552518441,0.20833335133246103,0.20833333993830114,-1.1394159893374223e-08,0.12411233701969868,0.12841151211015564,0.004299175090456964,0.025665843979077983,0.015393045578322035,12.987254400355388,21.6539846091606,9.0,0.38,-0.04282081460663446,0.3809209750458653,-0.04282081460663446,0.16,0.1560337622021047,0.9999999877101645,https://edit.nylottery.ny.gov/sites/default/files/2022-10/cashX10_1556.jpg,,,,12/23/2025,1085,73.0,70.33333333333333,46.0,58.666666666666664,,61.99999999999999,69.0,12.0,/new-york-statistics-for-each-scratcher-game
12,10,1548,5000 a Week for Life,3.96,7061692.86,Top Prize Claimed,,,2022-11-29,,2026-04-28,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1548,SET FOR LIFE                  ,12474632,259838,7,0,inf,49399542.72,1028958.48,36924910.72,769120.48,inf,,3.96,-4.6649112608680134e-07,8.68,6.080103771348562,0.4268675413060311,0.2525253703260969,0.2525252562058167,-1.1412028022572684e-07,0.11526709544996006,0.1644708770781721,0.04920378162821204,0.04079112238310543,0.015874017260250384,8.171455726222739,20.994958151108904,10.0,0.24,-0.05717779755491963,0.2432747497954241,-0.05717779755491963,0.02,0.0135216705238554,0.9999999903866595,https://edit.nylottery.ny.gov/sites/default/files/2022-11/SetForLife_1548.jpg,,,,12/23/2025,1120,49.333333333333336,68.66666666666667,8.0,26.666666666666668,,38.166666666666664,11.0,2.0,/new-york-statistics-for-each-scratcher-game
13,10,1561,500,4.19,326.45,,,,2023-03-07,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1561,INSTANT $500                  ,4427826,717475,56773,8839,340.10863785496105,18552590.94,3006220.2500000005,14124764.940000001,2288745.2500000005,340.10863785496105,0.0,4.19,-8.316090621751277e-08,7.32,7.205888350346048,0.016379839163188664,0.2386635043343468,0.23866349657918381,-7.755162984013353e-09,0.13653890932799329,0.13877539470230302,0.0022364853743097324,0.03488796080416832,0.01951215779128356,9.554267054065358,17.082655046596493,9.0,0.43,-0.0030448372152453575,0.4295520620579997,-0.0030448372152453575,0.16,0.15860907601165983,0.9999999937165713,https://edit.nylottery.ny.gov/sites/default/files/2023-01/instant500_1_1561.jpg,,,,12/23/2025,1022,61.333333333333336,63.0,71.0,61.0,62.416666666666664,63.750000000000014,81.0,11.0,/new-york-statistics-for-each-scratcher-game
14,10,1567,3000000,4.23,4632187.50,Top Prize Claimed,,,2023-05-02,,2026-01-27,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1567,TRIPLE JACKPOT 777            ,4379467,345376,4,0,inf,18525145.41,1460940.4800000002,14145678.41,1115564.4800000002,inf,,4.23,-3.285554796444766e-07,6.92,6.830969400077804,0.013688770077118651,0.2364066970580585,0.2364066246175131,-7.244054539556899e-08,0.14441523950333346,0.14639210651252663,0.0019768670091931673,0.032695959375149,0.024090090070378864,10.194638742346987,13.836040986567541,8.0,0.38,-0.036447795640844154,0.3771161033307323,-0.036447795640844154,0.08,0.07670282450499645,0.9999999737657659,https://edit.nylottery.ny.gov/sites/default/files/2023-03/triplejackpot777_1567.jpg,,,,12/23/2025,966,66.33333333333333,56.333333333333336,43.0,34.666666666666664,,50.08333333333333,39.0,8.0,/new-york-statistics-for-each-scratcher-game
15,5,1568,777777,4.15,3085975.00,Top Prize Claimed,,,2023-05-02,,2026-05-19,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1568,RUBY RED 7S                   ,2973581,419775,4,0,inf,12340361.15,1742066.2500000002,9366780.15,1322291.2500000002,inf,,4.15,-1.4350774555307095e-07,7.61,7.095125952050081,0.07319550860213903,0.24096389000187135,0.24096385835065928,-3.165121206794019e-08,0.13132912300682065,0.14094182495957777,0.009612701952757124,0.03847021861375022,0.026527909759829545,8.664532332950069,12.564692426438551,10.0,0.31,-0.044967575180078496,0.31045092436222277,-0.044967575180078496,0.1,0.09276210329050683,0.9999999784092843,https://edit.nylottery.ny.gov/sites/default/files/2023-03/rubyRed7s_1568.jpg,,,,12/23/2025,966,53.666666666666664,53.333333333333336,15.0,44.0,,41.5,20.0,10.0,/new-york-statistics-for-each-scratcher-game
16,20,1571,5000,4.64,6176.55,,,,2023-06-06,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1571,ALL CASH                      ,2236737,389379,1680,282,6406.803404255318,10378459.68,1806718.5599999998,8141722.68,1417339.5599999998,6406.803404255318,0.0,4.64,-3.099541966001473e-07,4.64,4.639999695985715,-2.4443389260312013e-07,0.2155173081798045,0.2155172555000699,-5.2679734602323336e-08,0.2155173081798045,0.2155172555000699,-5.2679734602323336e-08,0.048323974994635525,0.048323974994635525,6.8977651040119055,6.8977651040119055,6.0,0.43,-0.0006789406325150397,0.4312407913133095,-0.0006789406325150397,0.17,0.17041273717967664,0.9999999484791688,https://edit.nylottery.ny.gov/sites/default/files/2023-04/allCash_1571.jpg,,,,12/23/2025,931,42.666666666666664,41.0,72.0,48.333333333333336,44.583333333333336,49.71666666666667,37.0,1.0,/new-york-statistics-for-each-scratcher-game
17,5,1576,500000,4.14,3047600.00,Top Prize Claimed,,,2023-06-06,,2025-12-30,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1576,DOUBLE YOUR DOLLARS           ,2207949,142184,3,0,inf,9140908.86,588641.76,6932959.859999999,446457.76,inf,,4.14,-1.2911078546596004e-06,8.14,7.068020230778093,0.1509916476715202,0.2415462055820101,0.24154591644506213,-2.891369479673944e-07,0.12292212061341293,0.1414823341401095,0.018560213526696567,0.05199248000700631,0.03991056216886133,6.410894493112283,8.35104402781271,12.0,0.29,-0.06049303034521826,0.29136944249551083,-0.06049303034521826,0.04,0.039578536501550424,0.9999999176102566,https://edit.nylottery.ny.gov/sites/default/files/2023-04/doubleYourDollars_1576.jpg,,,,12/23/2025,931,40.333333333333336,42.666666666666664,10.0,16.666666666666668,,27.416666666666668,1.0,1.0,/new-york-statistics-for-each-scratcher-game
18,2,1573,25000,4.87,985925.00,Top Prize Claimed,,,2023-06-06,,2026-08-13,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1573,IT TAKES 2                    ,2023666,315424,10,0,inf,9855253.42,1536114.8800000001,7831587.42,1220690.8800000001,inf,,4.87,-5.728738204780632e-07,10.11,9.49587221996327,0.06486978369988174,0.205338926668203,0.20533881778580418,-1.0888239881934325e-07,0.09889370189972879,0.10530891495124478,0.006415213051515989,0.032500210072297905,0.015228452731824986,10.256010476838311,21.885697545845627,12.0,0.36,-0.07265658107969512,0.3595149839139543,-0.07265658107969512,0.13,0.12224978279161243,0.9999999020889542,https://edit.nylottery.ny.gov/sites/default/files/2023-04/ItTakes2_1573.jpg,,,,12/23/2025,931,66.66666666666667,71.0,33.0,30.666666666666668,,50.333333333333336,40.0,4.0,/new-york-statistics-for-each-scratcher-game
19,5,1577,500000,4.13,2882233.33,Top Prize Claimed,,,2023-07-04,,2026-09-23,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1577,WILD CASH MULTIPLIER          ,2094654,185811,3,0,inf,8650921.02,767399.4299999999,6556267.02,581588.4299999999,inf,,4.13,-5.603340100226273e-07,7.64,7.032674473052685,0.08686512169333307,0.24213088627949736,0.24213075116510716,-1.3511439020397198e-07,0.1308289429618751,0.14219341501326854,0.011364472051393432,0.03815692548557114,0.024177394702673074,8.735443389413327,13.785090134349629,9.0,0.34,-0.03515199536983351,0.34340414829834287,-0.03515199536983351,0.07,0.06196731942764397,0.9999999456808956,https://edit.nylottery.ny.gov/sites/default/files/2023-05/wildCashMultiplier_1577.jpg,,,,12/23/2025,903,54.666666666666664,55.666666666666664,22.0,24.333333333333332,,39.166666666666664,15.0,7.0,/new-york-statistics-for-each-scratcher-game
20,20,1579,5000000,3.9,4538562.50,,,,2023-07-28,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1579,"$5,000,000 CASH ROYALE        ",4655664,1569966,4,2,3061433.6999999997,18157089.599999998,6122867.399999999,13501425.599999998,4552901.399999999,3061433.6999999997,0.0,3.9,-6.532886858259883e-08,6.43,6.392256314245258,0.0058954789922806665,0.2564102731612495,0.25641026488331914,-8.277930341193951e-09,0.15552240478194285,0.15643928385216374,0.000916879070220894,0.03683919085464144,0.0272096627314134,9.048282670698482,12.250392383218278,8.0,0.68,0.006239068517067197,0.6751796176529721,0.006239068517067197,0.35,0.35251842094559865,0.9999999835743273,https://edit.nylottery.ny.gov/sites/default/files/2023-06/5milCashRoyale_1579.jpg,,,,12/23/2025,879,59.333333333333336,51.666666666666664,106.0,73.66666666666667,71.25,72.38333333333334,98.0,9.0,/new-york-statistics-for-each-scratcher-game
21,1,1574,5555,51895000.2,546263.16,,,,2023-06-13,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1574,INSTANT TAKE 5                ,29342526,1478964,95,24,3197951544824.6997,1522730392638505.2,76750837075792.8,1522730363295979.2,76750835596828.8,3197951544824.6997,0.0,51895000.2,-1.0480631688588748e-14,434059512.59,301190812.87230355,0.441144596846262,1.926967908557808e-08,1.9269679085577886e-08,-1.9521462456251453e-22,2.3038315507280786e-09,3.3201543913757158e-09,1.0163228406476372e-09,4.166979090848155e-09,4.4407056754430203e-10,1452116.6342635658,176779.35732328365,537703505.0,0.0,-0.1654918714127252,1.155376323940698e-08,-0.1654918714127252,0.07,0.08011476418440627,0.9999999999999996,https://edit.nylottery.ny.gov/sites/default/files/2023-06/instantTake5_1574_1_cropped.jpg,,,,12/23/2025,924,74.33333333333333,74.33333333333333,1.0,48.0,42.583333333333336,48.05,31.0,6.0,/new-york-statistics-for-each-scratcher-game
22,10,1582,3000000,3.92,5949033.33,Top Prize Claimed,,,2023-09-05,,2026-08-07,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1582,MULTIPLIER CRAZE              ,4551715,535577,3,0,inf,17842722.8,2099461.84,13291007.8,1563884.8399999999,inf,,3.92,-4.001025329641521e-07,7.93,7.687567859149396,0.03210548327845695,0.25510214288334004,0.2551020522541348,-9.062920525160223e-08,0.1260337772409204,0.13008015256864955,0.00404637532772914,0.039377074240395944,0.018781035788214148,8.465028732689737,17.74720947580589,9.0,0.38,-0.03055289175628443,0.37645328967768393,-0.03055289175628443,0.1,0.09401063718872413,0.9999999526230241,https://edit.nylottery.ny.gov/sites/default/files/2023-06/multiplierCraze_1582_0.jpg,,,,12/23/2025,840,51.666666666666664,64.66666666666667,41.0,36.333333333333336,,48.41666666666667,32.0,7.0,/new-york-statistics-for-each-scratcher-game
23,30,1585,10000000,3.65,6048683.33,,,,2023-10-03,,,12/23/2025,https://nylottery.ny.gov/scratch-off-game?game=1585,JACKPOT FORTUNE               ,4965724,1339030,3,1,4887459.5,18124892.599999998,4887459.5,13159168.599999998,3548429.5,4887459.5,0.0,3.65,-1.0230263795913537e-07,3.65,3.649999879171698,-6.9198995857979e-08,0.2739726307678489,0.27397261180921795,-1.8958630942922383e-08,0.2739726307678489,0.27397261180921795,-1.8958630942922383e-08,0.04920571700337803,0.04920571700337803,6.774246312757321,6.774246312757321,4.0,0.63,0.0021436194240009813,0.6333459779406846,0.0021436194240009813,0.27,0.27266816842264474,0.9999999744506899,https://edit.nylottery.ny.gov/sites/default/files/2023-07/jackpotFortune_1585_0.jpg,,,,12/23/2025,812,41.666666666666664,40.333333333333336,105.0,65.33333333333333,64.08333333333333,63.283333333333324,77.0,6.0,/new-york-statistics-for-each-scratcher-game
