price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
1.0,Loose Change Multiplier,1654,https://www.sceducationlottery.com/Games/InstantGame?gameId=1654,https://www.sceducationlottery.com/images/games/instantgames/1654.jpg,5000,4.83,5,1,Available,01/06/2026,07/01/2026,09/29/2026,,,2026-04-02
3.0,LOTERIA™,1624,https://www.sceducationlottery.com/Games/InstantGame?gameId=1624,https://www.sceducationlottery.com/images/games/instantgames/1624.jpg,75000,4.05,4,1,Available,06/09/2025,02/04/2026,05/05/2026,,,2026-04-02
3.0,LOTERIA™,1657,https://www.sceducationlottery.com/Games/InstantGame?gameId=1657,https://www.sceducationlottery.com/images/games/instantgames/1657.jpg,75000,4.05,4,2,Available,11/17/2025,--,--,,,2026-04-02
5.0,Lucky Match Doubler,1656,https://www.sceducationlottery.com/Games/InstantGame?gameId=1656,https://www.sceducationlottery.com/images/games/instantgames/1656.jpg,200000,4.02,4,2,Available,01/06/2026,--,--,,,2026-04-02
2.0,MAGIC 8 BALL™,1607,https://www.sceducationlottery.com/Games/InstantGame?gameId=1607,https://www.sceducationlottery.com/images/games/instantgames/1607.jpg,30000,4.38,4,1,Available,04/01/2025,01/14/2026,04/14/2026,,,2026-04-02
20.0,Magnificent Jumbo Bucks,1628,https://www.sceducationlottery.com/Games/InstantGame?gameId=1628,https://www.sceducationlottery.com/images/games/instantgames/1628.jpg,2500000,3.09,7,3,Available,07/01/2025,--,--,,,2026-04-02
10.0,Mighty Jumbo Bucks,1554,https://www.sceducationlottery.com/Games/InstantGame?gameId=1554,https://www.sceducationlottery.com/images/games/instantgames/1554.jpg,375000,3.4,8,0,Claimed,08/29/2024,10/28/2025,04/07/2026,,,2026-04-02
10.0,Mighty Jumbo Bucks,1658,https://www.sceducationlottery.com/Games/InstantGame?gameId=1658,https://www.sceducationlottery.com/images/games/instantgames/1658.jpg,750000,3.43,8,4,Available,10/27/2025,--,--,,,2026-04-02
10.0,Million Dollar Mania,1633,https://www.sceducationlottery.com/Games/InstantGame?gameId=1633,https://www.sceducationlottery.com/images/games/instantgames/1633.jpg,1000000,3.3,4,0,Claimed,08/05/2025,03/11/2026,06/09/2026,,,2026-04-02
10.0,Millionaire Bonus,1653,https://www.sceducationlottery.com/Games/InstantGame?gameId=1653,https://www.sceducationlottery.com/images/games/instantgames/1653.jpg,1000000,3.37,4,2,Available,01/06/2026,--,--,,,2026-04-02
1.0,My Money Maker,1635,https://www.sceducationlottery.com/Games/InstantGame?gameId=1635,https://www.sceducationlottery.com/images/games/instantgames/1635.png,5000,4.84,4,0,Claimed,10/07/2025,--,--,,,2026-04-02
2.0,My Money Maker,1636,https://www.sceducationlottery.com/Games/InstantGame?gameId=1636,https://www.sceducationlottery.com/images/games/instantgames/1636.png,30000,4.39,4,0,Claimed,10/07/2025,--,--,,,2026-04-02
5.0,My Money Maker,1637,https://www.sceducationlottery.com/Games/InstantGame?gameId=1637,https://www.sceducationlottery.com/images/games/instantgames/1637.png,200000,3.98,4,0,Claimed,10/07/2025,--,--,,,2026-04-02
10.0,My Money Maker,1638,https://www.sceducationlottery.com/Games/InstantGame?gameId=1638,https://www.sceducationlottery.com/images/games/instantgames/1638.png,500000,3.54,5,3,Available,10/07/2025,--,--,,,2026-04-02
5.0,Neon Jackpot,1634,https://www.sceducationlottery.com/Games/InstantGame?gameId=1634,https://www.sceducationlottery.com/images/games/instantgames/1634.jpg,200000,3.86,4,1,Available,09/02/2025,06/03/2026,09/01/2026,,,2026-04-02
1.0,"Oh, Snap!",1642,https://www.sceducationlottery.com/Games/InstantGame?gameId=1642,https://www.sceducationlottery.com/images/games/instantgames/1642.jpg,5000,4.84,4,0,Claimed,11/04/2025,01/08/2026,06/09/2026,,,2026-04-02
2.0,Plug In,1617,https://www.sceducationlottery.com/Games/InstantGame?gameId=1617,https://www.sceducationlottery.com/images/games/instantgames/1617.jpg,30000,4.38,4,1,Available,08/05/2025,01/14/2026,04/14/2026,,,2026-04-02
10.0,Ruby Red Treasures,1650,https://www.sceducationlottery.com/Games/InstantGame?gameId=1650,https://www.sceducationlottery.com/images/games/instantgames/1650.jpg,500000,3.49,5,2,Available,12/02/2025,--,--,,,2026-04-02
5.0,Sapphire Surprise,1649,https://www.sceducationlottery.com/Games/InstantGame?gameId=1649,https://www.sceducationlottery.com/images/games/instantgames/1649.jpg,200000,3.97,4,2,Available,12/02/2025,--,--,,,2026-04-02
3.0,Super Slingo®,1627,https://www.sceducationlottery.com/Games/InstantGame?gameId=1627,https://www.sceducationlottery.com/images/games/instantgames/1627.jpg,75000,4.07,6,0,Claimed,07/01/2025,10/29/2025,04/28/2026,,,2026-04-02
2.0,Triple 333,1655,https://www.sceducationlottery.com/Games/InstantGame?gameId=1655,https://www.sceducationlottery.com/images/games/instantgames/1655.jpg,30000,4.42,5,3,Available,01/06/2026,--,--,,,2026-04-02
