,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,5,WEEKLY TWO GRAND,1948,1040000,"2,754,000",4.02,1,,,,2/5/2019,4/15/2022,10/12/2022,2022-06-17
0,5,Fatter Wallet,2121,150000,"1,387,200",4.15,2,,,,3/1/2022,,,2022-06-17
0,5,Double Your Money,2127,50000,"1,387,200",4.76,3,,eXTRA Chances,,5/3/2022,,,2022-06-17
0,5,MONOPOLY FORTUNES,2136,200000,"2,040,000",4.12,1,,eXTRA Chances,,2/1/2022,,,2022-06-17
0,5,Double Diamond,2118,100000,"1,632,000",3.99,2,,eXTRA Chances,,10/5/2021,,,2022-06-17
0,5,Winter Winnings,2120,500,"4,896",3.80,71,,,2nd Chance,11/2/2021,4/15/2022,10/12/2022,2022-06-17
0,5,Super 777s,2125,177777,"1,632,000",4.24,2,,eXTRA Chances,,1/4/2022,,,2022-06-17
0,5,10 Years of Cash,2156,600000,"2,856,000",4.25,2,,eXTRA Chances,,4/5/2022,,,2022-06-17
0,5,LUCKY BREAK,2070,170000,"1,530,000",4.13,0,Top Prize Claimed,,,3/2/2021,,,2022-06-17
0,5,10X The Money,2064,100000,"1,958,400",4.48,1,,eXTRA Chances,,1/5/2021,1/7/2022,7/6/2022,2022-06-17
0,5,WINNING HAND,1821,200000,"1,040,400",4.27,1,,,,5/5/2020,1/7/2022,7/6/2022,2022-06-17
0,5,Crossword 5X Series,2107,100000,"1,224,000",3.83,1,,,,6/3/2021,,,2022-06-17
0,5,Cash Bonus,2060,250000,"1,530,000",4.26,2,,,,4/6/2021,,,2022-06-17
0,5,WHEEL OF FORTUNE,2069,200000,"1,530,000",4.08,2,,,,2/2/2021,,,2022-06-17
0,5,"$250,000 Gold Jackpot",2105,250000,"1,632,000",4.24,1,,,2nd Chance,9/7/2021,,,2022-06-17
0,5,HIGH ROLLER BLACKJACK,2101,100000,"2,040,000",4.16,1,,,,7/6/2021,,,2022-06-17
0,5,10X The Money,2113,100000,"2,366,400",4.48,1,,eXTRA Chances,,12/7/2021,,,2022-06-17
0,3,Cold Cash Multiplier,2132,50000,"734,400",4.03,0,Top Prize Claimed,eXTRA Chances,,12/7/2021,,,2022-06-17
0,3,7X Bingo Multiplier,2102,70000,"1,632,000",3.81,2,,eXTRA Chances,,8/3/2021,,,2022-06-17
0,3,Jewel Crossword Series,2117,50000,"1,285,200",4.38,2,,,,10/5/2021,,,2022-06-17
0,3,Wild Bingo 7X,2139,70000,"1,632,000",3.81,2,,eXTRA Chances,,2/1/2022,,,2022-06-17
0,3,Cherries Jubilee Crossword 3X,2158,50000,"1,305,600",4.52,3,,eXTRA Chances,,6/7/2022,,,2022-06-17
0,3,Wild Cherry Crossword 3X,2087,50000,"1,224,000",4.52,1,,eXTRA Chances,,6/1/2021,1/7/2022,7/6/2022,2022-06-17
0,2,TRIPLE PLAY,2170,30000,"1,101,600",4.60,2,,,,6/7/2022,,,2022-06-17
0,2,Ghostbusters,2131,10000,"734,400",4.56,2,,,,10/5/2021,,,2022-06-17
0,2,5X The Money,2112,20000,"2,284,800",4.53,3,,eXTRA Chances,,1/10/2022,,,2022-06-17
0,2,Win It All,2134,10000,"856,800",4.79,1,,eXTRA Chances,,3/1/2022,,,2022-06-17
0,2,Lucky 777s,2124,17777,"1,020,000",4.38,1,,eXTRA Chances,,1/4/2022,4/15/2022,10/12/2022,2022-06-17
0,2,Some Like It Hot,2130,600,"3,147",4.69,104,,,,8/3/2021,,,2022-06-17
0,2,DOUBLE MATCH,2073,20000,"1,142,400",4.85,2,,eXTRA Chances,,3/2/2021,,,2022-06-17
0,2,5X The Money,2063,20000,"2,203,200",4.53,2,,eXTRA Chances,,1/5/2021,,,2022-06-17
0,2,GO FOR THE GREEN,1799,30000,"1,101,600",4.67,1,,,,10/7/2020,4/15/2022,10/12/2022,2022-06-17
0,2,Money Match,2157,25000,"874,285",6.82,6,,,,5/3/2022,,,2022-06-17
0,2,Holiday Cheer,2115,20000,"1,305,600",4.51,1,,,2nd Chance,11/2/2021,1/7/2022,7/6/2022,2022-06-17
0,2,LUCKY NO. 13,2135,13000,"1,713,600",4.39,1,,eXTRA Chances,,7/6/2021,,,2022-06-17
0,2,"$40,000 Silver Jackpot",2104,40000,"979,200",4.47,1,,,2nd Chance,9/7/2021,4/15/2022,10/12/2022,2022-06-17
0,1,"$5,000 Bronze Jackpot",2103,5000,"594,514",4.69,3,,,2nd Chance,9/7/2021,1/7/2022,7/6/2022,2022-06-17
0,1,Holly Dough!,2114,1000,"2,040,000",4.64,1,,,2nd Chance,11/2/2021,1/7/2022,7/6/2022,2022-06-17
0,1,Pocket Change,2078,500,"12,240",4.80,157,,eXTRA Chances,,4/6/2021,,,2022-06-17
0,1,Baseball Loot,2155,3000,"1,224,000",4.92,1,,eXTRA Chances,,4/5/2022,,,2022-06-17
0,1,Hot 777s,2123,1777,"1,387,200",4.62,1,,eXTRA Chances,,1/4/2022,4/15/2022,10/12/2022,2022-06-17
0,1,2022,2116,2022,"1,101,600",4.51,0,Top Prize Claimed,eXTRA Chances,,12/7/2021,,,2022-06-17
0,1,Fire and Dice,2085,2000,"306,000",4.81,1,,eXTRA Chances,,2/1/2022,4/15/2022,10/12/2022,2022-06-17
0,1,Blackjack,2108,1000,"122,400",4.69,43,,,,6/3/2021,,,2022-06-17
0,1,2X The Money,2111,4000,"1,305,600",4.72,5,,eXTRA Chances,,6/11/2021,,,2022-06-17
0,0,PROMOTIONAL GAME,2034,50,102,2.00,1504,,,,12/15/2020,,,2022-06-17
