,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,718,Extreme Cash,1000000,9.0,0.0,0.0,0.0,0.49690088970120105,0.0,2024-11-25
1,718,Extreme Cash,100000,30.0,1.0,1.6328663335619346e-06,0.03333333333333333,0.1655963614019603,0.1632458116978544,2024-11-25
2,718,Extreme Cash,50000,30.0,1.0,1.6328663335619346e-06,0.03333333333333333,0.08277747597962457,0.08160249501975768,2024-11-25
3,718,Extreme Cash,10000,270.0,10.0,1.6328663335619347e-05,0.037037037037037035,0.14870130877580381,0.162878416772803,2024-11-25
4,718,Extreme Cash,5000,469.0,10.0,1.6328663335619347e-05,0.021321961620469083,0.12882615658920027,0.08123510009470625,2024-11-25
5,718,Extreme Cash,1000,7548.0,273.0,0.00044577250906240815,0.03616852146263911,0.40632601565906357,0.4346281963358479,2024-11-25
6,718,Extreme Cash,500,67786.0,1914.0,0.003125306162437543,0.028235918921311186,1.7777543062921757,1.484520427157833,2024-11-25
7,718,Extreme Cash,400,30130.0,851.0,0.0013895692498612064,0.028244274809160305,0.6238332544437439,0.5210884686979524,2024-11-25
8,718,Extreme Cash,250,62014.0,1725.0,0.002816694425394337,0.027816299545263972,0.7703895540871093,0.6337562457137259,2024-11-25
9,718,Extreme Cash,200,196158.0,6459.0,0.010546683648476536,0.03292753800507754,1.8953184747786957,1.8456696384833937,2024-11-25
10,718,Extreme Cash,100,482200.0,14168.0,0.02313445021390549,0.029381999170468687,1.9967633275325145,1.735083766042912,2024-11-25
11,718,Extreme Cash,75,440239.0,13754.0,0.02245844355181085,0.031242120757134194,1.215336776648122,1.1229221775905425,2024-11-25
12,718,Extreme Cash,50,1206084.0,41775.0,0.06821299108454981,0.03463689096281851,1.6647755434285396,1.7053247771137454,2024-11-25
13,718,Extreme Cash,40,1809126.0,64527.0,0.10536396590575095,0.03566749911283128,1.4982979890856856,1.5804594885862642,2024-11-25
14,718,Extreme Cash,0,13809718.530000001,466952.28,0.7624706573919859,0.033813309010288714,-19.061758277512947,-19.061766434799647,2024-11-25
15,718,Extreme Cash,Total,18111811.53,612420.28,1.0000004572025734,0.033813309010288714,,,2024-11-25
0,774,Millionaire Maker,1000000,60.0,7.0,3.129298594542593e-06,0.11666666666666667,2.7763799056807685,3.1292047155847564,2024-11-25
1,774,Millionaire Maker,100000,20.0,3.0,1.3411279690896827e-06,0.15,0.09252100868722943,0.13407256306989557,2024-11-25
2,774,Millionaire Maker,20000,40.0,3.0,1.3411279690896827e-06,0.075,0.03696398006369854,0.026782325542720965,2024-11-25
3,774,Millionaire Maker,5000,80.0,9.0,4.023383907269048e-06,0.1125,0.01839869613586197,0.019996218019127168,2024-11-25
4,774,Millionaire Maker,1000,3082.0,326.0,0.00014573590597441216,0.10577547047371837,0.13833912989437824,0.1413638287951798,2024-11-25
5,774,Millionaire Maker,500,17930.0,1730.0,0.0007733837955083837,0.09648633575013943,0.38995888381922134,0.36349038388894034,2024-11-25
6,774,Millionaire Maker,300,71942.0,6855.0,0.0030644774093699246,0.09528509076756275,0.8988494197677794,0.8274089005298796,2024-11-25
7,774,Millionaire Maker,200,648102.0,62991.0,0.028159663966976063,0.09719303442976568,5.098388832287601,4.787142874385931,2024-11-25
8,774,Millionaire Maker,100,539528.0,52957.0,0.02367403795302744,0.09815431265847185,1.7476429099981228,1.6571826567119208,2024-11-25
9,774,Millionaire Maker,60,719605.0,72306.0,0.03232386631099953,0.10048012451275352,0.9989784003657158,0.9697159893299859,2024-11-25
10,774,Millionaire Maker,50,1439000.0,145344.0,0.06497496784645694,0.1010034746351633,1.3317768480636505,1.2994993569291389,2024-11-25
11,774,Millionaire Maker,40,1727357.0,178721.0,0.07989591058789239,0.1034650046284584,0.7993238571718844,0.7989591058789238,2024-11-25
12,774,Millionaire Maker,30,2158755.0,237027.0,0.10596117970980673,0.10979800857438662,0.0,0.0,2024-11-25
13,774,Millionaire Maker,0,14284726.950000003,1478644.0500000003,0.6610169639276812,0.10351223759303288,-19.830509346338662,-19.830508917830436,2024-11-25
14,774,Millionaire Maker,Total,21610227.950000003,2236923.0500000003,1.000000022352133,0.10351223759303288,,,2024-11-25
0,805,Spectacular Riches,1000000,8.0,0.0,0.0,0.0,0.6708240348508507,0.0,2024-11-25
1,805,Spectacular Riches,100000,20.0,3.0,5.401249849215108e-06,0.15,0.16766827391738243,0.5399899536752805,2024-11-25
2,805,Spectacular Riches,50000,20.0,1.0,1.8004166164050362e-06,0.05,0.08381317318350774,0.08997582040484169,2024-11-25
3,805,Spectacular Riches,10000,100.0,3.0,5.401249849215108e-06,0.03,0.08364546298204,0.053877467245920706,2024-11-25
4,805,Spectacular Riches,5000,284.0,10.0,1.8004166164050363e-05,0.035211267605633804,0.11847887182689154,0.08957072666615055,2024-11-25
5,805,Spectacular Riches,1000,1995.0,85.0,0.00015303541239442808,0.042606516290726815,0.163108652814978,0.1492095270845674,2024-11-25
6,805,Spectacular Riches,500,49664.0,1981.0,0.0035666253170983766,0.03988804768041237,1.9781753683523975,1.6941470256217288,2024-11-25
7,805,Spectacular Riches,400,29738.0,1248.0,0.002246919937273485,0.04196650749882305,0.935131119608987,0.8425949764775569,2024-11-25
8,805,Spectacular Riches,250,39766.0,1645.0,0.0029616853339862843,0.04136699693205251,0.7502809355512337,0.666379200146914,2024-11-25
9,805,Spectacular Riches,200,131398.0,5331.0,0.009598020982055248,0.04057139378072726,1.9282186920901916,1.6796536718596684,2024-11-25
10,805,Spectacular Riches,100,318253.0,13442.0,0.024201200157716495,0.042236836730525716,2.0015353030393364,1.8150900118287372,2024-11-25
11,805,Spectacular Riches,75,238713.0,10833.0,0.019503913205515755,0.04538085483404758,1.0008651330742713,0.9751956602757877,2024-11-25
12,805,Spectacular Riches,50,795766.0,38304.0,0.0689631580747785,0.04813475318121156,1.668225952264813,1.7240789518694626,2024-11-25
13,805,Spectacular Riches,40,1193649.0,57496.0,0.10351675377682396,0.04816826386986459,1.5014033570383318,1.5527513066523593,2024-11-25
14,805,Spectacular Riches,0,9125959.24,425045.31999999995,0.7652586568531957,0.046575412931605414,-19.131455784085862,-19.131466421329893,2024-11-25
15,805,Spectacular Riches,Total,11925333.24,555427.32,1.000000576133317,0.04657541293160542,,,2024-11-25
0,826,200X The Cash,5000000,6.0,1.0,1.5767523631576042e-06,0.16666666666666666,1.7131330135846554,7.883714513217126,2024-11-25
1,826,200X The Cash,100000,18.0,1.0,1.5767523631576042e-06,0.05555555555555555,0.1027577609674006,0.1576279337448657,2024-11-25
2,826,200X The Cash,50000,24.0,0.0,0.0,0.0,0.06848461625875774,0.0,2024-11-25
3,826,200X The Cash,10000,30.0,3.0,4.730257089472813e-06,0.1,0.017080038625670767,0.04716066318204394,2024-11-25
4,826,200X The Cash,5000,156.0,2.0,3.1535047263152084e-06,0.01282051282051282,0.04427447524993333,0.015672918489786587,2024-11-25
5,826,200X The Cash,1000,2916.0,110.0,0.00017344275994733647,0.03772290809327846,0.16152200218482873,0.16823947714891638,2024-11-25
6,826,200X The Cash,500,43814.0,1127.0,0.00177699991327862,0.025722371844615875,1.1759346767041636,0.8351899592409514,2024-11-25
7,826,200X The Cash,400,69017.0,1792.0,0.002825540234778427,0.02596461741310112,1.4582441309138419,1.045449886868018,2024-11-25
8,826,200X The Cash,200,321044.0,8722.0,0.013752434111460625,0.027167615653929056,3.116634792683964,2.337913798948306,2024-11-25
