,price,gameNumber,topprize,overallodds,topprizeodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,topprizeodds_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
0,5,1639,25000,3.84,90820.0,,,,"10/01/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/boo-koo-bucks,Boo Koo Bucks,47363,46405,2,2,90820.0,181873.91999999998,178195.19999999998,134510.91999999998,131790.19999999998,90820.0,0.0,3.84,-1.1564823173178715e-16,6.25,6.240098812873121,0.0008576641626558839,0.2604166666666667,0.2604166666666667,0.0,0.16011654634917216,0.16025387257282409,0.00013732622365192348,0.03609889640503007,0.02702391027180722,9.232055587009743,12.329425605151647,8.0,0.44,0.0005004483627503136,0.4440635886937471,0.0005004483627503136,0.99,0.987651528581007,1.0000000000000002,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-09/DC1639%20Boo%20Koo%20Bucks%20CVV3.jpg.webp?itok=zsgYx6HP,,,,2025-10-04,3,71.5,63.333333333333336,64.0,116.5,44.75,72.01666666666668,106.0,37.0,/dc-statistics-for-each-scratcher-game
1,10,1638,100000,3.87,122160.0,,,,"10/01/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/triple-red-777s,Triple Red 777's,63142,62327,2,2,122160.0,244359.54,241205.49000000002,181217.54,178878.49000000002,122160.0,0.0,3.87,0.0,6.31,6.312568845259623,0.00034960766764312583,0.25839793281653745,0.25839793281653745,0.0,0.15835875045796013,0.1584141138913586,5.536343339845873e-05,0.04047203778484807,0.03283404395280592,8.235050899213505,10.149367024191626,8.0,0.48,0.0002619464842337714,0.477812507501384,0.0002619464842337714,0.99,0.9936844887085903,0.9999999999999988,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-09/DC1638%20Triple%20Red%20777CVV4.jpg.webp?itok=cMXDocnq,,,,2025-10-04,3,56.666666666666664,53.0,94.0,80.33333333333333,63.5,69.5,98.0,18.0,/dc-statistics-for-each-scratcher-game
2,2,1637,7777,4.46,120950.0,,,,"10/01/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/triple-dynamite-777,Triple Dynamite 777,54279,53593,2,2,120950.0,242084.34,239024.78,187805.34,185431.78,120950.0,0.0,4.46,0.0,7.73,7.733088643986584,7.618736276513031e-05,0.2242152466367713,0.2242152466367713,0.0,0.1293045850727276,0.12931443644805773,9.85137533013325e-06,0.026581524330120797,0.013296283971081511,12.537104792839216,25.04934279464825,9.0,0.42,0.0002915481270179043,0.4176826352481111,0.0002915481270179043,0.99,0.9914340150162673,0.9999999999999998,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-09/DC1637%20Triple%20Dynamite%20777.jpg.webp?itok=_sP-no8a,,,,2025-10-04,3,80.33333333333333,80.0,48.0,80.5,47.666666666666664,67.3,94.0,16.0,/dc-statistics-for-each-scratcher-game
3,10,1636,500,8.61,24477.0,,,,"09/03/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/ultimate-blowout,Ultimate Blowout,28414,25546,454,416,24477.0,244644.53999999998,219951.06,216230.53999999998,194405.06,24477.0,0.0,8.61,0.0,8.61,8.61,0.0,0.11614401858304298,0.11614401858304298,0.0,0.11614401858304298,0.11614401858304298,0.0,0.0535205203770457,0.0535205203770457,6.226622682078443,6.226622682078443,16.0,0.62,0.00018348918047929007,0.6204061939960643,0.00018348918047929007,0.9,0.9030247591236189,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-08/DC1636%20Ultimate%20Blowout%20FRONT.jpg.webp?itok=HcuDV2KF,,,,2025-10-04,31,44.0,44.0,117.0,96.0,69.58333333333333,74.11666666666666,110.0,21.0,/dc-statistics-for-each-scratcher-game
4,5,1635,50000,3.42,122120.0,,,,"09/03/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/winning-streak,Winning Streak,71493,64985,2,2,122120.0,244506.06,222248.69999999998,173013.06,157263.69999999998,122120.0,0.0,3.42,0.0,7.34,7.3319557394746315,0.0017626224810905185,0.2923976608187135,0.29239766081871343,-5.551115123125783e-17,0.13614927781354852,0.13638925759140694,0.00023997977785841784,0.050352958161792645,0.027607131641553078,6.619261166306739,12.06935879929526,9.0,0.42,0.003392880533406378,0.4177977194017332,0.003392880533406378,0.92,0.9206829251243598,1.0000000000000002,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-08/DC1635%20Winning%20Streak%201635%20comp.jpg.webp?itok=MYCYK3bE,,,,2025-10-04,31,46.333333333333336,61.333333333333336,49.0,115.16666666666667,41.5,62.66666666666667,65.0,19.0,/dc-statistics-for-each-scratcher-game
5,3,1634,30000,3.98,120600.0,,,,"09/03/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/twisted-treasure-0,Twisted Treasure,60530,56687,2,2,120600.0,240909.4,225614.26,180379.4,168927.26,120600.0,0.0,3.98,0.0,6.2,6.205486579774354,-0.00024134917270352037,0.25125628140703515,0.2512562814070352,5.551115123125783e-17,0.16118662003013462,0.16114771777273945,-3.890225739516806e-05,0.03894250050442933,0.0334706985159933,8.558336108891426,9.956233020849938,8.0,0.41,0.004809470818802719,0.4056067496206431,0.004809470818802719,0.95,0.9462818085954964,0.9999999999999998,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-08/DC1634%20Twisted%20Treasure%20FRONT%20CROPPED.jpg.webp?itok=C4RUCCg5,,,,2025-10-04,31,61.833333333333336,51.333333333333336,40.0,79.16666666666667,52.666666666666664,57.000000000000014,39.0,2.0,/dc-statistics-for-each-scratcher-game
6,5,1633,50000,4.48,120940.0,,,,"09/03/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/money-rush,Money Rush,53961,47356,2,2,120940.0,241745.28000000003,212154.88000000003,187784.28000000003,164798.88000000003,120940.0,0.0,4.48,0.0,4.48,4.48,0.0,0.22321428571428567,0.2232142857142857,2.7755575615628914e-17,0.22321428571428567,0.2232142857142857,2.7755575615628914e-17,0.054414500069046044,0.054414500069046044,6.125025858389411,6.125025858389411,6.0,0.49,0.003647131627539487,0.48881741489990704,0.003647131627539487,0.87,0.8681295223956763,0.9999999999999999,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-08/DC1633%20Money%20Rush.jpg.webp?itok=ME4YGEKH,,,,2025-10-04,31,42.666666666666664,42.666666666666664,99.0,77.83333333333333,72.41666666666667,66.91666666666666,91.0,31.0,/dc-statistics-for-each-scratcher-game
7,5,1631,75000,3.99,182820.0,,,,"08/06/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/washington-commanders,Washington Commanders,91664,74906,2,2,182820.0,365739.36000000004,298874.94,274075.36000000004,223968.94,182820.0,0.0,3.99,0.0,6.65,6.637737931034484,0.001459609480055478,0.2506265664160401,0.2506265664160401,0.0,0.15043415818000666,0.15065373330341036,0.00021957512340370355,0.034928459498126355,0.02425987318182874,9.542100498189116,13.73591259432371,8.0,0.47,0.0074389943141632804,0.4655191231489666,0.0074389943141632804,0.82,0.8158038692058531,1.0000000000000002,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-07/DC1631CVv12_S1.jpg.webp?itok=vkzml3MB,,,,2025-10-04,59,73.16666666666667,68.0,83.0,111.16666666666667,61.5,79.36666666666667,119.0,43.0,/dc-statistics-for-each-scratcher-game
8,10,1632,100000,3.48,121515.0,,,,"08/06/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/money-bag-bonus,Money Bag Bonus,69933,58716,2,2,121515.0,243366.84,204331.68,173433.84,145615.68,121515.0,0.0,3.48,0.0,5.34,5.333483234714004,0.0008650715386531607,0.28735632183908044,0.28735632183908044,0.0,0.1873326740131535,0.1874947301777021,0.00016205616454859073,0.03183933328948118,0.021993775166250965,10.467364583634478,15.149805021860896,6.0,0.47,0.003255736024252114,0.46599969226504667,0.003255736024252114,0.84,0.8437785420506121,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-07/DC1632CVv4.jpg.webp?itok=sElBws6w,,,,2025-10-04,59,76.66666666666667,74.0,85.0,93.33333333333333,61.166666666666664,78.03333333333333,115.0,23.0,/dc-statistics-for-each-scratcher-game
9,1,1630,3333,4.77,122100.0,,,,"08/06/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/triple-tripler,Triple Tripler,51183,28181,2,2,122100.0,244142.90999999997,134423.37,192959.90999999997,106242.37,122100.0,0.0,4.77,0.0,9.27,9.133666666666665,0.01456983983950094,0.20964360587002098,0.20964360587002098,0.0,0.10791278332034081,0.10948505528995293,0.0015722719696121268,0.031194513363511003,0.017201160216529357,10.68158956033324,19.35268457814716,11.0,0.4,0.04268944679457402,0.40211013903311604,0.04268944679457402,0.58,0.5813380831264161,0.9999999999999999,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-07/DC1630%20Triple%20Tripler%20FRONT%20C.jpg.webp?itok=-RI5P8bN,,,,2025-10-04,59,77.0,77.66666666666667,36.0,65.16666666666667,52.166666666666664,61.60000000000001,59.0,16.0,/dc-statistics-for-each-scratcher-game
10,20,1629,250000,3.16,122400.0,,,,"07/02/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/fortune,Fortune,77480,68364,2,2,122400.0,244836.80000000002,216030.24000000002,167356.80000000002,147666.24000000002,122400.0,0.0,3.16,0.0,4.0,4.00321778940484,0.00024371528852543985,0.3164556962025316,0.3164556962025316,0.0,0.2497381848022758,0.2497990498160407,6.086501376489917e-05,0.06263565145444007,0.06513669392566035,5.321368571131999,5.116957868118083,5.0,0.47,0.0011086835813885266,0.4724755200938535,0.0011086835813885266,0.88,0.8788254204780636,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-06/DC%20Fortune%201629%20comp.jpg.webp?itok=_Ez4bifs,,,,2025-10-04,94,41.0,41.0,89.0,95.33333333333333,62.0,65.66666666666666,86.0,5.0,/dc-statistics-for-each-scratcher-game
11,5,1627,50000,3.78,119660.0,,,,"07/02/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/mega-bucks,Mega Bucks,63275,46598,2,2,119660.0,239179.5,176140.44,175904.5,129542.44,119660.0,0.0,3.78,1.1748391794975203e-16,7.18,7.169649280575539,0.0016925442139585018,0.26455026455026454,0.26455026455026454,0.0,0.13924116460706012,0.13947683643456066,0.00023567182750053317,0.03762119744350769,0.019839886824374223,8.858568765654674,16.789669596536765,8.0,0.48,0.015354456658024207,0.4751890025936122,0.015354456658024207,0.76,0.7670666774780941,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-06/DC1627CVV4.jpg.webp?itok=SW2j6ReX,,,,2025-10-04,94,66.16666666666667,75.66666666666667,91.0,89.66666666666667,73.58333333333333,79.21666666666667,118.0,42.0,/dc-statistics-for-each-scratcher-game
12,5,1628,50000,3.78,121880.0,,,,"07/02/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/blackjack-tripler,Blackjack Tripler,64500,49700,2,1,121880.0,243810.0,187866.0,179310.0,138166.0,121880.0,0.0,3.78,0.0,7.17,7.164560681751396,0.0012052650428739996,0.26455026455026454,0.26455026455026454,0.0,0.1394078758263869,0.13957589926582176,0.00016802343943486675,0.03874407583482709,0.020465150074270647,8.601976779270148,16.277728590623912,8.0,0.42,-0.01011605013137679,0.41567926074968325,-0.01011605013137679,0.78,0.7832360837519433,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-06/DC1628CVv5.jpg.webp?itok=xYSTqHk1,,,,2025-10-04,94,63.5,75.33333333333333,47.0,91.33333333333333,48.666666666666664,65.16666666666666,80.0,26.0,/dc-statistics-for-each-scratcher-game
13,10,1626,100000,3.46,121830.0,,,,"06/04/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/fire-ice,Fire & Ice,70519,54109,2,2,121830.0,243995.74,187217.13999999998,173476.74,133108.13999999998,121830.0,0.0,3.46,-1.2834948261562504e-16,4.5,4.495794147995283,8.956964880957228e-05,0.28901734104046245,0.28901734104046245,0.0,0.22241019171642085,0.22243011291918457,1.992120276372855e-05,0.03631755882104917,0.03586610671945713,9.176740169762585,9.291751472712305,5.0,0.46,0.004322232373695256,0.4636220807560675,0.004322232373695256,0.76,0.7557018559790656,1.0000000000000002,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-05/DC1626%20Fire%20and%20Ice%20.jpg.webp?itok=AOKn2OcC,,,,2025-10-04,122,70.83333333333333,48.333333333333336,80.0,107.16666666666667,48.916666666666664,71.05,104.0,20.0,/dc-statistics-for-each-scratcher-game
14,5,1625,50000,3.42,120960.0,,,,"06/04/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/dc-love,DC LOVE,70759,51854,2,2,120960.0,241995.78,177340.68,171236.78,125486.68,120960.0,0.0,3.42,0.0,7.03,7.018235550013051,0.0021637297768313545,0.29239766081871343,0.29239766081871343,0.0,0.14217832028161842,0.14248595574683162,0.00030763546521320184,0.05050120533823158,0.028920277544984305,6.59966245275196,11.520671874240895,9.0,0.44,0.01452376000873106,0.44287075024185096,0.01452376000873106,0.77,0.7724568406354932,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-05/DC1625%20DC%20Love.jpg.webp?itok=YUzdMoJE,,,,2025-10-04,122,45.5,59.333333333333336,63.0,90.66666666666667,55.666666666666664,62.833333333333336,66.0,20.0,/dc-statistics-for-each-scratcher-game
15,3,1624,20000,3.93,120000.0,,,,"06/04/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/high-voltage-bingo,High Voltage Bingo,61051,49065,2,1,120000.0,239930.43000000002,192825.45,178879.43000000002,143760.45,120000.0,0.0,3.93,0.0,6.09,6.081732528959976,0.001031713648235616,0.2544529262086514,0.2544529262086514,0.0,0.164257363330411,0.16442682989398216,0.00016946656357116896,0.030195892342158318,0.022853462164761373,11.036545980329082,14.578968332813393,7.0,0.39,-0.015500085004809603,0.3941837898818162,-0.015500085004809603,0.79,0.7909412876902858,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-05/DC1624%20High-Voltage%20BINGO%20FRONT%20C%20V4.jpg.webp?itok=eszBsoQ1,,,,2025-10-04,122,78.66666666666667,71.0,30.0,92.0,43.166666666666664,62.966666666666676,68.0,6.0,/dc-statistics-for-each-scratcher-game
16,5,1623,500,4.11,565.17,,,,"05/07/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/500-mayhem,$500 MAYHEM,59615,35525,433,259,565.17,245017.65000000002,146007.75,185402.65000000002,110482.75,565.17,0.0,4.11,0.0,7.01,6.9720186096804495,0.005616430921945018,0.24330900243309003,0.24330900243309,-2.7755575615628914e-17,0.1426294152193976,0.14343048347741477,0.0008010682580171791,0.04733501829409814,0.041426306849208026,7.0406072053827575,8.043309052471978,10.0,0.47,-0.00030162465549006995,0.46502326075156974,-0.00030162465549006995,0.59,0.5900955645263162,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-04/DC1623%20500%20Mayhem.png.webp?itok=nWpM85uM,,,,2025-10-04,150,49.333333333333336,45.0,82.0,83.33333333333333,57.25,63.38333333333334,70.0,22.0,/dc-statistics-for-each-scratcher-game
17,2,1622,100,4.66,332.87,,,,"05/07/2025
",,,2025-10-04,https://dclottery.com/dc-scratchers/100-mayhem,$100 MAYHEM,51737,29968,724,407,332.87,241094.42,139650.88,189357.42,109682.88,332.87,0.0,4.66,0.0,8.08,8.021774080851772,0.007347352220074121,0.2145922746781116,0.21459227467811157,-2.7755575615628914e-17,0.12375145792135359,0.12466070347044945,0.000909245549095869,0.034296390551246045,0.024324537084626202,9.716044652210567,13.69272633475751,10.0,0.42,-0.007134637596800596,0.4228007728988174,-0.007134637596800596,0.58,0.5776674131913785,1.0,https://dclottery.com/sites/default/files/styles/teaser_image/public/2025-04/DC1622%20100%20Mayhem.jpg.webp?itok=ktUZpf4Q,,,,2025-10-04,150,74.83333333333333,67.66666666666667,55.0,81.33333333333333,48.583333333333336,65.48333333333332,84.0,15.0,/dc-statistics-for-each-scratcher-game
