,gameName,gameNumber,price,gameURL,topprize,startDate,endDate,Total Prize Money at start,Total Prize Money Won,Total Prize Money remaining,Percent of Prize Money Won,gamePhoto
64,"$1,000,000 CASH EXTRAVAGANZA",401,10,https://www.molottery.com/scratchers/401,"1,000,000","Jan. 09, 2023","Mar. 28, 2024",34100800,27972490,6128310,0.8202883803312532,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_401.gif
65,"$2,000,000 ULTIMATE CASH!",404,20,https://www.molottery.com/scratchers/404,"2,000,000","Dec. 27, 2022",TBD,50812360,40606510,10205850,0.7991463100710142,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_404.gif
66,"$1,000,000 MONEY MULTIPLIER",405,10,https://www.molottery.com/scratchers/405,"1,000,000","Dec. 27, 2022",TBD,33982820,26896225,7086595,0.7914653639692056,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_405.gif
67,"$100,000 MONEY MULTIPLIER",406,5,https://www.molottery.com/scratchers/406,"100,000","Dec. 27, 2022",TBD,16031270,14181455,1849815,0.8846120737783095,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_406.gif
68,"$25,000 MONEY MULTIPLIER",407,2,https://www.molottery.com/scratchers/407,"25,000","Dec. 27, 2022",TBD,9274266,6306756,2967510,0.6800275083764041,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_407.gif
69,"$5,000 MONEY MULTIPLIER",408,1,https://www.molottery.com/scratchers/408,"5,000","Dec. 27, 2022","Jun. 19, 2024",6569773,4861505,1708268,0.7399806659986577,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_408.gif
70,FRUIT LOOT,409,3,https://www.molottery.com/scratchers/409,"50,000","Dec. 27, 2022",TBD,18006688,14091289,3915399,0.7825586248842652,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_409.gif
71,RED HOT CASH,402,5,https://www.molottery.com/scratchers/402,"100,000","Nov. 28, 2022",TBD,14611375,13122435,1488940,0.8980972016665099,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_402.gif
72,DOUBLE MATCH,403,2,https://www.molottery.com/scratchers/403,"20,000","Nov. 28, 2022",TBD,8029200,6388169,1641031,0.7956171225028645,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_403.gif
73,$100 & $200,389,20,https://www.molottery.com/scratchers/389,200,"Aug. 29, 2022",TBD,38772000,33371500,5400500,0.8607113380790261,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_389.gif
74,WIN ALL,391,2,https://www.molottery.com/scratchers/391,"25,000","Aug. 29, 2022","Jun. 19, 2024",8411660,6914001,1497659,0.8219544061457548,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_391.gif
75,$50 & $100 EXPLOSION,386,10,https://www.molottery.com/scratchers/386,100,"Jul. 25, 2022","Feb. 09, 2024",27493000,24394550,3098450,0.8873004037391335,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_386.gif
76,10X THE BUCKS,388,1,https://www.molottery.com/scratchers/388,"5,000","Jul. 25, 2022","Feb. 09, 2024",6722893,5603841,1119052,0.8335460641720759,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_388.gif
77,$50 IN A FLASH,382,1,https://www.molottery.com/scratchers/382,"2,500","May. 31, 2022","Feb. 09, 2024",6922545,5341173,1581372,0.771562048350715,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_382.gif
78,MILLIONAIRE BUCKS,377,30,https://www.molottery.com/scratchers/377,"3,000,000","Apr. 25, 2022",TBD,108627550,85522050,23105500,0.7872961325188683,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_377.gif
79,GOLD TRIPLER,376,1,https://www.molottery.com/scratchers/376,"6,000","Mar. 28, 2022","Jan. 19, 2024",6129742,4714536,1415206,0.7691247037803549,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_376.gif
80,BANKROLL MULTIPLIER,372,2,https://www.molottery.com/scratchers/372,"25,000","Feb. 28, 2022","Feb. 09, 2024",9706923,7767258,1939665,0.8001771519151847,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_372.gif
81,MEGA CASH BLAST,373,20,https://www.molottery.com/scratchers/373,"2,000,000","Feb. 28, 2022","Jun. 19, 2024",50760960,42754830,8006130,0.8422778056206974,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_373.gif
82,MILLIONAIRE BLOWOUT,367,50,https://www.molottery.com/scratchers/367,"5,000,000","Jan. 31, 2022",TBD,347609140,275841720,71767420,0.7935398936863398,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_367.gif
83,MONEY BAGS,369,1,https://www.molottery.com/scratchers/369,"3,000","Jan. 31, 2022","Jan. 19, 2024",7185905,4409502,2776403,0.6136321034024246,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_369.gif
84,24K GOLD,359,20,https://www.molottery.com/scratchers/359,"2,000,000","Dec. 28, 2021",TBD,50866950,35061070,15805880,0.6892701449565976,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_359.gif
85,"$100,000 JACKPOT",361,5,https://www.molottery.com/scratchers/361,"100,000","Dec. 28, 2021","Mar. 08, 2024",17212040,15397210,1814830,0.8945604356020553,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_361.gif
86,"$25,000 JACKPOT",362,2,https://www.molottery.com/scratchers/362,"25,000","Dec. 28, 2021","Jan. 19, 2024",9864528,5149689,4714839,0.522041095123862,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_362.gif
87,LUCKY CA$H,364,3,https://www.molottery.com/scratchers/364,"50,000","Dec. 28, 2021",TBD,18000296,15238375,2761921,0.846562467639421,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_364.gif
88,$100 FRENZY,358,2,https://www.molottery.com/scratchers/358,"30,000","Nov. 29, 2021","Feb. 09, 2024",10256994,8171264,2085730,0.7966528985002819,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_358.gif
89,ROSE GOLD,343,10,https://www.molottery.com/scratchers/343,"1,000,000","Aug. 30, 2021",TBD,34963275,24792655,10170620,0.7091056258316762,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_343.gif
90,BIG RICHES,375,30,https://www.molottery.com/scratchers/375,"3,000,000","Aug. 30, 2021",TBD,144284980,94818790,49466190,0.6571632750685483,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_375.gif
91,MONEY MATCH,344,5,https://www.molottery.com/scratchers/344,"100,000","Jul. 26, 2021","Jan. 19, 2024",15839825,14062495,1777330,0.8877935835781015,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_344.gif
92,$50 & $100 BLOWOUT,334,10,https://www.molottery.com/scratchers/334,100,"Jul. 26, 2021","Jun. 19, 2024",27202100,23768100,3434000,0.8737597464901606,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_334.gif
93,DOUBLE CASH,339,2,https://www.molottery.com/scratchers/339,"20,000","Jun. 28, 2021","Jan. 19, 2024",10695156,8777764,1917392,0.8207233255877707,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_339.gif
94,20X,333,2,https://www.molottery.com/scratchers/333,"25,000","Apr. 26, 2021","Jan. 19, 2024",12197984,9561473,2636511,0.7838568242096399,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_333.gif
95,GOLD MINE,320,3,https://www.molottery.com/scratchers/320,"50,000","Dec. 29, 2020","Jun. 19, 2024",18000227,16602156,1398071,0.9223303683892431,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_320.gif
96,RIDE TO RICHE$,302,5,https://www.molottery.com/scratchers/302,"100,000","Aug. 31, 2020","Jun. 19, 2024",10626535,8619735,2006800,0.8111519888656086,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_302.gif
97,20X LUCKY,228,5,https://www.molottery.com/scratchers/228,"100,000","Jan. 02, 2019",TBD,18682980,16737760,1945220,0.8958827767304788,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_228.gif
98,$100 MILLION CASH BONANZA     ,21,20,https://www.molottery.com/scratchers/21,"4,000,000","Aug. 04, 2014",TBD,112725440,85506160,27219280,0.75853471940318,https://www.scratcherstats.com/wp-content/uploads/gameimages/moscratchers_21.gif
