price,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported_x,gameName,dateexported_y,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Percent of Prizes Remaining,Overall Rank,Rank by Cost,Expected Value of Any Prize (as % of cost),Probability of Winning Any Prize,Rank by Most Available Prizes
5.0,662,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,Electric 50s,2026-01-02,501685.0,4475944,2734780,0.6109951330937117,32.0,0,0,0,32.0
10.0,663,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Electric 100s,2026-01-02,1001880.0,3469806,1601500,0.46155318193582007,67.0,0,0,0,67.0
30.0,664,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,2,Available,,,,,,2026-01-02,Electric 300s,2026-01-02,4007340.0,3508454,2172712,0.6192790328731687,29.0,0,0,0,29.0
5.0,699,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,"$500,000 Loteria",2026-01-02,505900.0,4668920,3388048,0.7256598956503859,9.0,0,0,0,9.0
10.0,703,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Smokin' Hot Million,2026-01-02,1012710.0,3248012,1889758,0.5818198947540835,43.0,0,0,0,43.0
20.0,696,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,"$2,000,000 Lucky",2026-01-02,2003010.0,3927742,2502938,0.6372460309256566,23.0,0,0,0,23.0
10.0,701,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,"$46,000,000 Payout",2026-01-02,1001910.0,3508128,2217184,0.6320134271041421,26.0,0,0,0,26.0
2.0,607,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,3,1,Available,,,,,,2026-01-02,Win It All,2026-01-02,50717.0,3169116,1637640,0.5167497813270325,59.0,0,0,0,59.0
5.0,708,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Detroit Tigers,2026-01-02,502700.0,4996244,1797360,0.3597422383694631,85.0,0,0,0,85.0
50.0,695,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,6000000.0,0,3,2,Available,,,,,,2026-01-02,"$6,000,000 WEALTH",2026-01-02,6013000.0,4996342,2925634,0.5855551921785979,40.0,0,0,0,40.0
5.0,693,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Triple Red 777s,2026-01-02,503555.0,4428070,1307638,0.2953065330945536,93.0,0,0,0,93.0
10.0,694,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,"$1,000,000 Instant Jackpot",2026-01-02,1012910.0,3756784,2400906,0.6390854518119754,22.0,0,0,0,22.0
1.0,688,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,5000.0,0,5,2,Available,,,,,,2026-01-02,5X,2026-01-02,5408.0,4737656,1184008,0.24991430361343248,95.0,0,0,0,95.0
2.0,689,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,5,3,Available,,,,,,2026-01-02,10X,2026-01-02,50891.0,4761076,2997344,0.6295518071965245,28.0,0,0,0,28.0
5.0,690,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,20X,2026-01-02,512705.0,4711896,2535970,0.5382058517420588,54.0,0,0,0,54.0
10.0,691,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,50X,2026-01-02,1012920.0,4227814,1558584,0.3686500872554942,83.0,0,0,0,83.0
1.0,680,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,5000.0,0,5,3,Available,,,,,,2026-01-02,Easy as...1-2-3,2026-01-02,5206.0,4958934,3060794,0.6172282188067032,31.0,0,0,0,31.0
2.0,618,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,30000.0,0,6,4,Available,,,,,,2026-01-02,10X Wild Time,2026-01-02,30721.0,6303106,4255074,0.6750757483691374,12.0,0,0,0,12.0
5.0,660,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Lucky 10s,2026-01-02,502685.0,4650366,3076804,0.6616262031848676,15.0,0,0,0,15.0
20.0,683,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,1,Available,,,,,,2026-01-02,100X,2026-01-02,2012910.0,3577346,716338,0.20024286160745983,99.0,0,0,0,99.0
5.0,669,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,3,1,Available,,,,,,2026-01-02,Safe Cracker Cashword,2026-01-02,301830.0,5715408,1062740,0.18594298079857116,100.0,0,0,0,100.0
10.0,677,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,3,Available,,,,,,2026-01-02,One Million Payday,2026-01-02,1001910.0,3754818,2100238,0.5593448204413636,49.0,0,0,0,49.0
5.0,676,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,2,1,Available,,,,,,2026-01-02,Cash Flurries,2026-01-02,500700.0,2251920,979310,0.4348777931720487,70.0,0,0,0,70.0
30.0,678,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,2,Available,,,,,,2026-01-02,"$150,000,000 Spectacular",2026-01-02,4013010.0,3646970,2413400,0.6617548266094868,14.0,0,0,0,14.0
1.0,671,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500.0,0,400,132,Available,,,,,,2026-01-02,Gift Tag Greetings,2026-01-02,588.0,4585414,1973588,0.4304056296770586,72.0,0,0,0,72.0
2.0,672,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,10000.0,0,3,3,Available,,,,,,2026-01-02,Season's Greetings,2026-01-02,12187.0,4079656,1906068,0.46721292187380503,65.0,0,0,0,65.0
5.0,673,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,2,1,Available,,,,,,2026-01-02,Make It Rein,2026-01-02,302685.0,3037368,1572384,0.5176797806521962,58.0,0,0,0,58.0
10.0,674,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,2,1,Available,,,,,,2026-01-02,The Most Wonderful Time Of The Year!,2026-01-02,502710.0,2500238,1278976,0.5115417012300429,60.0,0,0,0,60.0
10.0,668,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,VIP Cashword,2026-01-02,501525.0,4031076,1456672,0.3613605895795564,84.0,0,0,0,84.0
20.0,670,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,Strike It Rich,2026-01-02,2016200.0,3710100,1283988,0.34607908142637667,90.0,0,0,0,90.0
1.0,603,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,5000.0,0,5,3,Available,,,,,,2026-01-02,Instant Numbers,2026-01-02,5188.0,4466000,2622794,0.5872803403493059,38.0,0,0,0,38.0
5.0,649,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Win Big,2026-01-02,502685.0,4405042,2490776,0.5654375145571824,46.0,0,0,0,46.0
