,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
10,1.0,1863,2000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1863/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1863.jpg,10X the cash,691775,390285,10.0,3.0,691775.0,390285.0,0.0,0.0,130095.0,130095.0,0.0,1.0,0.0,1.69,1.6752028090567865,0.010149113949755902,1.0,1.0,0.0,0.5909450785964103,0.5969426475371328,0.005997568940722453,0.14938670606493754,0.10881163511531353,2.231332602374953,3.063357200669806,2.0,1.66,-0.030427387896752246,1.6636970419052746,-0.030427387896752246,0.52,0.5132802001588774,-0.0,,,,,2026-04-18,,38.666666666666664,33.666666666666664,56.0,45.0,39.916666666666664,42.64999999999999,60.0,6.0,/connecticut-statistics-for-each-scratcher-game
11,5.0,1862,50000.0,1.0,,,Yes,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1862/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1862.jpg,UCONN®,274015,93424,3.0,1.0,274015.0,93424.0,0.0,0.0,93424.0,93424.0,0.0,1.0,0.0,1.64,1.6173423915288951,0.011715516624467967,1.0,1.0,0.0,0.6111384654906662,0.618298268342974,0.007159802852307773,0.1458489064885724,0.11109394949558765,2.2854143173624206,3.0003057627627654,2.0,1.62,-0.0054021308039846365,1.6217353142661417,-0.0054021308039846365,0.35,0.3455263404548966,-0.0,,,,,2026-04-18,,39.0,32.333333333333336,52.0,39.666666666666664,38.916666666666664,40.38333333333333,51.0,12.0,/connecticut-statistics-for-each-scratcher-game
12,3.0,1861,30000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1861/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1861.jpg,LOTERIA™,267303,83626,3.0,2.0,267303.0,83626.0,0.0,0.0,41813.0,41813.0,0.0,1.0,0.0,1.53,1.518206344247863,0.008885179889606545,1.0,1.0,0.0,0.6528711166383661,0.6586719939544262,0.00580087731606016,0.11495812109788535,0.08802867346121086,2.899506122014094,3.786382357819125,2.0,1.6,0.02211535723572791,1.5979599646043097,0.02211535723572791,0.33,0.3352335188801984,-0.0,,,,,2026-04-18,,45.333333333333336,39.333333333333336,50.0,39.0,37.75,42.28333333333334,57.0,6.0,/connecticut-statistics-for-each-scratcher-game
13,30.0,1860,2000000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1860/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1860.jpg,Fabulous Fortune,589412,587789,3.0,3.0,589412.0,587789.0,0.0,0.0,195929.66666666666,195929.66666666666,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.16002010345923467,0.16002010345923467,2.0830642202336795,2.0830642202336795,1.0,1.73,2.6028073835927727e-05,1.7315476585418692,2.6028073835927727e-05,1.0,0.9985799987198174,-0.0,,,,,2026-04-18,,34.333333333333336,25.333333333333332,59.0,57.666666666666664,36.5,42.56666666666667,59.0,7.0,/connecticut-statistics-for-each-scratcher-game
14,2.0,1859,17777.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1859/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1859.jpg,777,320730,68349,3.0,1.0,320730.0,68349.0,0.0,0.0,68349.0,68349.0,0.0,1.0,0.0,1.59,1.509225317980547,0.05488976366988589,1.0,1.0,0.0,0.6281145298395002,0.6625915879400118,0.034477058100511604,0.14143894059626233,0.11062862036966516,2.356648308575939,3.012872610000224,2.0,1.37,-0.03572865743982475,1.3746067974659468,-0.03572865743982475,0.2,0.19494382984645492,-0.0,,,,,2026-04-18,,40.666666666666664,33.0,34.0,34.333333333333336,35.416666666666664,35.483333333333334,37.0,8.0,/connecticut-statistics-for-each-scratcher-game
15,20.0,1858,500.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1858/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1858.jpg,"$100, $200 or $500",171314,96708,7505.0,4241.0,171314.0,96708.0,0.0,0.0,22.803112473473238,22.803112473473238,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.35985002858144716,0.35985002858144716,0.9263029431023065,0.9263029431023065,2.0,5.98,-4.06649960998344e-05,5.976672043677875,-4.06649960998344e-05,0.56,0.5640031804678648,-0.0,,,,,2026-04-18,,24.0,24.0,69.0,46.333333333333336,39.833333333333336,40.63333333333334,52.0,6.0,/connecticut-statistics-for-each-scratcher-game
16,10.0,1857,100000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1857/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1857.jpg,Pinball Wizard 2nd Edition,886867,640279,4.0,3.0,886867.0,640279.0,0.0,0.0,213426.33333333334,213426.33333333334,0.0,1.0,0.0,1.74,1.7399818324148173,0.001402253046013414,1.0,1.0,0.0,0.5739138719214593,0.5747186443965104,0.0008047724750511742,0.13410803520274855,0.07392381065897137,2.4855486014460544,4.509091726918623,2.0,1.48,-4.578323136679256e-05,1.4848019379051944,-4.578323136679256e-05,0.73,0.7296316055884701,-0.0,,,,,2026-04-18,,43.333333333333336,43.666666666666664,40.0,52.333333333333336,31.25,42.11666666666667,56.0,10.0,/connecticut-statistics-for-each-scratcher-game
17,20.0,1856,1000000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1856/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1856.jpg,200X 4th Edition,783700,447391,3.0,1.0,783700.0,447391.0,0.0,0.0,447391.0,447391.0,0.0,1.0,0.0,1.83,1.8154020778558937,0.005626407709163651,1.0,1.0,0.0,0.5477602365715895,0.5508421589894092,0.0030819224178197935,0.11343408558913119,0.06090159247558016,2.9385448140095263,5.473188387750292,2.0,1.32,-0.0038364273564520843,1.3183490503832218,-0.0038364273564520843,0.54,0.5343973453634046,-0.0,,,,,2026-04-18,,46.0,46.0,24.0,45.666666666666664,28.25,37.983333333333334,44.0,5.0,/connecticut-statistics-for-each-scratcher-game
18,5.0,1854,250.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1854/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1854.jpg,Full of $250s,378439,62274,10197.0,1423.0,378439.0,62274.0,0.0,0.0,43.762473647224176,43.762473647224176,0.0,1.0,0.0,1.84,1.7329300625970208,0.05895589651201905,1.0,1.0,0.0,0.5449304685743649,0.5770573328858812,0.032126864311516345,0.20328673343952702,0.16730849912953916,1.6396768791243324,1.9922105940819121,3.0,2.01,-0.023639805449267737,2.0059254263416513,-0.023639805449267737,0.15,0.1476522761086026,-0.0,,,,,2026-04-18,,27.0,25.0,62.0,32.333333333333336,44.583333333333336,38.18333333333334,46.0,9.0,/connecticut-statistics-for-each-scratcher-game
19,10.0,1852,100000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1852/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1852.jpg,Triple Red 777s,286395,20175,3.0,1.0,286395.0,20175.0,0.0,0.0,20175.0,20175.0,0.0,1.0,0.0,1.69,1.5564099777186022,0.08645737273967158,1.0,1.0,0.0,0.5913754646840149,0.6425042336632972,0.05112876897928231,0.13432240304016188,0.08780512868385788,2.481286291294602,3.7950779166699165,2.0,1.55,0.005955443872400859,1.554175960346964,0.005955443872400859,0.07,0.07320506971062056,-0.0,,,,,2026-04-18,,42.666666666666664,39.666666666666664,44.0,24.333333333333332,39.75,38.08333333333333,45.0,7.0,/connecticut-statistics-for-each-scratcher-game
20,10.0,1851,200000.0,1.0,Top Prize Claimed,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1851/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1851.jpg,100X 2nd Edition,580383,15716,4.0,0.0,580383.0,15716.0,0.0,0.0,,,,1.0,0.0,1.89,1.5943011130767286,0.1846666123171002,1.0,1.0,0.0,0.5294604224993638,0.6272340850783017,0.09777366257893794,0.1505245298024638,0.08695152144718422,2.2141664998101356,3.8317884388033505,2.0,0.91,-0.04095226782043259,0.9067510817001783,-0.04095226782043259,0.03,0.024776371546336478,-0.0,,,,,2026-04-18,,38.0,40.0,4.0,16.0,,24.5,7.0,2.0,/connecticut-statistics-for-each-scratcher-game
21,50.0,1850,1000000.0,1.0,,,No,,,,2026-04-18,https://www.ctlottery.org/ScratchGames/1850/,https://www.ctlottery.org/Content/images/Scratch/rollovers/1850.jpg,Best Chance To Be A Millionaire,660426,480395,5.0,4.0,660426.0,480395.0,0.0,0.0,120098.75,120098.75,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.16851512217566358,0.16851512217566358,1.9780536993405715,1.9780536993405715,1.0,1.56,0.00023453870797759878,1.5578503106818347,0.00023453870797759878,0.75,0.7462903648289191,-0.0,,,,,2026-04-18,,32.333333333333336,24.666666666666668,45.0,53.0,31.833333333333332,37.36666666666667,43.0,2.0,/connecticut-statistics-for-each-scratcher-game
