,price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,overallodds,extrachances,secondChance,dateexported,gameURL,gamePhoto
316,10.0,Wild Crossword,1551,100000.0,0,Top Prize Claimed,2024-02-28,2025-03-15T00:00:00,2026-03-15,3.3,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/wild-crossword-2/,https://www.oregonlottery.org/wp-content/uploads/2023/04/1551_WildCrossword_GameTile_1200x1200-300x300.jpg
321,2.0,If Wishes Were Fishes,1556,10000.0,0,Top Prize Claimed,2024-04-16,2025-03-15T00:00:00,2026-03-15,3.6,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/if-wishes-were-fishes/,https://www.oregonlottery.org/wp-content/uploads/2023/06/1556_IfWishesWereFishes_GameTile_1200x1200-300x300.jpg
322,5.0,Crazy 8s,1557,50000.0,0,Top Prize Claimed,2023-12-19,2024-11-20T00:00:00,2025-11-20,3.79,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/crazy-8s/,https://www.oregonlottery.org/wp-content/uploads/2023/06/1557_Crazy8s_GameTile_1200x1200-300x300.jpg
327,10.0,$50 Or $100,1562,100.0,353,,2023-12-18,2024-08-01T00:00:00,2025-08-01,9.0,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/50-or-100-4/,https://www.oregonlottery.org/wp-content/uploads/2023/10/1562_50or100_GameTile_1200x1200-300x300.jpg
329,5.0,20X Blitz,1564,20000.0,0,Top Prize Claimed,2024-02-20,2024-10-15T00:00:00,2025-10-15,5.25,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/20x-blitz/,https://www.oregonlottery.org/wp-content/uploads/2023/11/1564_20XBlitz_GameTile_1200x1200-300x300.jpg
330,1.0,Cash Raider,1565,1500.0,1,,2024-01-03,2025-02-15T00:00:00,2026-02-15,3.98,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/cash-raider/,https://www.oregonlottery.org/wp-content/uploads/2023/11/1565_CashRaider_GameTile_1200x1200-300x300.jpg
331,10.0,$50 Or $100 Classic,1566,100.0,393,,2024-04-04,2025-02-15T00:00:00,2026-02-15,9.0,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/50-or-100-classic/,https://www.oregonlottery.org/wp-content/uploads/2023/11/1566_50Or100Classic_GameTile_1200x1200-300x300.jpg
337,5.0,Visit Oregon State Parks,1572,50000.0,0,Top Prize Claimed,2024-05-07,2025-02-15T00:00:00,2026-02-15,3.79,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/visit-oregon-state-parks/,https://www.oregonlottery.org/wp-content/uploads/2024/01/1572_VisitOregonStateParks_GameTile_1200x1200-300x300.jpg
351,1.0,Candy Cane Lane,1586,1000.0,2,,2024-10-01,2025-01-14T00:00:00,2026-01-14,3.89,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/candy-cane-lane/,https://www.oregonlottery.org/wp-content/uploads/2024/05/1586_CandyCaneLane_GameTile_1200x1200-300x300.jpg
352,2.0,Holiday Magic,1587,10000.0,1,,2024-10-01,2025-01-14T00:00:00,2026-01-14,3.79,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/holiday-magic-2/,https://www.oregonlottery.org/wp-content/uploads/2024/05/1587_HolidayMagic_GameTile_1200x1200-300x300.jpg
353,5.0,Reindeer Games,1588,50000.0,1,,2024-10-01,2025-01-14T00:00:00,2026-01-14,3.74,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/reindeer-games-scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2024/06/1588_Reindeer_Games_GameTile_1200x1200-300x300.jpg
354,10.0,Holiday Pawrty,1589,75000.0,1,,2024-10-01,2025-01-14T00:00:00,2026-01-14,3.09,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/holiday-pawrty/,https://www.oregonlottery.org/wp-content/uploads/2024/05/1589_HolidayPawrty_GameTile_1200x1200-300x300.jpg
355,20.0,'Tis The Season,1590,150000.0,0,Top Prize Claimed,2024-10-01,2025-01-14T00:00:00,2026-01-14,2.9,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/tis-the-season/,https://www.oregonlottery.org/wp-content/uploads/2024/05/1590_TistheSeason_GameTile_1200x1200-300x300.jpg
356,30.0,Merry & Bright,1591,200000.0,0,Top Prize Claimed,2024-10-01,2025-01-14T00:00:00,2026-01-14,2.66,,2nd Chance,2025-04-13,https:/www.oregonlottery.org/scratch-its/merry-bright/,https://www.oregonlottery.org/wp-content/uploads/2024/06/1591_Merry_And_Bright_GameTile_1200x1200-300x300.jpg
