,gamePrice,gameNumber,gameName,gameType,startDate,topprize,topprizeremain,prizeLevel1,level1remain,prizeLevel2,level2remain,price,gameURL,gamePhoto,topprizestarting,topprizeavail,overallodds,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
26,$10,398,"$100,000 CROSSWORD",S,10/17/2024,"$100,000",5,"$10,000",6,"$1,000",88,10 ,https://www.kslottery.com/games/instants/?gameid=398,https://www.kslottery.com/Graphics/TicketArt/Front/100000 CrosswordF_398.jpg,91480.0,,3.08,,,,,2024-10-30
27,$10,370,"$50, $100 OR $200",S,3/17/2024,$200,305,$100,322,$50,2846,10 ,https://www.kslottery.com/games/instants/?gameid=370,https://www.kslottery.com/Graphics/TicketArt/Front/$50 $100 or $200F_370.jpg,2846.0,,9.68,,,,,2024-10-30
28,$10,377,100X CASH BLITZ,S,1/28/2024,"$100,000",1,"$1,000",5,$500,23,10 ,https://www.kslottery.com/games/instants/?gameid=377,https://www.kslottery.com/Graphics/TicketArt/Front/100XCashBlitzF_377.jpg,18898.0,,3.39,,,,,2024-10-30
29,$10,374,2024,S,12/3/2023,"$2,024",84,$224,132,$124,556,10 ,https://www.kslottery.com/games/instants/?gameid=374,https://www.kslottery.com/Graphics/TicketArt/Front/2024F_374.jpg,15826.0,,3.59,,,,,2024-10-30
30,$10,397,CHIEFS,S,7/14/2024,"$75,000",2,"$1,000",31,$500,120,10 ,https://www.kslottery.com/games/instants/?gameid=397,https://www.kslottery.com/Graphics/TicketArt/Front/KSChiefsF_397.jpg,30488.0,,3.47,,,,,2024-10-30
31,$10,431,PEPPERMINT PAYOUT MULTIPLIER,S,9/29/2024,"$75,000",4,"$1,000",22,$500,180,10 ,https://www.kslottery.com/games/instants/?gameid=431,https://www.kslottery.com/Graphics/TicketArt/Front/KSPeppermintPayoutMltplrF_431.jpg,78010.0,,2.75,,,,,2024-10-30
32,$10,394,PHARAOH'S RICHES,S,5/19/2024,"$75,000",1,"$1,000",44,$500,57,10 ,https://www.kslottery.com/games/instants/?gameid=394,https://www.kslottery.com/Graphics/TicketArt/Front/PharaohRichesF_394.jpg,44791.0,,3.47,,,,,2024-10-30
33,$10,330,POWER SHOT MULTIPLIER,S,6/12/2022,"$75,000",1,"$2,500",4,$500,24,10 ,https://www.kslottery.com/games/instants/?gameid=330,https://www.kslottery.com/Graphics/TicketArt/Front/PowerShotMultiplierP1_330.jpg,5616.0,,2.78,,,,,2024-10-30
34,$10,332,SPECTACULAR SLOTS,S,11/15/2023,"$100,000",2,"$7,777",54,$777,505,10 ,https://www.kslottery.com/games/instants/?gameid=332,https://www.kslottery.com/Graphics/TicketArt/Front/Spectacular SlotsF_332.jpg,41053.0,,3.44,,,,,2024-10-30
35,$10,346,TRIPLE PLAY,S,12/17/2023,"$75,000",2,"$1,000",15,$500,96,10 ,https://www.kslottery.com/games/instants/?gameid=346,https://www.kslottery.com/Graphics/TicketArt/Front/Triple PlayF_346.jpg,17388.0,,2.88,,,,,2024-10-30
36,$20,371,"$100, $200 OR $500!",S,3/17/2024,$500,224,$200,935,$100,3629,20 ,https://www.kslottery.com/games/instants/?gameid=371,https://www.kslottery.com/Graphics/TicketArt/Front/$100 $200 or $500F_371.jpg,3629.0,,9.16,,,,,2024-10-30
37,$20,378,200X CASH BLITZ,S,1/28/2024,"$200,000",2,"$10,000",1,$500,101,20 ,https://www.kslottery.com/games/instants/?gameid=378,https://www.kslottery.com/Graphics/TicketArt/Front/200XCashBlitzF_378.jpg,21796.0,,3.25,,,,,2024-10-30
38,$20,350,CASH FLOW,S,11/5/2023,"$150,000",3,"$10,000",4,"$1,000",21,20 ,https://www.kslottery.com/games/instants/?gameid=350,https://www.kslottery.com/Graphics/TicketArt/Front/Cash FlowF_350.jpg,18538.0,,2.90,,,,,2024-10-30
39,$20,347,EXTREME CROSSWORD,S,6/18/2024,"$150,000",4,"$100,000",1,"$1,000",108,20 ,https://www.kslottery.com/games/instants/?gameid=347,https://www.kslottery.com/Graphics/TicketArt/Front/Extreme CrosswordF_347.jpg,26806.0,,2.34,,,,,2024-10-30
40,$20,432,GIFTS OF GOLD,S,8/18/2024,"$100,000",3,"$10,000",6,"$1,000",81,20 ,https://www.kslottery.com/games/instants/?gameid=432,https://www.kslottery.com/Graphics/TicketArt/Front/KSGiftsofGoldF_432.jpg,26587.0,,2.90,,,,,2024-10-30
41,$20,395,PHARAOH'S CROWN,S,5/19/2024,"$125,000",1,"$10,000",3,"$1,000",7,20 ,https://www.kslottery.com/games/instants/?gameid=395,https://www.kslottery.com/Graphics/TicketArt/Front/PharaohsCrownF_395.jpg,22540.0,,3.36,,,,,2024-10-30
42,$20,344,STRIKE IT RICH!,S,4/2/2023,"$100,000",1,"$10,000",2,"$1,000",24,20 ,https://www.kslottery.com/games/instants/?gameid=344,https://www.kslottery.com/Graphics/TicketArt/Front/StrikeItRichP1_344.jpg,6959.0,,2.90,,,,,2024-10-30
43,$20,265,"WIN $100,000",S,6/4/2023,"$100,000",1,"$10,000",3,"$1,000",12,20 ,https://www.kslottery.com/games/instants/?gameid=265,https://www.kslottery.com/Graphics/TicketArt/Front/Win100000P1_265.jpg,5233.0,,2.85,,,,,2024-10-30
44,$30,262,"$250,000 DAZZLE",S,4/21/2024,"$250,000",3,"$10,000",9,"$1,000",60,30 ,https://www.kslottery.com/games/instants/?gameid=262,https://www.kslottery.com/Graphics/TicketArt/Front/250000DazzleP1_262.jpg,24062.0,,3.03,,,,,2024-10-30
45,$30,379,300X CASH BLITZ,S,1/28/2024,"$300,000",2,"$10,000",6,$500,405,30 ,https://www.kslottery.com/games/instants/?gameid=379,https://www.kslottery.com/Graphics/TicketArt/Front/300XCashBlitzF_379.jpg,20870.0,,3.59,,,,,2024-10-30
46,$30,334,MEGA MULTIPLIER,S,7/3/2023,"$250,000",1,"$10,000",1,"$1,000",11,30 ,https://www.kslottery.com/games/instants/?gameid=334,https://www.kslottery.com/Graphics/TicketArt/Front/MegaMultiplier_334.jpg,4416.0,,3.00,,,,,2024-10-30
47,$30,331,SAPPHIRE 7S,S,12/28/2023,"$300,000",2,"$10,000",15,"$1,000",166,30 ,https://www.kslottery.com/games/instants/?gameid=331,https://www.kslottery.com/Graphics/TicketArt/Front/Sapphire 7sF_331.jpg,46826.0,,2.92,,,,,2024-10-30
48,$50,375,PREMIER PLAY,S,12/3/2023,"$500,000",2,"$25,000",1,"$5,000",20,50 ,https://www.kslottery.com/games/instants/?gameid=375,https://www.kslottery.com/Graphics/TicketArt/Front/KS Premier Play Pulse1 F_375.jpg,42945.0,,2.98,,,,,2024-10-30
