,price,gameName,gameNumber,topprize,overallodds,topprizeodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,1,Hit $50,1581,50,4.93,385.30,626.0,26.0,,,,"04/03/2024
",,"03/19/2025
",2025-04-08,https://dclottery.com/dc-scratchers/hit-50
0,10,Triple 777,1580,100000,3.94,120300.00,2.0,1.0,,,,"04/03/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/triple-777-0
0,20,"Full of $5,000s",1589,250000,3.17,121882.50,2.0,1.0,,,,"03/06/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/full-5000s
0,5,Lucky Loot HD,1579,50000,4.16,120760.00,2.0,0.0,Top Prize Claimed,,,"03/06/2024
",,"08/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/lucky-loot-hd
0,3,One-Word Crossword,1578,30000,3.97,100900.00,2.0,2.0,,,,"03/06/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/one-word-crossword
0,5,50X,1576,50000,3.67,183060.00,2.0,1.0,,,,"02/07/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/50x-0
0,2,20X,1575,5000,4.71,81266.67,3.0,2.0,,,,"02/07/2024
",,"05/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/20x-0
0,1,10X,1574,1000,3.99,61200.00,4.0,0.0,Top Prize Claimed,,,"02/07/2024
",,"01/08/2025
",2025-04-08,https://dclottery.com/dc-scratchers/10x-0
0,10,100X,1573,100000,3.65,120630.00,2.0,0.0,Top Prize Claimed,,,"02/07/2024
",,"06/24/2025
",2025-04-08,https://dclottery.com/dc-scratchers/100x-1
0,30,300X,1583,680000,2.97,228520.00,2.0,2.0,,,,"01/03/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/300x
0,5,Win It All,1572,50000,3.98,122100.00,2.0,1.0,,,,"01/03/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/win-it-all
0,3,Bingo Plus,1571,20000,3.94,101950.00,2.0,1.0,,,,"01/03/2024
",,,2025-04-08,https://dclottery.com/dc-scratchers/bingo-plus
0,2,2024 Make My Year,1569,2024,4.71,22000.00 ,11.0,4.0,,,,"12/06/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/2024-make-my-year
0,5,Double-Sided Dollar$,1570,50000,4.18,121380.00,2.0,1.0,,,,"12/06/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/double-sided-dollar
0,10,Winter Winnings,1568,100000,3.94,122055,2.0,1.0,,,,"11/01/2023
",,"01/17/2025
",2025-04-08,https://dclottery.com/dc-scratchers/winter-winnings
0,5,Holiday Fun X20,1567,25000,3.54,121220,2.0,1.0,,,,"11/01/2023
",,"11/14/2024
",2025-04-08,https://dclottery.com/dc-scratchers/holiday-fun-x20-0
0,1,Holiday Wishes,1566,500,4.51,33966.67,6.0,3.0,,,,"11/01/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/holiday-wishes
0,5,Diamonds,1565,50000,4.10,121220,2.0,1.0,,,,"10/04/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/diamonds
0,3,Twisted Treasure,1564,20000,3.95,121250,2.0,1.0,,,,"10/04/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/twisted-treasure
0,1,Topaz 7s,1563,1000,4.94,61300,4.0,1.0,,,,"10/04/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/topaz-7s
0,10,"$50, $100 & $500 Blowout",1562,500,8.61,544.04,446.0,46.0,,,,"09/06/2023
",,"05/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/50-100-500-blowout-0
0,5,7,1561,70000,4.03,121820.00,2.0,0.0,Top Prize Claimed,,,"09/06/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/7
0,2,Electric 8's,1560,8000,4.45,121250.00,2.0,1.0,,,,"09/06/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/electric-8s
0,20,Platinum Diamond Spectacular,1559,250000,3.11,122325.00,2.0,1.0,,,,"08/02/2023
",,,2025-04-08,https://dclottery.com/dc-scratchers/platinum-diamond-spectacular
0,5,"$50,000 VIP Cashword",1558,50000,4.02,121740.00,2.0,1.0,,,,"08/02/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/50000-vip-cashword
